journey,journey_count,distance_in_meters,av_duration_s,clean_text,cluster
"Palace Gate, Kensington Gardens to Albert Gate, Hyde Park",12600,1798.626778271723,1730.415317460318,palace gate kensington gardens to albert gate hyde park,1
"Rainville Road, Hammersmith to Barons Court Station, West Kensington",12599,942.5371360615791,395.4363838399872,rainville road hammersmith to barons court station west kensington,1
"Waterloo Station 3, Waterloo to Newgate Street , St. Paul's",12475,1614.5026040632374,683.8050501002007,waterloo station  waterloo to newgate street  st pauls,2
"Wapping Lane, Wapping to Nesham Street, Wapping",12375,700.2596370828122,348.45705050505046,wapping lane wapping to nesham street wapping,2
"Wellington Arch, Hyde Park to Hyde Park Corner, Hyde Park",12296,276.72995789789377,2998.576284970721,wellington arch hyde park to hyde park corner hyde park,0
"Park Lane , Hyde Park to Albert Gate, Hyde Park",12159,789.6544249954313,2063.7425775145994,park lane  hyde park to albert gate hyde park,0
"Serpentine Car Park, Hyde Park to Black Lion Gate, Kensington Gardens",12145,1158.8252439955663,1639.4182791272126,serpentine car park hyde park to black lion gate kensington gardens,1
"Triangle Car Park, Hyde Park to Serpentine Car Park, Hyde Park",11896,250.20328129383364,1896.6944351042368,triangle car park hyde park to serpentine car park hyde park,0
"Newgate Street , St. Paul's to Waterloo Station 3, Waterloo",11749,1614.5026040632374,613.0008511362671,newgate street  st pauls to waterloo station  waterloo,2
"Nesham Street, Wapping to Reardon Street, Wapping",11655,569.8995499151702,296.01879021879034,nesham street wapping to reardon street wapping,2
"Prince of Wales Drive, Battersea Park to Prince of Wales Drive, Battersea Park",11612,0.0,3004.725542542197,prince of wales drive battersea park to prince of wales drive battersea park,0
"Tooley Street, Bermondsey to Tooley Street, Bermondsey",11512,0.0,3191.597984711604,tooley street bermondsey to tooley street bermondsey,2
"Ravenscourt Park Station, Hammersmith to Ravenscourt Park Station, Hammersmith",11473,0.0,5124.58779424586,ravenscourt park station hammersmith to ravenscourt park station hammersmith,0
"Wellington Arch, Hyde Park to Triangle Car Park, Hyde Park",11472,1491.6669337520375,1599.2112970711296,wellington arch hyde park to triangle car park hyde park,0
"Waterloo Station 3, Waterloo to Godliman Street, St. Paul's",11389,1353.1531621951383,575.641935200632,waterloo station  waterloo to godliman street st pauls,2
"Monier Road, Hackney Wick to Stratford Station, Stratford",11290,1174.8724859695544,538.7101860053145,monier road hackney wick to stratford station stratford,0
"Albert Bridge Road, Battersea Park to Albert Bridge Road, Battersea Park",11280,0.0,2934.4115248226944,albert bridge road battersea park to albert bridge road battersea park,0
"Wren Street, Holborn to Belgrove Street , King's Cross",11277,756.4964738843961,346.43114303449494,wren street holborn to belgrove street  kings cross,2
"Wellington Arch, Hyde Park to Black Lion Gate, Kensington Gardens",11274,2766.265655198873,2133.1368635799195,wellington arch hyde park to black lion gate kensington gardens,1
"Tower Gardens , Tower to Tower Gardens , Tower",11268,0.0,2947.1693290734834,tower gardens  tower to tower gardens  tower,2
"Serpentine Car Park, Hyde Park to Triangle Car Park, Hyde Park",11145,250.20328129383364,2207.9095558546433,serpentine car park hyde park to triangle car park hyde park,0
"Green Park Station, Mayfair to Green Park Station, Mayfair",11131,0.0,3481.4375168448496,green park station mayfair to green park station mayfair,0
"Barons Court Station, West Kensington to Rainville Road, Hammersmith",11130,942.5371360615791,381.4903863432166,barons court station west kensington to rainville road hammersmith,1
"Greyhound Road, Hammersmith to Barons Court Station, West Kensington",11072,464.3233011161667,260.4456286127168,greyhound road hammersmith to barons court station west kensington,1
"Binfield Road, Stockwell to Courland Grove, Wandsworth Road",11069,643.7209298565278,519.218086548017,binfield road stockwell to courland grove wandsworth road,0
"Jubilee Plaza, Canary Wharf to Jubilee Plaza, Canary Wharf",11022,0.0,3120.06652146293,jubilee plaza canary wharf to jubilee plaza canary wharf,0
"Battersea Power Station, Battersea Park to Battersea Power Station, Battersea Park",10904,0.0,2743.609501100514,battersea power station battersea park to battersea power station battersea park,0
"Exhibition Road, Knightsbridge to South Kensington Station, South Kensington",10794,613.8993613695665,391.7104873077636,exhibition road knightsbridge to south kensington station south kensington,1
"Bonner Gate, Victoria Park to Bonner Gate, Victoria Park",10705,0.0,2406.002802428772,bonner gate victoria park to bonner gate victoria park,0
"Belgrove Street , King's Cross to Soho Square , Soho",10690,1638.8727104832728,773.7162768942937,belgrove street  kings cross to soho square  soho,2
"Woodstock Grove, Shepherd's Bush to Richmond Way, Shepherd's Bush",10583,409.8479034052607,269.1360672777095,woodstock grove shepherds bush to richmond way shepherds bush,0
"London Zoo,  The Regent's Park to London Zoo,  The Regent's Park",10555,0.0,2608.571198484131,london zoo  the regents park to london zoo  the regents park,0
"Serpentine Car Park, Hyde Park to Albert Gate, Hyde Park",10500,1036.4589298323065,1818.0627619047616,serpentine car park hyde park to albert gate hyde park,0
"Knightsbridge, Hyde Park to Knightsbridge, Hyde Park",10484,0.0,3097.3538725677213,knightsbridge hyde park to knightsbridge hyde park,0
"South Park, Sands End to Parsons Green Station, Parsons Green",10462,1067.7523034873352,344.06729114892,south park sands end to parsons green station parsons green,0
"South Kensington Station, South Kensington to Exhibition Road, Knightsbridge",10454,613.8993613695665,417.79768509661375,south kensington station south kensington to exhibition road knightsbridge,1
"Belgrove Street , King's Cross to Holborn Circus, Holborn",10298,1656.5067431480293,587.1307049912605,belgrove street  kings cross to holborn circus holborn,2
"Stratford Station, Stratford to Monier Road, Hackney Wick",10267,1174.8724859695544,593.6825752410637,stratford station stratford to monier road hackney wick,0
"Black Lion Gate, Kensington Gardens to Serpentine Car Park, Hyde Park",10241,1158.8252439955663,1699.717508055854,black lion gate kensington gardens to serpentine car park hyde park,1
"Waterloo Station 3, Waterloo to Queen Victoria Street, St. Paul's",10231,1399.529757163143,601.71586355195,waterloo station  waterloo to queen victoria street st pauls,2
"Green Street, Mayfair to Green Street, Mayfair",10213,0.0,3689.549104083032,green street mayfair to green street mayfair,2
"Fulham Broadway, Walham Green to Stephendale Road, Sands End",10201,1328.2869539755986,643.9001078325654,fulham broadway walham green to stephendale road sands end,0
"Wellington Arch, Hyde Park to Storey's Gate, Westminster",10174,1393.9072095315028,1712.177413013564,wellington arch hyde park to storeys gate westminster,0
"Fulham Broadway, Walham Green to Sandilands Road, Walham Green",10114,720.9984657302439,329.9013248961834,fulham broadway walham green to sandilands road walham green,0
"Courland Grove, Wandsworth Road to Binfield Road, Stockwell",10075,643.7209298565278,519.5822332506202,courland grove wandsworth road to binfield road stockwell,0
"Whitehall Place, Strand to Whitehall Place, Strand",10048,0.0,2691.935410031847,whitehall place strand to whitehall place strand,2
"Queen's Gate, Kensington Gardens to Albert Gate, Hyde Park",10031,1487.4997898796275,1665.2627853653676,queens gate kensington gardens to albert gate hyde park,1
"Belgrove Street , King's Cross to Wren Street, Holborn",10003,756.4964738843961,355.9845046486054,belgrove street  kings cross to wren street holborn,2
"Woodstock Grove, Shepherd's Bush to Maclise Road, Olympia",9959,10820.529487111002,427.7399337282859,woodstock grove shepherds bush to maclise road olympia,0
"Queen Street 2, Bank to Waterloo Station 3, Waterloo",9931,1599.931576592304,607.6633773033934,queen street  bank to waterloo station  waterloo,2
"Black Lion Gate, Kensington Gardens to Queen's Gate, Kensington Gardens",9880,1065.666561964244,1831.263562753036,black lion gate kensington gardens to queens gate kensington gardens,1
"Parson's Green , Parson's Green to South Park, Sands End",9865,773.6127753466552,294.50623416117577,parsons green  parsons green to south park sands end,0
"Waterloo Station 3, Waterloo to Queen Street 2, Bank",9804,1599.931576592304,614.908914728682,waterloo station  waterloo to queen street  bank,2
"Waterloo Station 3, Waterloo to Wormwood Street, Liverpool Street",9800,2513.254047872678,914.6362244897958,waterloo station  waterloo to wormwood street liverpool street,2
"Victoria Park Road, Hackney Central to Victoria Park Road, Hackney Central",9785,0.0,4047.176392437405,victoria park road hackney central to victoria park road hackney central,0
"Podium, Queen Elizabeth Olympic Park to Lee Valley VeloPark, Queen Elizabeth Olympic Park",9766,1213.5652222897454,1516.0770018431294,podium queen elizabeth olympic park to lee valley velopark queen elizabeth olympic park,0
"Wormwood Street, Liverpool Street to Duke Street Hill, London Bridge",9762,1145.3753646007704,555.9631223110019,wormwood street liverpool street to duke street hill london bridge,2
"Albert Gate, Hyde Park to Palace Gate, Kensington Gardens",9753,1798.626778271723,1829.0083051368815,albert gate hyde park to palace gate kensington gardens,1
"Wellington Arch, Hyde Park to Serpentine Car Park, Hyde Park",9698,1645.47042056414,1542.0913590431016,wellington arch hyde park to serpentine car park hyde park,0
"Bethnal Green Road, Shoreditch to Brushfield Street, Liverpool Street",9567,611.9527752574116,452.06835998745674,bethnal green road shoreditch to brushfield street liverpool street,2
"Riverlight South, Nine Elms to Vauxhall Cross, Vauxhall",9521,1079.3892782484843,361.50435878584193,riverlight south nine elms to vauxhall cross vauxhall,0
"Black Lion Gate, Kensington Gardens to Triangle Car Park, Hyde Park",9517,1274.8344495374574,1918.4338552064728,black lion gate kensington gardens to triangle car park hyde park,1
"Bath Street, St. Luke's to Eagle Wharf Road, Hoxton",9458,867.2542669835204,300.75967434975695,bath street st lukes to eagle wharf road hoxton,2
"Gunmakers Lane, Old Ford to Gunmakers Lane, Old Ford",9422,0.0,2703.173636170665,gunmakers lane old ford to gunmakers lane old ford,0
"Queen Street 1, Bank to Waterloo Station 3, Waterloo",9367,1624.3868798353365,687.7452759688267,queen street  bank to waterloo station  waterloo,2
"Humbolt Road, Fulham to Barons Court Station, West Kensington",9363,809.8262840738324,309.1549716971056,humbolt road fulham to barons court station west kensington,1
"Vauxhall Cross, Vauxhall to Riverlight South, Nine Elms",9322,1079.3892782484843,367.5698347993992,vauxhall cross vauxhall to riverlight south nine elms,0
"Waterloo Station 3, Waterloo to Queen Street 1, Bank",9304,1624.3868798353365,674.8341573516766,waterloo station  waterloo to queen street  bank,2
"Waterloo Station 3, Waterloo to Finsbury Circus, Liverpool Street",9280,2335.352960587675,951.1375,waterloo station  waterloo to finsbury circus liverpool street,2
"Vicarage Crescent, Battersea to Falcon Road, Clapham Junction",9228,825.3144611253734,358.82195491980923,vicarage crescent battersea to falcon road clapham junction,0
"Curlew Street, Shad Thames to Duke Street Hill, London Bridge",9142,1009.4963971923244,511.9076788448921,curlew street shad thames to duke street hill london bridge,2
"East Village, Queen Elizabeth Olympic Park to Lee Valley VeloPark, Queen Elizabeth Olympic Park",9101,523.7958289286286,1227.8713328205697,east village queen elizabeth olympic park to lee valley velopark queen elizabeth olympic park,0
"Hyde Park Corner, Hyde Park to Bayswater Road, Hyde Park",9100,1746.7268264946358,2081.597142857143,hyde park corner hyde park to bayswater road hyde park,0
"Waterloo Place, St. James's to Waterloo Place, St. James's",9058,0.0,2758.101898873924,waterloo place st jamess to waterloo place st jamess,2
"Crisp Road, Hammersmith to Crisp Road, Hammersmith",9018,0.0,4192.195830561101,crisp road hammersmith to crisp road hammersmith,0
"Old Quebec Street, Marylebone to Old Quebec Street, Marylebone",9012,0.0,3654.291722148247,old quebec street marylebone to old quebec street marylebone,2
"Duke Street Hill, London Bridge to Wormwood Street, Liverpool Street",8989,1145.3753646007704,541.6138613861386,duke street hill london bridge to wormwood street liverpool street,2
"Usk Road, Clapham Junction to Grant Road East, Clapham Junction",8955,649.2780799831143,254.74539363484087,usk road clapham junction to grant road east clapham junction,0
"Lee Valley VeloPark, Queen Elizabeth Olympic Park to East Village, Queen Elizabeth Olympic Park",8950,523.7958289286286,1453.8634636871511,lee valley velopark queen elizabeth olympic park to east village queen elizabeth olympic park,0
"Nesham Street, Wapping to Garnet Street, Shadwell",8899,825.7871026947414,410.0876502977863,nesham street wapping to garnet street shadwell,2
"Queen's Gate, Kensington Gardens to Palace Gate, Kensington Gardens",8871,316.75941865589203,2545.7718408296696,queens gate kensington gardens to palace gate kensington gardens,1
"Waterloo Station 3, Waterloo to St. Bride Street, Holborn",8846,1355.686140914412,514.4105810535833,waterloo station  waterloo to st bride street holborn,2
"Soho Square , Soho to Belgrove Street , King's Cross",8843,1638.8727104832728,706.2384937238493,soho square  soho to belgrove street  kings cross,2
"Westbridge Road, Battersea to Falcon Road, Clapham Junction",8830,1229.2943108126838,490.5491506228764,westbridge road battersea to falcon road clapham junction,0
"Bankside Mix, Bankside to Hop Exchange, The Borough",8784,597.1061418368732,365.0276639344264,bankside mix bankside to hop exchange the borough,2
"Tower Gardens , Tower to Somerset House, Strand",8781,2918.0875351714317,1199.4868466006146,tower gardens  tower to somerset house strand,2
"Falcon Road, Clapham Junction to Westbridge Road, Battersea",8778,1229.2943108126838,495.59227614490766,falcon road clapham junction to westbridge road battersea,0
"Westminster Pier, Westminster to Westminster Pier, Westminster",8770,0.0,2495.787913340934,westminster pier westminster to westminster pier westminster,2
"Knightsbridge, Hyde Park to Hyde Park Corner, Hyde Park",8737,132.79241492265032,3345.242646217238,knightsbridge hyde park to hyde park corner hyde park,0
"Fulham Broadway, Walham Green to Imperial Road, Sands End",8723,712.7560423357514,369.6224922618363,fulham broadway walham green to imperial road sands end,0
"Binfield Road, Stockwell to Hartington Road, Stockwell",8719,658.6209888849475,403.1582750315402,binfield road stockwell to hartington road stockwell,0
"Wormwood Street, Liverpool Street to Waterloo Station 3, Waterloo",8702,2513.254047872678,864.111583544013,wormwood street liverpool street to waterloo station  waterloo,2
"Maclise Road, Olympia to Woodstock Grove, Shepherd's Bush",8698,10820.529487111002,307.9314785008047,maclise road olympia to woodstock grove shepherds bush,0
"Serpentine Car Park, Hyde Park to Park Lane , Hyde Park",8678,1225.9445725144062,1723.9207190596917,serpentine car park hyde park to park lane  hyde park,0
"Neville Gill Close, Wandsworth to Neville Gill Close, Wandsworth",8666,0.0,4877.054696515117,neville gill close wandsworth to neville gill close wandsworth,0
"Bayley Street , Bloomsbury to Belgrove Street , King's Cross",8620,1328.3511317433165,576.6054524361953,bayley street  bloomsbury to belgrove street  kings cross,2
"Duke Street Hill, London Bridge to Curlew Street, Shad Thames",8613,1009.4963971923244,604.4858934169279,duke street hill london bridge to curlew street shad thames,2
"Waterloo Station 3, Waterloo to Cheapside, Bank",8607,1781.7781080332793,747.8886952480541,waterloo station  waterloo to cheapside bank,2
"Somerset House, Strand to Tower Gardens , Tower",8598,2918.0875351714317,1447.8970690858348,somerset house strand to tower gardens  tower,2
"Sandilands Road, Walham Green to Fulham Broadway, Walham Green",8568,720.9984657302439,315.51318860877706,sandilands road walham green to fulham broadway walham green,0
"London Zoo Car Park, The Regent's Park to London Zoo Car Park, The Regent's Park",8530,0.0,2475.8463071512315,london zoo car park the regents park to london zoo car park the regents park,0
"Falcon Road, Clapham Junction to Vicarage Crescent, Battersea",8520,825.3144611253734,419.5321596244132,falcon road clapham junction to vicarage crescent battersea,0
"Waterloo Station 1, Waterloo to Holborn Circus, Holborn",8518,1589.4808570103396,737.4739375440244,waterloo station  waterloo to holborn circus holborn,2
"Lee Valley VeloPark, Queen Elizabeth Olympic Park to Podium, Queen Elizabeth Olympic Park",8415,1213.5652222897454,1506.0743909685086,lee valley velopark queen elizabeth olympic park to podium queen elizabeth olympic park,0
"Regent's Row , Haggerston  to Dunston Road , Haggerston",8402,928.1459976264064,620.3169483456318,regents row  haggerston  to dunston road  haggerston,0
"Shoreditch High Street, Shoreditch to Brushfield Street, Liverpool Street",8388,834.1995172254725,414.3440629470673,shoreditch high street shoreditch to brushfield street liverpool street,2
"Drayton Gardens, West Chelsea to Gloucester Road Station, South Kensington",8388,810.1398973244972,325.81127801621363,drayton gardens west chelsea to gloucester road station south kensington,1
"Saltoun Road, Brixton to Saltoun Road, Brixton",8383,0.0,6370.535607777641,saltoun road brixton to saltoun road brixton,0
"Duke Street Hill, London Bridge to Duke Street Hill, London Bridge",8246,0.0,2967.7002182876545,duke street hill london bridge to duke street hill london bridge,2
"Bayswater Road, Hyde Park to Hyde Park Corner, Hyde Park",8183,1746.7268264946358,1721.0987412929246,bayswater road hyde park to hyde park corner hyde park,0
"Curlew Street, Shad Thames to Curlew Street, Shad Thames",8163,0.0,3806.505818939115,curlew street shad thames to curlew street shad thames,2
"East India DLR, Blackwall to East India DLR, Blackwall",8150,0.0,4051.0839263803673,east india dlr blackwall to east india dlr blackwall,0
"Finsbury Circus, Liverpool Street to Waterloo Station 3, Waterloo",8144,2335.352960587675,894.2312131630647,finsbury circus liverpool street to waterloo station  waterloo,2
"Gloucester Road Station, South Kensington to Drayton Gardens, West Chelsea",8138,810.1398973244972,367.14426148930926,gloucester road station south kensington to drayton gardens west chelsea,1
"Driffield Road, Old Ford to Driffield Road, Old Ford",8123,0.0,3128.995445032624,driffield road old ford to driffield road old ford,0
"Westferry Circus, Canary Wharf to Westferry Circus, Canary Wharf",8114,0.0,2587.8415085038205,westferry circus canary wharf to westferry circus canary wharf,0
"Malet Street, Bloomsbury to Belgrove Street , King's Cross",8086,970.1699110007704,419.90081622557506,malet street bloomsbury to belgrove street  kings cross,2
"Finsbury Circus, Liverpool Street to Newgate Street , St. Paul's",8051,861.7129412195272,366.3023226928333,finsbury circus liverpool street to newgate street  st pauls,2
"Park Lane , Hyde Park to Serpentine Car Park, Hyde Park",8045,1225.9445725144062,1649.0703542573033,park lane  hyde park to serpentine car park hyde park,0
"Exhibition Road, Knightsbridge to Exhibition Road, Knightsbridge",8023,0.0,2831.4015954131874,exhibition road knightsbridge to exhibition road knightsbridge,0
"Prince Albert Road, The Regent's Park to Prince Albert Road, The Regent's Park",8003,0.0,3536.0286142696486,prince albert road the regents park to prince albert road the regents park,0
"Shoreditch Park, Hoxton to Shoreditch Park, Hoxton",7978,0.0,2820.809225369768,shoreditch park hoxton to shoreditch park hoxton,0
"Albert Gate, Hyde Park to Queen's Gate, Kensington Gardens",7930,1487.4997898796275,1746.4849936948294,albert gate hyde park to queens gate kensington gardens,1
"Parsons Green Station, Parsons Green to South Park, Sands End",7928,1067.7523034873352,376.55575176589304,parsons green station parsons green to south park sands end,0
"Eagle Wharf Road, Hoxton to Bath Street, St. Luke's",7873,867.2542669835204,327.4295694144544,eagle wharf road hoxton to bath street st lukes,2
"Porchester Place, Paddington to Porchester Place, Paddington",7869,0.0,3430.565891472868,porchester place paddington to porchester place paddington,2
"Hartington Road, Stockwell to Binfield Road, Stockwell",7858,658.6209888849475,369.20844998727426,hartington road stockwell to binfield road stockwell,0
"Godliman Street, St. Paul's to Waterloo Station 3, Waterloo",7857,1353.1531621951383,581.3228967799415,godliman street st pauls to waterloo station  waterloo,2
"Warwick Avenue Station, Maida Vale to Warwick Avenue Station, Maida Vale",7815,0.0,4097.983621241203,warwick avenue station maida vale to warwick avenue station maida vale,0
"Barons Court Station, West Kensington to Charing Cross Hospital, Hammersmith",7799,383.24067854739343,260.93947942043854,barons court station west kensington to charing cross hospital hammersmith,1
"Osiers Road, Wandsworth to Wandsworth Town Station, Wandsworth",7763,783.7224872344866,343.3042638155351,osiers road wandsworth to wandsworth town station wandsworth,0
"Hop Exchange, The Borough to Bankside Mix, Bankside",7743,597.1061418368732,364.15446209479546,hop exchange the borough to bankside mix bankside,2
"Richmond Way, Shepherd's Bush to Woodstock Grove, Shepherd's Bush",7700,409.8479034052607,296.15636363636366,richmond way shepherds bush to woodstock grove shepherds bush,0
"Grant Road East, Clapham Junction to Usk Road, Clapham Junction",7698,649.2780799831143,329.99727201870604,grant road east clapham junction to usk road clapham junction,0
