total_bill,tip,sex,smoker,day,time,size,cluster,PCA1,PCA2
20.49,4.06,Male,Yes,Sat,Dinner,2,0,0.2260835748097295,1.154555360078255
25.21,4.29,Male,Yes,Sat,Dinner,2,0,0.6403453365925593,1.1997862355475784
18.24,3.76,Male,No,Sat,Dinner,2,0,-0.04419538087555854,0.6488954893236304
14.31,4.0,Female,Yes,Sat,Dinner,2,0,-0.32653923377132066,0.6377883224303534
14.0,3.0,Male,No,Sat,Dinner,2,0,-0.6434413810393502,0.6138318295738864
7.25,1.0,Female,No,Sat,Dinner,1,0,-2.5996059436170764,0.4243732697891526
38.07,4.0,Male,No,Sun,Dinner,3,1,2.0263967621564225,0.32702599576321423
23.95,2.55,Male,No,Sun,Dinner,2,0,-0.09431633580285145,0.5129148355793404
25.71,4.0,Female,No,Sun,Dinner,3,1,1.0795863184069407,-0.2525961706037916
17.31,3.5,Female,No,Sun,Dinner,2,0,-0.26360634261510657,-0.018647072364657707
29.93,5.07,Male,No,Sun,Dinner,4,1,2.4826212748140533,-0.07926603211725039
10.65,1.5,Female,No,Thur,Lunch,2,0,-1.791192713843782,-1.4819151105604702
12.43,1.8,Female,No,Thur,Lunch,2,0,-1.5474433363105027,-1.467003267282517
24.08,2.92,Female,No,Thur,Lunch,4,1,0.839180462637759,-1.987984983733946
11.69,2.31,Male,No,Thur,Lunch,2,0,-1.2791001834879934,-1.0244690766857585
13.42,1.68,Female,No,Thur,Lunch,2,0,-1.5296004246602588,-1.455823662407081
14.26,2.5,Male,No,Thur,Lunch,2,0,-1.0269576490040553,-1.0004928464123695
15.95,2.0,Male,No,Thur,Lunch,2,0,-1.1176294479461497,-0.9784390520426743
12.48,2.52,Female,No,Thur,Lunch,2,0,-1.2485651132891116,-1.473743288017015
29.8,4.2,Female,No,Thur,Lunch,6,1,2.889599097631491,-2.5703096305482585
8.52,1.48,Male,No,Thur,Lunch,2,0,-1.834561636758786,-1.0480503199250806
14.52,2.0,Female,No,Thur,Lunch,2,0,-1.3237258476811415,-1.4479627107130135
11.38,2.0,Female,No,Thur,Lunch,2,0,-1.536520184204975,-1.4795921081665848
22.82,2.18,Male,No,Thur,Lunch,3,0,-0.009451989605528337,-1.2245805162768426
19.08,1.5,Male,No,Thur,Lunch,2,0,-1.1107140352340021,-0.9418800562929978
20.27,2.83,Female,No,Thur,Lunch,2,0,-0.5934206401964982,-1.3983929816678908
11.17,1.5,Female,No,Thur,Lunch,2,0,-1.7559528874130834,-1.4766771211732546
12.26,2.0,Female,No,Thur,Lunch,2,0,-1.476883554860716,-1.4707278184343737
18.26,3.25,Female,No,Thur,Lunch,2,0,-0.557267085863378,-1.422865301504227
8.51,1.25,Female,No,Thur,Lunch,2,0,-2.0388187708064356,-1.5009562870695432
10.33,2.0,Female,No,Thur,Lunch,2,0,-1.6076775260361933,-1.4901688175061547
14.15,2.0,Female,No,Thur,Lunch,2,0,-1.3488003395645232,-1.4516897416231476
16.0,2.0,Male,Yes,Thur,Lunch,2,0,-1.119562806526628,-0.4919217083018308
13.16,2.75,Female,No,Thur,Lunch,2,0,-1.1080896953140174,-1.4692075608637514
17.47,3.5,Female,No,Thur,Lunch,2,0,-0.5082038970583148,-1.4333381805808112
34.3,6.7,Male,No,Thur,Lunch,6,1,4.329752185310892,-2.0950133326865408
41.19,5.0,Male,No,Thur,Lunch,5,1,3.5302629955248706,-1.6949744110832539
27.05,5.0,Female,No,Thur,Lunch,6,1,3.0315566066776647,-2.6060590621394084
16.43,2.3,Female,No,Thur,Lunch,2,0,-1.0711665135401873,-1.4317413700882564
8.35,1.5,Female,No,Thur,Lunch,2,0,-1.9470611769026411,-1.5050831405423855
18.64,1.36,Female,No,Thur,Lunch,3,0,-0.738442881181988,-1.713555341027901
11.87,1.63,Female,No,Thur,Lunch,2,0,-1.65516233846672,-1.4709338671174648
9.78,1.73,Male,No,Thur,Lunch,2,0,-1.6465722091403916,-1.0378734331482187
7.51,2.0,Male,No,Thur,Lunch,2,0,-1.6895989384751802,-1.0634556490197895
14.07,2.5,Male,No,Sun,Dinner,2,0,-0.7843931614703102,0.41389607010836793
13.13,2.0,Male,No,Sun,Dinner,2,0,-1.0532971594753608,0.4094577258465685
17.26,2.74,Male,No,Sun,Dinner,3,0,0.09901890415716053,0.13008211843978593
24.55,2.0,Male,No,Sun,Dinner,4,1,0.8580890271212378,-0.102572856953865
19.77,2.0,Male,No,Sun,Dinner,4,1,0.5341536995467395,-0.15072206709019323
29.85,5.14,Female,No,Sun,Dinner,5,1,2.965473750413212,-0.8494277546288803
48.17,5.0,Male,No,Sun,Dinner,6,1,4.827463165950799,-0.5218941234524739
25.0,3.75,Female,No,Sun,Dinner,4,1,1.4976024756591446,-0.5707653203924714
13.39,2.61,Female,No,Sun,Dinner,2,0,-0.8945186168035072,-0.049179468526037745
16.49,2.0,Male,No,Sun,Dinner,4,0,0.3118717174454099,-0.18376169245570714
21.5,3.5,Male,No,Sun,Dinner,4,1,1.2669975958513888,-0.14838666590491997
12.66,2.5,Male,No,Sun,Dinner,2,0,-0.8799473062150891,0.39969306042380237
16.21,2.0,Female,No,Sun,Dinner,3,0,-0.3850231422905884,-0.3281688920406387
13.81,2.0,Male,No,Sun,Dinner,2,0,-1.0072143095275243,0.4163074042760043
17.51,3.0,Female,Yes,Sun,Dinner,2,0,-0.46057560149013277,0.47441155871451157
24.52,3.48,Male,No,Sun,Dinner,3,1,0.8947189238132578,0.19576762201588568
20.76,2.24,Male,No,Sun,Dinner,2,0,-0.43772388277774654,0.48390058919404655
31.71,4.5,Male,No,Sun,Dinner,4,1,2.369320503722488,-0.0556014166207324
10.59,1.61,Female,Yes,Sat,Dinner,2,0,-1.559501433088893,0.6243615241554813
10.63,2.0,Female,Yes,Sat,Dinner,2,0,-1.396733714032954,0.6208407899042657
50.81,10.0,Male,Yes,Sat,Dinner,3,1,5.287359892759174,1.0866776826129505
15.81,3.16,Male,Yes,Sat,Dinner,2,0,-0.46043708578191395,1.1164680475435538
7.25,5.15,Male,Yes,Sun,Dinner,2,0,-0.16433229765601878,0.8045507726342879
31.85,3.18,Male,Yes,Sun,Dinner,2,1,0.6942897028270042,1.0721674585889442
16.82,4.0,Male,Yes,Sun,Dinner,2,0,0.012253206326509607,0.9125196798529446
32.9,3.11,Male,Yes,Sun,Dinner,2,1,0.7367188717803609,1.0834484139690883
17.89,2.0,Male,Yes,Sun,Dinner,2,0,-0.7360390132700889,0.943419165767769
14.48,2.0,Male,Yes,Sun,Dinner,2,0,-0.9671309519790932,0.9090700430554511
9.6,4.0,Female,Yes,Sun,Dinner,2,0,-0.5862251069349139,0.38467302396726244
34.63,3.55,Male,Yes,Sun,Dinner,2,1,1.034536150220257,1.0964481123401995
34.65,3.68,Male,Yes,Sun,Dinner,4,1,2.2267092322796556,0.4682767997776539
23.33,5.65,Male,Yes,Sun,Dinner,2,1,1.1305928006582169,0.9614951925161729
45.35,3.5,Male,Yes,Sun,Dinner,3,1,2.3092312939147535,0.8914018669606271
23.17,6.5,Male,Yes,Sun,Dinner,4,1,2.606057259433121,0.324267056220938
40.55,3.0,Male,Yes,Sun,Dinner,2,1,1.210006662028312,1.1616139686497151
20.69,5.0,Male,No,Sun,Dinner,5,1,2.3964411853519083,-0.48516927235934204
20.9,3.5,Female,Yes,Sun,Dinner,3,1,0.54309488565153,0.18999644734085788
30.46,2.0,Male,Yes,Sun,Dinner,5,1,1.8220140963863756,0.12944015386384336
18.15,3.5,Female,Yes,Sun,Dinner,3,0,0.35673041895072016,0.16229554192769827
23.1,4.0,Male,Yes,Sun,Dinner,3,1,1.0065745709046134,0.6622460306656374
15.69,1.5,Male,Yes,Sun,Dinner,2,0,-1.0903318214726017,0.9262887702984856
19.81,4.19,Female,Yes,Thur,Lunch,2,0,-0.0717687774679819,-0.9306953912517081
28.44,2.56,Male,Yes,Thur,Lunch,2,0,-0.04669234504625868,-0.3722468535938045
15.48,2.02,Male,Yes,Thur,Lunch,2,0,-1.1465945835636522,-0.4973609108434962
16.58,4.0,Male,Yes,Thur,Lunch,2,0,-0.2594519069095439,-0.5062006509687594
7.56,1.44,Male,No,Thur,Lunch,2,0,-1.9160358766489631,-1.0573180278695022
10.34,2.0,Male,Yes,Thur,Lunch,2,0,-1.5031347634453855,-0.5489352081703701
43.11,5.0,Female,Yes,Thur,Lunch,4,1,2.977137905719936,-1.331207195422508
13.0,2.0,Female,Yes,Thur,Lunch,2,0,-1.4320563745235366,-0.9772600656989554
13.51,2.0,Male,Yes,Thur,Lunch,2,0,-1.2883073600120887,-0.5170036190213826
18.71,4.0,Male,Yes,Thur,Lunch,3,0,0.4536285351927926,-0.7982774846886528
12.74,2.01,Female,Yes,Thur,Lunch,2,0,-1.4455722630420487,-0.9799796669697881
16.4,2.5,Female,Yes,Thur,Lunch,2,0,-0.996440889942489,-0.9480420024130206
20.53,4.0,Male,Yes,Thur,Lunch,4,1,1.145700619230674,-1.093476965927848
16.47,3.23,Female,Yes,Thur,Lunch,3,0,-0.12337057275418223,-1.2682136126889156
26.59,3.41,Male,Yes,Sat,Dinner,3,1,0.941444932636629,0.9090079882380676
38.73,3.0,Male,Yes,Sat,Dinner,4,1,2.164627020959582,0.721887319888295
24.27,2.03,Male,Yes,Sat,Dinner,2,0,-0.35086700805585597,1.2130546488773586
12.76,2.23,Female,Yes,Sat,Dinner,2,0,-1.1579933954337964,0.6399824490026498
30.06,2.0,Male,Yes,Sat,Dinner,3,1,0.5979355229105008,0.9581470217299265
25.89,5.16,Male,Yes,Sat,Dinner,4,1,2.1809437182261124,0.5708182535695497
48.33,9.0,Male,No,Sat,Dinner,4,1,5.282945053519826,0.27221102517142637
13.27,2.5,Female,Yes,Sat,Dinner,2,0,-1.012622591158312,0.6424033302396547
28.17,6.5,Female,Yes,Sat,Dinner,3,1,2.207476544140521,0.43871679731200675
12.9,1.1,Female,Yes,Sat,Dinner,2,0,-1.6122605405989152,0.6527612201410044
28.15,3.0,Male,Yes,Sat,Dinner,5,1,2.0163647824192674,0.3017819378770351
11.59,1.5,Male,Yes,Sat,Dinner,2,0,-1.4276899307214201,1.090660440874327
7.74,1.44,Male,Yes,Sat,Dinner,2,0,-1.7132243322835774,1.052482812759253
30.14,3.09,Female,Yes,Sat,Dinner,4,1,1.5102415411042007,0.17933511738357846
12.16,2.2,Male,Yes,Fri,Lunch,2,0,-1.2664651859730542,-0.0850386794788692
13.42,3.48,Female,Yes,Fri,Lunch,2,0,-0.7649480916309891,-0.5403434580116664
8.58,1.92,Male,Yes,Fri,Lunch,1,0,-2.1927232202108984,0.19524920645820057
15.98,3.0,Female,No,Fri,Lunch,3,0,-0.21439840584495054,-1.3092734526389485
13.42,1.58,Male,Yes,Fri,Lunch,2,0,-1.4355259069795048,-0.06610902048344233
16.27,2.5,Female,Yes,Fri,Lunch,2,0,-0.9740011555220233,-0.5017758023790806
10.09,2.0,Female,Yes,Fri,Lunch,2,0,-1.598014173713344,-0.5589969627735913
20.45,3.0,Male,No,Sat,Dinner,4,1,0.9311333875561487,0.0517381558994883
13.28,2.72,Male,No,Sat,Dinner,2,0,-0.8071476783779156,0.6093962130461924
22.12,2.88,Female,Yes,Sat,Dinner,2,0,-0.2569149143867983,0.7277268304529135
24.01,2.0,Male,Yes,Sat,Dinner,4,1,0.7566663876991561,0.5836725857265258
15.69,3.0,Male,Yes,Sat,Dinner,3,0,0.034498942961272074,0.8033365419030373
11.61,3.39,Male,No,Sat,Dinner,2,0,-0.6453520816499447,0.5858335679939518
10.77,1.47,Male,No,Sat,Dinner,2,0,-1.4902506969076803,0.5966886633494736
15.53,3.0,Male,Yes,Sat,Dinner,2,0,-0.5450767720863021,1.1152572969552668
10.07,1.25,Male,No,Sat,Dinner,2,0,-1.6279774681255796,0.5918508684887077
12.6,1.0,Male,Yes,Sat,Dinner,2,0,-1.5644445796113513,1.1058645568145862
32.83,1.17,Male,Yes,Sat,Dinner,2,0,-0.12371137381697936,1.3079321782774787
35.83,4.67,Female,No,Sat,Dinner,3,1,1.9808715789318623,0.048273722925302326
29.03,5.92,Male,No,Sat,Dinner,3,1,2.142233043608729,0.4223203043333298
27.18,2.0,Female,Yes,Sat,Dinner,2,0,-0.2751584689789906,0.7875498752089168
22.67,2.0,Male,Yes,Sat,Dinner,2,0,-0.47160931731774774,1.197239578186831
17.82,1.75,Male,No,Sat,Dinner,2,0,-0.8975672816723421,0.664886727610004
18.78,3.0,Female,No,Thur,Dinner,2,0,-0.48918061807645435,-0.5299750745352003
