Name," ""Year""",combined_text,clean_text,Cluster
Searching for Sugar Man,2012,Searching for Sugar Man,searching sugar man,1
"Artist, The",2011,"Artist, The",artist,4
Drive,2011,Drive,drive,4
Jiro Dreams of Sushi,2011,Jiro Dreams of Sushi,jiro dream sushi,4
13 Assassins,2010,13 Assassins,assassin,4
Waiting for Superman,2010,Waiting for Superman,waiting superman,4
Fantastic Mr. Fox,2009,Fantastic Mr. Fox,fantastic mr fox,4
Inglorious Basterds,2009,Inglorious Basterds,inglorious basterds,4
Invictus,2009,Invictus,invictus,4
Moon,2009,Moon,moon,4
Precious,2009,Precious,precious,4
"Road, The",2009,"Road, The",road,4
Dear Zachary: A Letter to a Son About His Father,2008,Dear Zachary: A Letter to a Son About His Father,dear zachary letter son father,4
In Bruges,2008,In Bruges,bruges,4
Ip Man,2008,Ip Man,ip man,1
Man on Wire,2008,Man on Wire,man wire,1
Revolutionary Road,2008,Revolutionary Road,revolutionary road,4
"Synecdoche, New York",2008,"Synecdoche, New York",synecdoche new york,4
3:10 to Yuma,2007,3:10 to Yuma,yuma,4
An American Crime,2007,An American Crime,american crime,4
Charlie Wilson's War,2007,Charlie Wilson's War,charlie wilson war,4
"Great Debaters, The",2007,"Great Debaters, The",great debater,4
Into The Wild,2007,Into The Wild,wild,4
Lars and the Real Girl,2007,Lars and the Real Girl,lars real girl,4
Michael Clayton,2007,Michael Clayton,michael clayton,4
No Country for Old Men,2007,No Country for Old Men,country old men,4
The Assassination of Jesse James by the Coward Robert Ford,2007,The Assassination of Jesse James by the Coward Robert Ford,assassination jesse james coward robert ford,4
The King of Kong,2007,The King of Kong,king kong,4
There Will Be Blood,2007,There Will Be Blood,blood,4
Babel,2006,Babel,babel,4
Blood Diamond,2006,Blood Diamond,blood diamond,4
Cocaine Cowboys,2006,Cocaine Cowboys,cocaine cowboy,0
"Illusionist, The",2006,"Illusionist, The",illusionist,4
Letters from Iwo Jima,2006,Letters from Iwo Jima,letter iwo jima,4
"Lives of Others, The",2006,"Lives of Others, The",life others,4
"Paris, je t'aime",2006,"Paris, je t'aime",paris je aime,4
Capote,2005,Capote,capote,4
Cinderella Man,2005,Cinderella Man,cinderella man,1
Elizabethtown,2005,Elizabethtown,elizabethtown,4
Grizzly Man,2005,Grizzly Man,grizzly man,1
Hustle & Flow,2005,Hustle & Flow,hustle flow,4
Jarhead,2005,Jarhead,jarhead,4
Kiss Kiss Bang Bang,2005,Kiss Kiss Bang Bang,kiss kiss bang bang,4
Match Point,2005,Match Point,match point,4
Pride & Prejudice,2005,Pride & Prejudice,pride prejudice,4
The Squid and the Whale,2005,The Squid and the Whale,squid whale,4
V for Vendetta,2005,V for Vendetta,v vendetta,4
"World's Fastest Indian, The",2005,"World's Fastest Indian, The",world fastest indian,4
Alexander,2004,Alexander,alexander,4
Finding Neverland,2004,Finding Neverland,finding neverland,4
Kung Fu Hustle,2004,Kung Fu Hustle,kung fu hustle,4
"Life Aquatic with Steve Zissou, The",2004,"Life Aquatic with Steve Zissou, The",life aquatic steve zissou,4
Man on Fire,2004,Man on Fire,man fire,1
"Notebook, The",2004,"Notebook, The",notebook,4
"Passion of the Christ, The",2004,"Passion of the Christ, The",passion christ,4
"Terminal, The",2004,"Terminal, The",terminal,4
American Splendor,2003,American Splendor,american splendor,4
Coffee and Cigarettes,2003,Coffee and Cigarettes,coffee cigarette,4
Monster,2003,Monster,monster,4
"Room, The",2003,"Room, The",room,4
25th Hour,2002,25th Hour,th hour,4
About a Boy,2002,About a Boy,boy,2
"Cat Returns, The",2002,"Cat Returns, The",cat return,4
Confessions of a Dangerous Mind,2002,Confessions of a Dangerous Mind,confession dangerous mind,4
"Count of Monte Cristo, The",2002,"Count of Monte Cristo, The",count monte cristo,4
Equilibrium,2002,Equilibrium,equilibrium,4
Insomnia,2002,Insomnia,insomnia,4
Irreversible,2002,Irreversible,irreversible,4
Solaris,2002,Solaris,solaris,4
Ali,2001,Ali,ali,4
Bridget Jones's Diary,2001,Bridget Jones's Diary,bridget jones diary,4
Gosford Park,2001,Gosford Park,gosford park,4
Ichi the Killer,2001,Ichi the Killer,ichi killer,4
Monster's Ball,2001,Monster's Ball,monster ball,4
Serendipity,2001,Serendipity,serendipity,4
Vanilla Sky,2001,Vanilla Sky,vanilla sky,4
Almost Famous,2000,Almost Famous,almost famous,4
American Psycho,2000,American Psycho,american psycho,4
Amores perros,2000,Amores perros,amores perros,4
Billy Elliot,2000,Billy Elliot,billy elliot,4
Chocolat,2000,Chocolat,chocolat,4
"Family Man, The",2000,"Family Man, The",family man,1
Gladiator,2000,Gladiator,gladiator,4
High Fidelity,2000,High Fidelity,high fidelity,4
Remember the Titans,2000,Remember the Titans,remember titan,4
"Road to El Durado, The",2000,"Road to El Durado, The",road el durado,4
Rules of Engagement,2000,Rules of Engagement,rule engagement,4
Snatch.,2000,Snatch.,snatch,4
Unbreakable,2000,Unbreakable,unbreakable,4
Blair Witch Project,1999,Blair Witch Project,blair witch project,4
Boys Don't Cry,1999,Boys Don't Cry,boy cry,2
Election,1999,Election,election,4
Eyes Wide Shut,1999,Eyes Wide Shut,eye wide shut,4
"Girl, Interrupted",1999,"Girl, Interrupted",girl interrupted,4
Notting Hill,1999,Notting Hill,notting hill,4
"Sixth Sense, The",1999,"Sixth Sense, The",sixth sense,4
Three Kings,1999,Three Kings,three king,4
Dark City,1998,Dark City,dark city,4
Elizabeth,1998,Elizabeth,elizabeth,4
Fear and Loathing in Las Vegas,1998,Fear and Loathing in Las Vegas,fear loathing la vega,4
"Lock, Stock and Two Smoking Barrels",1998,"Lock, Stock and Two Smoking Barrels",lock stock two smoking barrel,4
"Red Violin, The",1998,"Red Violin, The",red violin,4
Ronin,1998,Ronin,ronin,4
Rounders,1998,Rounders,rounder,4
Chasing Amy,1997,Chasing Amy,chasing amy,4
Cube,1997,Cube,cube,4
"Devil's Advocate, The",1997,"Devil's Advocate, The",devil advocate,4
Face/Off,1997,Face/Off,face,4
Innocence,1997,Innocence,innocence,4
Life Is Beautiful,1997,Life Is Beautiful,life beautiful,4
The Game,1997,The Game,game,4
Beautiful Thing,1996,Beautiful Thing,beautiful thing,4
From Dusk Till Dawn,1996,From Dusk Till Dawn,dusk till dawn,4
Jerry Maguire,1996,Jerry Maguire,jerry maguire,4
"Rock, The",1996,"Rock, The",rock,4
Swingers,1996,Swingers,swinger,4
The People vs. Larry Flynt,1996,The People vs. Larry Flynt,people v larry flynt,4
"Basketball Diaries, The",1995,"Basketball Diaries, The",basketball diary,4
Braveheart,1995,Braveheart,braveheart,4
Clueless,1995,Clueless,clueless,4
Dead Man,1995,Dead Man,dead man,1
Die Hard: With a Vengeance,1995,Die Hard: With a Vengeance,die hard vengeance,4
Friday,1995,Friday,friday,4
Heat,1995,Heat,heat,4
Johnny Mnemonic,1995,Johnny Mnemonic,johnny mnemonic,4
Judge Dredd,1995,Judge Dredd,judge dredd,4
Leaving Las Vegas,1995,Leaving Las Vegas,leaving la vega,4
Mallrats,1995,Mallrats,mallrats,4
Sense and Sensibility,1995,Sense and Sensibility,sense sensibility,4
Tommy Boy,1995,Tommy Boy,tommy boy,2
Waterworld,1995,Waterworld,waterworld,4
Beverly Hills Cop III,1994,Beverly Hills Cop III,beverly hill cop iii,4
Dumb & Dumber,1994,Dumb & Dumber,dumb dumber,4
Ed Wood,1994,Ed Wood,ed wood,4
Four Weddings and a Funeral,1994,Four Weddings and a Funeral,four wedding funeral,4
Hoop Dreams,1994,Hoop Dreams,hoop dream,4
Leon: The Professional,1994,Leon: The Professional,leon professional,4
Little Big League,1994,Little Big League,little big league,4
Miracle on 34th Street,1994,Miracle on 34th Street,miracle th street,4
Naked Gun 33 1/3: The Final Insult,1994,Naked Gun 33 1/3: The Final Insult,naked gun final insult,3
True Lies,1994,True Lies,true lie,4
Dazed and Confused,1993,Dazed and Confused,dazed confused,4
Philadelphia,1993,Philadelphia,philadelphia,4
Rudy,1993,Rudy,rudy,4
Sleepless in Seattle,1993,Sleepless in Seattle,sleepless seattle,4
"Three Musketeers, The",1993,"Three Musketeers, The",three musketeer,4
A Few Good Men,1992,A Few Good Men,good men,4
A League fo Their Own,1992,A League fo Their Own,league fo,4
Chaplin,1992,Chaplin,chaplin,4
Glengarry Glen Ross,1992,Glengarry Glen Ross,glengarry glen ross,4
Lethal Weapon 3,1992,Lethal Weapon 3,lethal weapon,4
Malcolm X,1992,Malcolm X,malcolm x,4
My Cousin Vinny,1992,My Cousin Vinny,cousin vinny,4
Newsies,1992,Newsies,newsies,4
The Bodyguard,1992,The Bodyguard,bodyguard,4
White Men Can't Jump,1992,White Men Can't Jump,white men jump,4
Barton Fink,1991,Barton Fink,barton fink,4
Boyz N the Hood,1991,Boyz N the Hood,boyz n hood,4
"Fisher King, The",1991,"Fisher King, The",fisher king,4
Hot Shots!,1991,Hot Shots!,hot shot,4
"Naked Gun 2 1/2, The",1991,"Naked Gun 2 1/2, The",naked gun,3
Point Break,1991,Point Break,point break,4
Dances with Colves,1990,Dances with Colves,dance colves,4
Die Hard 2,1990,Die Hard 2,die hard,4
Edward Scissorhands,1990,Edward Scissorhands,edward scissorhands,4
Ghost,1990,Ghost,ghost,4
"Godfather: Part III, The",1990,"Godfather: Part III, The",godfather part iii,4
King of New York,1990,King of New York,king new york,4
Nikita,1990,Nikita,nikita,4
Pretty Woman,1990,Pretty Woman,pretty woman,4
RoboCop 2,1990,RoboCop 2,robocop,4
Rocky V,1990,Rocky V,rocky v,4
"Rookie, The",1990,"Rookie, The",rookie,4
Tremors,1990,Tremors,tremor,4
Crimes and Misdemeanors,1989,Crimes and Misdemeanors,crime misdemeanor,4
Dead Poets Society,1989,Dead Poets Society,dead poet society,4
Do the Right Thing,1989,Do the Right Thing,right thing,4
Drugstore Cowboy,1989,Drugstore Cowboy,drugstore cowboy,0
Ghostbusters II,1989,Ghostbusters II,ghostbusters ii,4
My Left Foot,1989,My Left Foot,left foot,4
Star Trek V: The Final Frontier,1989,Star Trek V: The Final Frontier,star trek v final frontier,3
When Harry Met Sally...,1989,When Harry Met Sally...,harry met sally,4
Beetlejuice,1988,Beetlejuice,beetlejuice,4
Cinema Paradiso,1988,Cinema Paradiso,cinema paradiso,4
Coming to America,1988,Coming to America,coming america,4
Who Framed Roger Rabbit,1988,Who Framed Roger Rabbit,framed roger rabbit,4
Young Guns,1988,Young Guns,young gun,3
Broadcast News,1987,Broadcast News,broadcast news,4
Near Dark,1987,Near Dark,near dark,4
"Planes, Trains & Automobiles",1987,"Planes, Trains & Automobiles",plane train automobile,4
Predator,1987,Predator,predator,4
Raising Arizona,1987,Raising Arizona,raising arizona,4
Aliens,1986,Aliens,alien,4
Blue Velvet,1986,Blue Velvet,blue velvet,4
Crocodile Dundee,1986,Crocodile Dundee,crocodile dundee,4
Hoosiers,1986,Hoosiers,hoosier,4
"Name of the Rose, The",1986,"Name of the Rose, The",name rose,4
Pretty in Pink,1986,Pretty in Pink,pretty pink,4
Stand by Me,1986,Stand by Me,stand,4
Star Trek IV: The Voyage Home,1986,Star Trek IV: The Voyage Home,star trek iv voyage home,4
"Transformers: The Movie, The",1986,"Transformers: The Movie, The",transformer movie,4
"Breakfast Club, The",1985,"Breakfast Club, The",breakfast club,4
Cocoon,1985,Cocoon,cocoon,4
Commando,1985,Commando,commando,4
Mad Max 3 Beyond Thunderdome,1985,Mad Max 3 Beyond Thunderdome,mad max beyond thunderdome,4
Pee-wee's Big Adventure,1985,Pee-wee's Big Adventure,pee wee big adventure,4
Real Genius,1985,Real Genius,real genius,4
A Nightmare on Elm Street,1984,A Nightmare on Elm Street,nightmare elm street,4
Gremlins,1984,Gremlins,gremlin,4
"Natural, The",1984,"Natural, The",natural,4
"Neverending Story, The",1984,"Neverending Story, The",neverending story,4
Once Upon a Time in America,1984,Once Upon a Time in America,upon time america,4
Policy Academy,1984,Policy Academy,policy academy,4
Red Dawn,1984,Red Dawn,red dawn,4
Star Trek III: The Search for Spock,1984,Star Trek III: The Search for Spock,star trek iii search spock,4
Flashdance,1983,Flashdance,flashdance,4
National Lampoon's Vacation,1983,National Lampoon's Vacation,national lampoon vacation,4
"Outsiders, The",1983,"Outsiders, The",outsider,4
"Right Stuff, The",1983,"Right Stuff, The",right stuff,4
Terms of Endearment,1983,Terms of Endearment,term endearment,4
Ghandi,1982,Ghandi,ghandi,4
Poltergeist,1982,Poltergeist,poltergeist,4
Rambo: First Blood,1982,Rambo: First Blood,rambo first blood,4
Star Trek II: The Wrath of Khan,1982,Star Trek II: The Wrath of Khan,star trek ii wrath khan,4
"Thing, The",1982,"Thing, The",thing,4
"Verdict, The",1982,"Verdict, The",verdict,4
An American Werewolf in London,1981,An American Werewolf in London,american werewolf london,4
Blow Out,1981,Blow Out,blow,4
Das Boot,1981,Das Boot,da boot,4
"Evil Dead, The",1981,"Evil Dead, The",evil dead,4
"Fox and the Hound, The",1981,"Fox and the Hound, The",fox hound,4
My Dinner with Andre,1981,My Dinner with Andre,dinner andre,4
"Elephant Man, The",1980,"Elephant Man, The",elephant man,1
Ordinary People,1980,Ordinary People,ordinary people,4
Raging Bull,1980,Raging Bull,raging bull,4
"Shining, The",1980,"Shining, The",shining,4
Urban Cowboy,1980,Urban Cowboy,urban cowboy,0
Alien,1979,Alien,alien,4
Apocalypse Now,1979,Apocalypse Now,apocalypse,4
Life of Brian,1979,Life of Brian,life brian,4
Mad Max,1979,Mad Max,mad max,4
Manhattan,1979,Manhattan,manhattan,4
Moonraker,1979,Moonraker,moonraker,4
Rocky II,1979,Rocky II,rocky ii,4
Star Trek: The Motion Picture,1979,Star Trek: The Motion Picture,star trek motion picture,4
The Warriors,1979,The Warriors,warrior,4
Days of Heaven,1978,Days of Heaven,day heaven,4
Superman,1978,Superman,superman,4
The Deer Hunter,1978,The Deer Hunter,deer hunter,4
Up in Smoke,1978,Up in Smoke,smoke,4
Watership Down,1978,Watership Down,watership,4
Annie Hall,1977,Annie Hall,annie hall,4
Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind,close encounter third kind,4
Eraserhead,1977,Eraserhead,eraserhead,4
Saturday Night Fever,1977,Saturday Night Fever,saturday night fever,4
The Spy Who Loved Me,1977,The Spy Who Loved Me,spy loved,4
Logan's Run,1976,Logan's Run,logan run,4
Network,1976,Network,network,4
Rocky,1976,Rocky,rocky,4
Taxi Driver,1976,Taxi Driver,taxi driver,4
The Bad News Bears,1976,The Bad News Bears,bad news bear,4
Dog Day Afternoon,1975,Dog Day Afternoon,dog day afternoon,4
The Rocky Horror Picture Show,1975,The Rocky Horror Picture Show,rocky horror picture show,4
Blazing Saddles,1974,Blazing Saddles,blazing saddle,4
Chinatown,1974,Chinatown,chinatown,4
The Conversation,1974,The Conversation,conversation,4
The Godfather: Part II,1974,The Godfather: Part II,godfather part ii,4
The Man with the Golden Gun,1974,The Man with the Golden Gun,man golden gun,1
Young Frankenstein,1974,Young Frankenstein,young frankenstein,4
American Graffiti,1973,American Graffiti,american graffiti,4
Enter the Dragon,1973,Enter the Dragon,enter dragon,4
Live and Let Die,1973,Live and Let Die,live let die,4
Soylent Green,1973,Soylent Green,soylent green,4
The Sting,1973,The Sting,sting,4
The Three Musketeers,1973,The Three Musketeers,three musketeer,4
A Clockwork Orange,1971,A Clockwork Orange,clockwork orange,4
Diamonds Are Forever,1971,Diamonds Are Forever,diamond forever,4
Dirty Harry,1971,Dirty Harry,dirty harry,4
Fiddler on the Roof,1971,Fiddler on the Roof,fiddler roof,4
The French Connection,1971,The French Connection,french connection,4
Willy Wonka & the Chocolate Factory,1971,Willy Wonka & the Chocolate Factory,willy wonka chocolate factory,4
M.A.S.H.,1970,M.A.S.H.,h,4
Patton,1970,Patton,patton,4
Butch Cassidy and the Sundance Kid,1969,Butch Cassidy and the Sundance Kid,butch cassidy sundance kid,4
Easy Rider,1969,Easy Rider,easy rider,4
Midnight Cowboy,1969,Midnight Cowboy,midnight cowboy,0
On Her Majesty's Secret Service,1969,On Her Majesty's Secret Service,majesty secret service,4
The Italian Job,1969,The Italian Job,italian job,4
True Grit,1969,True Grit,true grit,4
2001: A Space Odyssey,1968,2001: A Space Odyssey,space odyssey,4
Chitty Chitty Bang Bang,1968,Chitty Chitty Bang Bang,chitty chitty bang bang,4
Once Upon a Time in the West,1968,Once Upon a Time in the West,upon time west,4
The Thomas Crown Affair,1968,The Thomas Crown Affair,thomas crown affair,4
Casino Royale,1967,Casino Royale,casino royale,4
In the Heat of the Night,1967,In the Heat of the Night,heat night,4
The Dirty Dozen,1967,The Dirty Dozen,dirty dozen,4
The Graduate,1967,The Graduate,graduate,4
The Producers,1967,The Producers,producer,4
You Only Live Twice,1967,You Only Live Twice,live twice,4
Batman: The Movie,1966,Batman: The Movie,batman movie,4
"The Good, the Bad and the Ugly",1966,"The Good, the Bad and the Ugly",good bad ugly,4
War and Peace,1966,War and Peace,war peace,4
Who's Afraid of Virginia Woolf?,1966,Who's Afraid of Virginia Woolf?,afraid virginia woolf,4
Doctor Zhivago,1965,Doctor Zhivago,doctor zhivago,4
The Sound of Music,1965,The Sound of Music,sound music,4
Thunderball,1965,Thunderball,thunderball,4
A Hard Day's Night,1964,A Hard Day's Night,hard day night,4
A Shot in the Dark,1964,A Shot in the Dark,shot dark,4
For a Fistful of Dollars,1964,For a Fistful of Dollars,fistful dollar,4
Goldfinger,1964,Goldfinger,goldfinger,4
Mary Poppins,1964,Mary Poppins,mary poppins,4
My Fair Lady,1964,My Fair Lady,fair lady,4
Viva Las Vegas,1964,Viva Las Vegas,viva la vega,4
"Birds, The",1963,"Birds, The",bird,4
From Russia with Love,1963,From Russia with Love,russia love,4
"Great Escape, The",1963,"Great Escape, The",great escape,4
"Pink Panther, The",1963,"Pink Panther, The",pink panther,4
Dr. No,1962,Dr. No,dr,4
Harakiri,1962,Harakiri,harakiri,4
Lolita,1962,Lolita,lolita,4
"Manchurian Candidate, The",1962,"Manchurian Candidate, The",manchurian candidate,4
Breakfast at Tiffany's,1961,Breakfast at Tiffany's,breakfast tiffany,4
West Side Story,1961,West Side Story,west side story,4
"Apartment, The",1960,"Apartment, The",apartment,4
Ocean's Eleven,1960,Ocean's Eleven,ocean eleven,4
Psycho,1960,Psycho,psycho,4
Ben-Hur,1959,Ben-Hur,ben hur,4
North by Northwest,1959,North by Northwest,north northwest,4
Plan 9 from Outer Space,1959,Plan 9 from Outer Space,plan outer space,4
Some Like It Hot,1959,Some Like It Hot,like hot,4
Cat on a Hot Tin Roof,1958,Cat on a Hot Tin Roof,cat hot tin roof,4
The Fly,1958,The Fly,fly,4
Touch of Evil,1958,Touch of Evil,touch evil,4
Vertigo,1958,Vertigo,vertigo,4
12 Angry Men,1957,12 Angry Men,angry men,4
3:10 to Yuma,1957,3:10 to Yuma,yuma,4
The Bridge on the River Kwai,1957,The Bridge on the River Kwai,bridge river kwai,4
Around the World in Eighty Days,1956,Around the World in Eighty Days,around world eighty day,4
The Killing,1956,The Killing,killing,4
The Man Who Knew Too Much,1956,The Man Who Knew Too Much,man knew much,1
The Ten Commandments,1956,The Ten Commandments,ten commandment,4
The Wrong Man,1956,The Wrong Man,wrong man,1
Guys and Dolls,1955,Guys and Dolls,guy doll,4
Rebel Without a Cause,1955,Rebel Without a Cause,rebel without cause,4
To Catch a Thief,1955,To Catch a Thief,catch thief,4
Dial M for Murder,1954,Dial M for Murder,dial murder,4
Godzilla,1954,Godzilla,godzilla,4
Rear Window,1954,Rear Window,rear window,4
The War of the Worlds,1953,The War of the Worlds,war world,4
Roman Holiday,1953,Roman Holiday,roman holiday,4
Singin' in the Rain,1952,Singin' in the Rain,singin rain,4
A Streetcar Named Desire,1951,A Streetcar Named Desire,streetcar named desire,4
An American in Paris,1951,An American in Paris,american paris,4
The Day the Earth Stood Still,1951,The Day the Earth Stood Still,day earth stood still,4
Sunset Blvd.,1950,Sunset Blvd.,sunset blvd,4
The Third Man,1949,The Third Man,third man,1
White Heat,1949,White Heat,white heat,4
Miracle on 34th Street,1947,Miracle on 34th Street,miracle th street,4
The Big Sleep,1946,The Big Sleep,big sleep,4
The Lost Weekend,1945,The Lost Weekend,lost weekend,4
Citizen Kane,1941,Citizen Kane,citizen kane,4
"Maltese Falcon, The",1941,"Maltese Falcon, The",maltese falcon,4
Fantasia,1940,Fantasia,fantasia,4
"Grapes of Wrath, The",1940,"Grapes of Wrath, The",grape wrath,4
"Great Dictator, The",1940,"Great Dictator, The",great dictator,4
Gone with the Wind,1939,Gone with the Wind,gone wind,4
"Hound of the Baskervilles, The",1939,"Hound of the Baskervilles, The",hound baskervilles,4
Mr. Smith Goes to Washington,1939,Mr. Smith Goes to Washington,mr smith go washington,4
Of Mice and Men,1939,Of Mice and Men,mouse men,4
Wuthering Heights,1939,Wuthering Heights,wuthering height,4
Souls at Sea,1937,Souls at Sea,soul sea,4
Flash Gordon,1936,Flash Gordon,flash gordon,4
Reefer Madness,1936,Reefer Madness,reefer madness,4
The Bride of Frankenstein,1935,The Bride of Frankenstein,bride frankenstein,4
It Happened One Night,1934,It Happened One Night,happened one night,4
"Man Who Knew Too Much, The",1934,"Man Who Knew Too Much, The",man knew much,1
"Invisible Man, The",1933,"Invisible Man, The",invisible man,1
King Kong,1933,King Kong,king kong,4
Scarface,1932,Scarface,scarface,4
Trouble in Paradise,1932,Trouble in Paradise,trouble paradise,4
City Lights,1931,City Lights,city light,4
Dr. Jekyll and Mr. Hyde,1931,Dr. Jekyll and Mr. Hyde,dr jekyll mr hyde,4
Dracula,1931,Dracula,dracula,4
Frankenstein,1931,Frankenstein,frankenstein,4
M,1931,M,,4
All Quiet on the Western Front,1930,All Quiet on the Western Front,quiet western front,4
The Circus,1928,The Circus,circus,4
Metropolis,1927,Metropolis,metropolis,4
Nosferatu,1922,Nosferatu,nosferatu,4
