country,food_category,consumption,co2_emmission,Cluster
Canada,Wheat and Wheat Products,84.96000000000001,16.2,0
Canada,Rice,12.65,16.19,0
Canada,Soybeans,0.94,0.42,0
Canada,Nuts inc. Peanut Butter,8.01,14.18,0
Norway,Pork,23.51,83.21000000000001,0
Norway,Poultry,21.01,22.57,0
Norway,Beef,19.83,611.91,0
Norway,Lamb & Goat,5.34,187.01,0
Norway,Fish,38.18,60.96,0
Norway,Eggs,11.41,10.48,0
Norway,Milk - inc. cheese,261.34000000000003,372.25,0
Norway,Wheat and Wheat Products,97.12,18.52,0
Norway,Rice,4.359999999999999,5.58,0
Norway,Soybeans,0.11,0.05,0
Norway,Nuts inc. Peanut Butter,5.28,9.35,0
Hong Kong SAR. China,Pork,67.11,237.54,0
Hong Kong SAR. China,Poultry,54.86,58.93,0
Hong Kong SAR. China,Beef,25.82,796.75,0
Hong Kong SAR. China,Lamb & Goat,2.22,77.74000000000001,0
Hong Kong SAR. China,Fish,42.44,67.76,0
Hong Kong SAR. China,Eggs,14.5,13.32,0
Hong Kong SAR. China,Milk - inc. cheese,105.85,150.76999999999998,0
Hong Kong SAR. China,Wheat and Wheat Products,53.14,10.13,0
Hong Kong SAR. China,Rice,43.48,55.64,0
Hong Kong SAR. China,Soybeans,2.79,1.26,0
Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,24.44,0
French Polynesia,Pork,14.75,52.21,0
French Polynesia,Poultry,49.55,53.23,0
French Polynesia,Beef,30.9,953.51,0
French Polynesia,Lamb & Goat,2.8299999999999996,99.11,0
French Polynesia,Fish,38.95,62.190000000000005,0
French Polynesia,Eggs,8.75,8.04,0
French Polynesia,Milk - inc. cheese,93.56,133.26999999999998,0
French Polynesia,Wheat and Wheat Products,68.66999999999999,13.1,0
French Polynesia,Rice,35.59,45.54,0
French Polynesia,Soybeans,0.77,0.35,0
French Polynesia,Nuts inc. Peanut Butter,2.34,4.14,0
Israel,Pork,1.99,7.04,0
Israel,Poultry,62.5,67.14,0
Israel,Beef,28.78,888.09,0
Israel,Lamb & Goat,1.87,65.49000000000001,0
Israel,Fish,22.18,35.41,0
Israel,Eggs,11.35,10.43,0
Israel,Milk - inc. cheese,193.6,275.76,0
Israel,Wheat and Wheat Products,110.86,21.14,0
Israel,Rice,16.810000000000002,21.51,0
Israel,Soybeans,0.1,0.05,0
Israel,Nuts inc. Peanut Butter,7.71,13.65,0
Switzerland,Pork,31.49,111.46,0
Switzerland,Poultry,16.38,17.6,0
Switzerland,Beef,21.26,656.04,0
Switzerland,Lamb & Goat,1.42,49.73,0
Switzerland,Fish,13.48,21.52,0
Switzerland,Eggs,10.53,9.67,0
Switzerland,Milk - inc. cheese,318.69,453.94,0
Switzerland,Wheat and Wheat Products,89.51,17.07,0
Switzerland,Rice,2.4299999999999997,3.11,0
Switzerland,Soybeans,0.44,0.2,0
Switzerland,Nuts inc. Peanut Butter,9.27,16.41,0
Netherlands,Pork,36.36,128.7,0
Netherlands,Poultry,23.9,25.67,0
Netherlands,Beef,17.67,545.26,0
Netherlands,Lamb & Goat,0.94,32.92,0
Netherlands,Fish,18.64,29.76,0
Netherlands,Eggs,14.03,12.89,0
Netherlands,Milk - inc. cheese,341.46999999999997,486.39,0
Netherlands,Wheat and Wheat Products,70.16999999999999,13.38,0
Netherlands,Rice,2.9299999999999997,3.75,0
Netherlands,Soybeans,0.12,0.05,0
Netherlands,Nuts inc. Peanut Butter,7.94,14.05,0
Kuwait,Pork,0.0,0.0,0
Kuwait,Poultry,53.61,57.59,0
Kuwait,Beef,13.03,402.08,0
Kuwait,Lamb & Goat,15.61,546.66,0
Kuwait,Fish,11.99,19.14,0
Kuwait,Eggs,12.6,11.57,0
Kuwait,Milk - inc. cheese,157.66,224.57,0
Kuwait,Wheat and Wheat Products,96.76,18.45,0
Kuwait,Rice,43.83,56.09,0
Kuwait,Soybeans,0.06,0.03,0
Kuwait,Nuts inc. Peanut Butter,5.23,9.26,0
United Kingdom,Pork,25.79,91.28,0
United Kingdom,Poultry,31.55,33.89,0
United Kingdom,Beef,18.12,559.15,0
United Kingdom,Lamb & Goat,4.49,157.23999999999998,0
United Kingdom,Fish,15.49,24.73,0
United Kingdom,Eggs,11.08,10.18,0
United Kingdom,Milk - inc. cheese,232.2,330.75,0
United Kingdom,Wheat and Wheat Products,98.63,18.81,0
United Kingdom,Rice,6.39,8.18,0
United Kingdom,Soybeans,0.05,0.02,0
United Kingdom,Nuts inc. Peanut Butter,4.18,7.4,0
Austria,Pork,52.56,186.04,0
Austria,Poultry,18.610000000000003,19.99,0
Austria,Beef,17.14,528.9,0
Austria,Lamb & Goat,1.16,40.620000000000005,0
Austria,Fish,12.16,19.42,0
Austria,Eggs,14.68,13.49,0
Austria,Milk - inc. cheese,258.09,367.62,0
Austria,Wheat and Wheat Products,81.1,15.47,0
Austria,Rice,3.7,4.73,0
Austria,Soybeans,2.06,0.93,0
Austria,Nuts inc. Peanut Butter,7.88,13.95,0
Oman,Pork,0.01,0.04,0
Oman,Poultry,31.51,33.849999999999994,0
Oman,Beef,15.1,465.95,0
Oman,Lamb & Goat,12.87,450.71,0
Oman,Fish,21.56,34.42,0
Oman,Eggs,7.8,7.17,0
Oman,Milk - inc. cheese,152.28,216.91,0
Oman,Wheat and Wheat Products,64.1,12.22,0
Oman,Rice,56.55,72.36999999999999,0
Oman,Soybeans,0.21,0.09,0
Oman,Nuts inc. Peanut Butter,1.6800000000000002,2.97,0
Italy,Pork,40.28,142.57,0
Italy,Poultry,18.610000000000003,19.99,0
Italy,Beef,18.6,573.9599999999999,0
Italy,Lamb & Goat,0.92,32.220000000000006,0
Italy,Fish,15.6,24.91,0
Italy,Eggs,13.34,12.25,0
Italy,Milk - inc. cheese,246.88,351.66,0
Italy,Wheat and Wheat Products,146.37,27.91,0
Italy,Rice,5.74,7.35,0
Italy,Soybeans,0.01,0.0,0
Italy,Nuts inc. Peanut Butter,7.63,13.51,0
Bahamas,Pork,32.74,115.88,0
Bahamas,Poultry,45.74,49.13,0
Bahamas,Beef,19.92,614.69,0
Bahamas,Lamb & Goat,5.22,182.8,0
Bahamas,Fish,18.8,30.02,0
Bahamas,Eggs,6.2,5.7,0
Bahamas,Milk - inc. cheese,104.76,149.22,0
Bahamas,Wheat and Wheat Products,39.98,7.619999999999999,0
Bahamas,Rice,23.97,30.67,0
Bahamas,Soybeans,0.09,0.04,0
Bahamas,Nuts inc. Peanut Butter,4.03,7.13,0
Portugal,Pork,37.91,134.18,0
Portugal,Poultry,30.14,32.379999999999995,0
Portugal,Beef,16.45,507.61,0
Portugal,Lamb & Goat,2.38,83.35,0
Portugal,Fish,45.39,72.47,0
Portugal,Eggs,9.05,8.31,0
Portugal,Milk - inc. cheese,205.04,292.06,0
Portugal,Wheat and Wheat Products,94.3,17.979999999999997,0
Portugal,Rice,14.86,19.02,0
Portugal,Soybeans,0.01,0.0,0
Portugal,Nuts inc. Peanut Butter,3.91,6.92,0
Malta,Pork,34.24,121.19,0
Malta,Poultry,26.4,28.36,0
Malta,Beef,19.22,593.09,0
Malta,Lamb & Goat,1.1900000000000002,41.67,0
Malta,Fish,24.58,39.25,0
Malta,Eggs,11.64,10.69,0
Malta,Milk - inc. cheese,190.06,270.71999999999997,0
Malta,Wheat and Wheat Products,139.58,26.62,0
Malta,Rice,4.96,6.35,0
Malta,Soybeans,0.05,0.02,0
Malta,Nuts inc. Peanut Butter,5.619999999999999,9.95,0
Armenia,Pork,9.67,34.230000000000004,0
Armenia,Poultry,13.35,14.34,0
Armenia,Beef,19.66,606.6700000000001,0
Armenia,Lamb & Goat,3.02,105.76,0
Armenia,Fish,4.359999999999999,6.96,0
Armenia,Eggs,11.69,10.739999999999998,0
Armenia,Milk - inc. cheese,209.03,297.74,0
Armenia,Wheat and Wheat Products,130.6,24.91,0
Armenia,Rice,3.18,4.07,0
Armenia,Soybeans,0.0,0.0,0
Armenia,Nuts inc. Peanut Butter,2.55,4.51,0
Slovenia,Pork,28.19,99.78,0
Slovenia,Poultry,23.459999999999997,25.2,0
Slovenia,Beef,18.43,568.71,0
Slovenia,Lamb & Goat,0.7899999999999999,27.67,0
Slovenia,Fish,7.76,12.39,0
Slovenia,Eggs,9.36,8.6,0
Slovenia,Milk - inc. cheese,235.01,334.75,0
Slovenia,Wheat and Wheat Products,103.43,19.72,0
Slovenia,Rice,3.95,5.05,0
Slovenia,Soybeans,0.75,0.3399999999999999,0
Slovenia,Nuts inc. Peanut Butter,5.28,9.35,0
Chile,Pork,24.68,87.35,0
Chile,Poultry,36.52,39.23,0
Chile,Beef,23.86,736.2700000000001,0
Chile,Lamb & Goat,0.42,14.71,0
Chile,Fish,7.65,12.21,0
Chile,Eggs,9.97,9.16,0
Chile,Milk - inc. cheese,116.11,165.39,0
Chile,Wheat and Wheat Products,104.74,19.97,0
Chile,Rice,8.850000000000001,11.33,0
Chile,Soybeans,0.04,0.02,0
Chile,Nuts inc. Peanut Butter,2.22,3.93,0
Venezuela,Pork,7.23,25.59,0
Venezuela,Poultry,39.28,42.190000000000005,0
Venezuela,Beef,25.89,798.91,0
Venezuela,Lamb & Goat,0.32,11.21,0
Venezuela,Fish,8.34,13.32,0
Venezuela,Eggs,5.63,5.17,0
Venezuela,Milk - inc. cheese,117.79,167.78,0
Venezuela,Wheat and Wheat Products,49.17,9.38,0
Venezuela,Rice,23.39,29.93,0
Venezuela,Soybeans,0.0,0.0,0
Venezuela,Nuts inc. Peanut Butter,0.35,0.62,0
Belgium,Pork,38.65,136.8,0
Belgium,Poultry,12.2,13.11,0
Belgium,Beef,15.63,482.31,0
Belgium,Lamb & Goat,1.32,46.23,0
Belgium,Fish,18.97,30.29,0
Belgium,Eggs,12.59,11.57,0
Belgium,Milk - inc. cheese,236.19,336.42999999999995,0
Belgium,Wheat and Wheat Products,111.91,21.34,0
Belgium,Rice,8.61,11.02,0
Belgium,Soybeans,0.07,0.03,0
Belgium,Nuts inc. Peanut Butter,7.319999999999999,12.96,0
Germany,Pork,51.809999999999995,183.38,0
Germany,Poultry,17.75,19.07,0
Germany,Beef,13.16,406.09,0
Germany,Lamb & Goat,0.73,25.56,0
Germany,Fish,11.16,17.82,0
Germany,Eggs,12.2,11.21,0
Germany,Milk - inc. cheese,258.7,368.4899999999999,0
Germany,Wheat and Wheat Products,83.41000000000001,15.91,0
Germany,Rice,3.34,4.2700000000000005,0
Germany,Soybeans,0.88,0.4,0
Germany,Nuts inc. Peanut Butter,7.96,14.09,0
Russia,Pork,25.66,90.82,0
Russia,Poultry,27.5,29.54,0
Russia,Beef,16.979999999999997,523.97,0
Russia,Lamb & Goat,1.4,49.03,0
Russia,Fish,20.82,33.24,0
Russia,Eggs,15.43,14.17,0
Russia,Milk - inc. cheese,163.57,232.99,0
Russia,Wheat and Wheat Products,130.99,24.979999999999997,0
Russia,Rice,4.71,6.03,0
Russia,Soybeans,0.05,0.02,0
Russia,Nuts inc. Peanut Butter,1.62,2.8699999999999997,0
Croatia,Pork,42.790000000000006,151.46,0
Croatia,Poultry,8.52,9.15,0
Croatia,Beef,12.41,382.95,0
Croatia,Lamb & Goat,1.71,59.879999999999995,0
Croatia,Fish,15.83,25.28,0
Croatia,Eggs,8.48,7.79,0
Croatia,Milk - inc. cheese,231.02,329.06,0
Croatia,Wheat and Wheat Products,106.59,20.33,0
Croatia,Rice,2.64,3.38,0
Croatia,Soybeans,0.0,0.0,0
Croatia,Nuts inc. Peanut Butter,3.88,6.87,0
Belarus,Pork,40.37,142.89,0
Belarus,Poultry,31.29,33.61,0
Belarus,Beef,17.110000000000003,527.98,0
Belarus,Lamb & Goat,0.11,3.85,0
Belarus,Fish,15.75,25.15,0
Belarus,Eggs,15.86,14.57,0
Belarus,Milk - inc. cheese,133.73,190.49,0
Belarus,Wheat and Wheat Products,60.48,11.53,0
Belarus,Rice,3.17,4.06,0
Belarus,Soybeans,0.3,0.14,0
Belarus,Nuts inc. Peanut Butter,3.36,5.95,0
Spain,Pork,48.92,173.15,0
Spain,Poultry,28.630000000000003,30.75,0
Spain,Beef,12.15,374.92,0
Spain,Lamb & Goat,2.16,75.64,0
Spain,Fish,28.83,46.03,0
Spain,Eggs,13.32,12.239999999999998,0
Spain,Milk - inc. cheese,164.29,234.01,0
Spain,Wheat and Wheat Products,93.88,17.9,0
Spain,Rice,8.32,10.65,0
Spain,Soybeans,0.02,0.01,0
Spain,Nuts inc. Peanut Butter,7.44,13.17,0
Paraguay,Pork,26.24,92.88,0
Paraguay,Poultry,6.39,6.859999999999999,0
Paraguay,Beef,19.81,611.2900000000001,0
Paraguay,Lamb & Goat,0.56,19.610000000000003,0
Paraguay,Fish,3.6,5.75,0
Paraguay,Eggs,18.83,17.3,0
Paraguay,Milk - inc. cheese,75.72,107.86,0
Paraguay,Wheat and Wheat Products,31.51,6.01,0
Paraguay,Rice,4.91,6.28,0
Paraguay,Soybeans,0.0,0.0,0
Paraguay,Nuts inc. Peanut Butter,1.6,2.8299999999999996,0
New Caledonia,Pork,19.9,70.44000000000001,0
New Caledonia,Poultry,44.36,47.65,0
New Caledonia,Beef,16.07,495.89,0
New Caledonia,Lamb & Goat,1.95,68.29,0
New Caledonia,Fish,19.38,30.94,0
New Caledonia,Eggs,8.850000000000001,8.129999999999999,0
New Caledonia,Milk - inc. cheese,108.0,153.84,0
New Caledonia,Wheat and Wheat Products,81.75,15.59,0
New Caledonia,Rice,17.47,22.36,0
New Caledonia,Soybeans,0.55,0.25,0
New Caledonia,Nuts inc. Peanut Butter,2.96,5.24,0
South Africa,Pork,4.159999999999999,14.72,1
South Africa,Poultry,37.57,40.36,1
South Africa,Beef,18.03,556.37,1
South Africa,Lamb & Goat,4.28,149.89,1
South Africa,Fish,5.56,8.88,1
South Africa,Eggs,7.21,6.619999999999999,1
South Africa,Milk - inc. cheese,55.75,79.41000000000001,1
South Africa,Wheat and Wheat Products,60.13,11.47,1
South Africa,Rice,17.41,22.28,1
South Africa,Soybeans,1.27,0.5700000000000001,1
South Africa,Nuts inc. Peanut Butter,1.04,1.84,1
Barbados,Pork,8.3,29.38,0
Barbados,Poultry,42.620000000000005,45.78,0
Barbados,Beef,13.13,405.16,0
Barbados,Lamb & Goat,4.08,142.88000000000002,0
Barbados,Fish,37.41,59.73,0
Barbados,Eggs,9.61,8.83,0
Barbados,Milk - inc. cheese,110.48,157.37,0
Barbados,Wheat and Wheat Products,65.71000000000001,12.53,0
Barbados,Rice,15.66,20.04,0
Barbados,Soybeans,0.1,0.05,0
Barbados,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999,0
Lithuania,Pork,45.67,161.65,0
Lithuania,Poultry,26.84,28.83,0
Lithuania,Beef,4.49,138.55,0
Lithuania,Lamb & Goat,0.24,8.4,0
Lithuania,Fish,42.39,67.67999999999999,0
Lithuania,Eggs,13.11,12.04,0
Lithuania,Milk - inc. cheese,295.46,420.85,0
Lithuania,Wheat and Wheat Products,121.59,23.19,0
Lithuania,Rice,3.07,3.93,0
Lithuania,Soybeans,0.02,0.01,0
Lithuania,Nuts inc. Peanut Butter,2.13,3.77,0
Turkey,Pork,0.01,0.04,0
Turkey,Poultry,18.78,20.17,0
Turkey,Beef,11.64,359.19,0
Turkey,Lamb & Goat,4.68,163.89,0
Turkey,Fish,5.58,8.91,0
Turkey,Eggs,8.2,7.53,0
Turkey,Milk - inc. cheese,193.94,276.25,0
Turkey,Wheat and Wheat Products,169.96,32.41,0
Turkey,Rice,10.739999999999998,13.739999999999998,0
Turkey,Soybeans,1.71,0.77,0
Turkey,Nuts inc. Peanut Butter,7.970000000000001,14.11,0
Estonia,Pork,29.68,105.05,0
Estonia,Poultry,21.110000000000003,22.68,0
Estonia,Beef,7.1899999999999995,221.87,0
Estonia,Lamb & Goat,0.44,15.41,0
Estonia,Fish,12.78,20.41,0
Estonia,Eggs,12.66,11.63,0
Estonia,Milk - inc. cheese,284.85,405.74,0
Estonia,Wheat and Wheat Products,89.36,17.04,0
Estonia,Rice,2.56,3.28,0
Estonia,Soybeans,0.04,0.02,0
Estonia,Nuts inc. Peanut Butter,4.29,7.59,0
Mexico,Pork,15.23,53.91,0
Mexico,Poultry,30.12,32.349999999999994,0
Mexico,Beef,15.33,473.05,0
Mexico,Lamb & Goat,0.89,31.17,0
Mexico,Fish,7.56,12.07,0
Mexico,Eggs,18.34,16.85,0
Mexico,Milk - inc. cheese,111.87,159.35000000000002,0
Mexico,Wheat and Wheat Products,35.21,6.71,0
Mexico,Rice,5.64,7.22,0
Mexico,Soybeans,0.02,0.01,0
Mexico,Nuts inc. Peanut Butter,2.51,4.44,0
Costa Rica,Pork,10.28,36.39,0
Costa Rica,Poultry,24.47,26.29,0
Costa Rica,Beef,15.23,469.97,0
Costa Rica,Lamb & Goat,0.02,0.7,0
Costa Rica,Fish,11.32,18.07,0
Costa Rica,Eggs,10.55,9.69,0
Costa Rica,Milk - inc. cheese,183.28,261.06,0
Costa Rica,Wheat and Wheat Products,39.309999999999995,7.5,0
Costa Rica,Rice,45.690000000000005,58.47,0
Costa Rica,Soybeans,1.54,0.69,0
Costa Rica,Nuts inc. Peanut Butter,1.38,2.44,0
Bolivia,Pork,8.89,31.47,0
Bolivia,Poultry,34.309999999999995,36.86,0
Bolivia,Beef,19.78,610.37,0
Bolivia,Lamb & Goat,1.72,60.23,0
Bolivia,Fish,2.18,3.48,0
Bolivia,Eggs,5.18,4.76,0
Bolivia,Milk - inc. cheese,46.04,65.58,0
Bolivia,Wheat and Wheat Products,49.99,9.53,0
Bolivia,Rice,26.99,34.54,0
Bolivia,Soybeans,0.01,0.0,0
Bolivia,Nuts inc. Peanut Butter,9.16,16.21,0
Ecuador,Pork,14.44,51.11,0
Ecuador,Poultry,21.85,23.47,0
Ecuador,Beef,16.610000000000003,512.55,0
Ecuador,Lamb & Goat,0.44,15.41,0
Ecuador,Fish,5.17,8.25,0
Ecuador,Eggs,8.01,7.359999999999999,0
Ecuador,Milk - inc. cheese,139.6,198.85,0
Ecuador,Wheat and Wheat Products,39.190000000000005,7.470000000000001,0
Ecuador,Rice,45.07,57.68,0
Ecuador,Soybeans,0.0,0.0,0
Ecuador,Nuts inc. Peanut Butter,0.98,1.73,0
Panama,Pork,13.48,47.71,0
Panama,Poultry,30.81,33.1,0
Panama,Beef,20.4,629.5,0
Panama,Lamb & Goat,0.01,0.35,0
Panama,Fish,11.05,17.64,0
Panama,Eggs,4.53,4.159999999999999,0
Panama,Milk - inc. cheese,70.29,100.12,0
Panama,Wheat and Wheat Products,38.96,7.430000000000001,0
Panama,Rice,66.42,85.0,0
Panama,Soybeans,3.53,1.59,0
Panama,Nuts inc. Peanut Butter,1.05,1.86,0
Czech Republic,Pork,41.17,145.72,0
Czech Republic,Poultry,19.09,20.51,0
Czech Republic,Beef,8.15,251.49,0
