label,train,val,clean_text,cluster,cluster_name
vacuuming floor,997,2.0,vacuuming floor,1,"Cluster 1 - eating, putting, riding"
vacuuming car,467,1.0,vacuuming car,1,"Cluster 1 - eating, putting, riding"
using segway,14,3.0,using segway,3,"Cluster 3 - using, roller, controller"
using remote controller (not gaming),13,1.0,using remote controller gaming,3,"Cluster 3 - using, roller, controller"
using puppets,6,2.0,using puppet,3,"Cluster 3 - using, roller, controller"
using megaphone,16,,using megaphone,3,"Cluster 3 - using, roller, controller"
using inhaler,11,1.0,using inhaler,3,"Cluster 3 - using, roller, controller"
using circular saw,8,,using circular saw,3,"Cluster 3 - using, roller, controller"
using bagging machine,1,,using bagging machine,3,"Cluster 3 - using, roller, controller"
using atm,24,1.0,using atm,3,"Cluster 3 - using, roller, controller"
using a wrench,9,,using wrench,3,"Cluster 3 - using, roller, controller"
using a sledge hammer,13,,using sledge hammer,3,"Cluster 3 - using, roller, controller"
using a power drill,15,1.0,using power drill,3,"Cluster 3 - using, roller, controller"
using a paint roller,15,2.0,using paint roller,3,"Cluster 3 - using, roller, controller"
using a microscope,40,1.0,using microscope,3,"Cluster 3 - using, roller, controller"
unloading truck,637,1.0,unloading truck,1,"Cluster 1 - eating, putting, riding"
uncorking champagne,463,2.0,uncorking champagne,1,"Cluster 1 - eating, putting, riding"
unboxing,828,2.0,unboxing,1,"Cluster 1 - eating, putting, riding"
tying shoe laces,22,1.0,tying shoe lace,1,"Cluster 1 - eating, putting, riding"
tying necktie,914,2.0,tying necktie,1,"Cluster 1 - eating, putting, riding"
tying knot (not on a tie),661,1.0,tying knot tie,1,"Cluster 1 - eating, putting, riding"
tying bow tie,220,1.0,tying bow tie,1,"Cluster 1 - eating, putting, riding"
twiddling fingers,3,2.0,twiddling finger,1,"Cluster 1 - eating, putting, riding"
triple jump,7,,triple jump,1,"Cluster 1 - eating, putting, riding"
trimming trees,12,1.0,trimming tree,1,"Cluster 1 - eating, putting, riding"
trimming shrubs,7,2.0,trimming shrub,1,"Cluster 1 - eating, putting, riding"
trimming or shaving beard,13,2.0,trimming shaving beard,1,"Cluster 1 - eating, putting, riding"
treating wood,432,1.0,treating wood,2,"Cluster 2 - wood, sanding, chiseling"
trapezing,9,,trapezing,1,"Cluster 1 - eating, putting, riding"
training dog,808,1.0,training dog,1,"Cluster 1 - eating, putting, riding"
tossing salad,10,,tossing salad,1,"Cluster 1 - eating, putting, riding"
tossing coin,22,,tossing coin,1,"Cluster 1 - eating, putting, riding"
tobogganing,975,1.0,tobogganing,1,"Cluster 1 - eating, putting, riding"
tiptoeing,7,,tiptoeing,1,"Cluster 1 - eating, putting, riding"
tightrope walking,7,,tightrope walking,1,"Cluster 1 - eating, putting, riding"
tie dying,590,2.0,tie dying,1,"Cluster 1 - eating, putting, riding"
tickling,48,,tickling,1,"Cluster 1 - eating, putting, riding"
throwing water balloon,695,5.0,throwing water balloon,1,"Cluster 1 - eating, putting, riding"
throwing tantrum,735,,throwing tantrum,1,"Cluster 1 - eating, putting, riding"
throwing snowballs,13,,throwing snowball,1,"Cluster 1 - eating, putting, riding"
throwing knife,729,,throwing knife,1,"Cluster 1 - eating, putting, riding"
throwing discus,6,1.0,throwing discus,1,"Cluster 1 - eating, putting, riding"
throwing ball (not baseball or American football),28,1.0,throwing ball baseball american football,1,"Cluster 1 - eating, putting, riding"
throwing axe,340,2.0,throwing axe,1,"Cluster 1 - eating, putting, riding"
threading needle,570,1.0,threading needle,1,"Cluster 1 - eating, putting, riding"
texting,611,3.0,texting,1,"Cluster 1 - eating, putting, riding"
testifying,11,1.0,testifying,1,"Cluster 1 - eating, putting, riding"
tasting wine,3,1.0,tasting wine,1,"Cluster 1 - eating, putting, riding"
tasting food,39,1.0,tasting food,1,"Cluster 1 - eating, putting, riding"
tasting beer,12,1.0,tasting beer,1,"Cluster 1 - eating, putting, riding"
tapping pen,998,1.0,tapping pen,1,"Cluster 1 - eating, putting, riding"
tapping guitar,1000,,tapping guitar,1,"Cluster 1 - eating, putting, riding"
tap dancing,9,1.0,tap dancing,6,"Cluster 6 - dancing, ballet, line"
tango dancing,4,,tango dancing,6,"Cluster 6 - dancing, ballet, line"
talking on cell phone,738,1.0,talking cell phone,1,"Cluster 1 - eating, putting, riding"
taking photo,508,1.0,taking photo,1,"Cluster 1 - eating, putting, riding"
tai chi,10,,tai chi,1,"Cluster 1 - eating, putting, riding"
tagging graffiti,717,,tagging graffiti,1,"Cluster 1 - eating, putting, riding"
tackling,3,,tackling,1,"Cluster 1 - eating, putting, riding"
sword swallowing,625,3.0,sword swallowing,1,"Cluster 1 - eating, putting, riding"
sword fighting,14,2.0,sword fighting,1,"Cluster 1 - eating, putting, riding"
swinging on something,8,,swinging something,1,"Cluster 1 - eating, putting, riding"
swinging baseball bat,7,,swinging baseball bat,1,"Cluster 1 - eating, putting, riding"
swing dancing,3,,swing dancing,6,"Cluster 6 - dancing, ballet, line"
swimming with sharks,458,,swimming shark,1,"Cluster 1 - eating, putting, riding"
swimming with dolphins,577,1.0,swimming dolphin,1,"Cluster 1 - eating, putting, riding"
swimming front crawl,23,2.0,swimming front crawl,1,"Cluster 1 - eating, putting, riding"
swimming butterfly stroke,10,,swimming butterfly stroke,1,"Cluster 1 - eating, putting, riding"
swimming breast stroke,14,,swimming breast stroke,1,"Cluster 1 - eating, putting, riding"
swimming backstroke,4,2.0,swimming backstroke,1,"Cluster 1 - eating, putting, riding"
sweeping floor,266,,sweeping floor,1,"Cluster 1 - eating, putting, riding"
surveying,508,,surveying,1,"Cluster 1 - eating, putting, riding"
surfing water,10,,surfing water,1,"Cluster 1 - eating, putting, riding"
surfing crowd,16,,surfing crowd,1,"Cluster 1 - eating, putting, riding"
sucking lolly,543,4.0,sucking lolly,1,"Cluster 1 - eating, putting, riding"
stretching leg,10,,stretching leg,1,"Cluster 1 - eating, putting, riding"
stretching arm,17,1.0,stretching arm,1,"Cluster 1 - eating, putting, riding"
stomping grapes,695,1.0,stomping grape,1,"Cluster 1 - eating, putting, riding"
sticking tongue out,968,1.0,sticking tongue,1,"Cluster 1 - eating, putting, riding"
steering car,373,2.0,steering car,1,"Cluster 1 - eating, putting, riding"
steer roping,499,,steer roping,1,"Cluster 1 - eating, putting, riding"
staring,706,2.0,staring,1,"Cluster 1 - eating, putting, riding"
standing on hands,12,2.0,standing hand,1,"Cluster 1 - eating, putting, riding"
stacking dice,534,3.0,stacking dice,1,"Cluster 1 - eating, putting, riding"
stacking cups,668,,stacking cup,1,"Cluster 1 - eating, putting, riding"
squeezing orange,447,,squeezing orange,1,"Cluster 1 - eating, putting, riding"
squat,6,1.0,squat,1,"Cluster 1 - eating, putting, riding"
square dancing,7,1.0,square dancing,6,"Cluster 6 - dancing, ballet, line"
springboard diving,5,1.0,springboard diving,1,"Cluster 1 - eating, putting, riding"
spraying,667,,spraying,1,"Cluster 1 - eating, putting, riding"
spray painting,469,1.0,spray painting,1,"Cluster 1 - eating, putting, riding"
splashing water,673,1.0,splashing water,1,"Cluster 1 - eating, putting, riding"
spinning poi,7,,spinning poi,1,"Cluster 1 - eating, putting, riding"
spinning plates,465,3.0,spinning plate,1,"Cluster 1 - eating, putting, riding"
spelunking,929,,spelunking,1,"Cluster 1 - eating, putting, riding"
somersaulting,5,,somersaulting,1,"Cluster 1 - eating, putting, riding"
snowmobiling,19,,snowmobiling,1,"Cluster 1 - eating, putting, riding"
snowkiting,1000,1.0,snowkiting,1,"Cluster 1 - eating, putting, riding"
snowboarding,21,2.0,snowboarding,1,"Cluster 1 - eating, putting, riding"
snorkeling,873,,snorkeling,1,"Cluster 1 - eating, putting, riding"
sneezing,816,4.0,sneezing,1,"Cluster 1 - eating, putting, riding"
snatch weight lifting,8,,snatch weight lifting,1,"Cluster 1 - eating, putting, riding"
smoking pipe,759,2.0,smoking pipe,1,"Cluster 1 - eating, putting, riding"
smoking hookah,1000,1.0,smoking hookah,1,"Cluster 1 - eating, putting, riding"
smoking,605,1.0,smoking,1,"Cluster 1 - eating, putting, riding"
smelling feet,746,1.0,smelling foot,1,"Cluster 1 - eating, putting, riding"
smashing,741,3.0,smashing,1,"Cluster 1 - eating, putting, riding"
slicing onion,640,1.0,slicing onion,1,"Cluster 1 - eating, putting, riding"
sleeping,11,1.0,sleeping,1,"Cluster 1 - eating, putting, riding"
sled dog racing,867,1.0,sled dog racing,1,"Cluster 1 - eating, putting, riding"
slapping,19,1.0,slapping,1,"Cluster 1 - eating, putting, riding"
slacklining,6,,slacklining,1,"Cluster 1 - eating, putting, riding"
skydiving,26,,skydiving,1,"Cluster 1 - eating, putting, riding"
skipping stone,729,1.0,skipping stone,1,"Cluster 1 - eating, putting, riding"
skipping rope,9,2.0,skipping rope,1,"Cluster 1 - eating, putting, riding"
skiing slalom,996,1.0,skiing slalom,1,"Cluster 1 - eating, putting, riding"
skiing mono,466,,skiing mono,1,"Cluster 1 - eating, putting, riding"
skiing crosscountry,817,,skiing crosscountry,1,"Cluster 1 - eating, putting, riding"
ski jumping,10,,ski jumping,5,"Cluster 5 - jumping, ski, pool"
ski ballet,5,,ski ballet,1,"Cluster 1 - eating, putting, riding"
skateboarding,26,1.0,skateboarding,1,"Cluster 1 - eating, putting, riding"
situp,8,,situp,1,"Cluster 1 - eating, putting, riding"
sipping cup,829,1.0,sipping cup,1,"Cluster 1 - eating, putting, riding"
singing,794,1.0,singing,1,"Cluster 1 - eating, putting, riding"
silent disco,761,,silent disco,1,"Cluster 1 - eating, putting, riding"
sign language interpreting,646,1.0,sign language interpreting,1,"Cluster 1 - eating, putting, riding"
sieving,530,1.0,sieving,1,"Cluster 1 - eating, putting, riding"
side kick,13,,side kick,1,"Cluster 1 - eating, putting, riding"
shuffling feet,5,1.0,shuffling foot,1,"Cluster 1 - eating, putting, riding"
shuffling cards,989,1.0,shuffling card,1,"Cluster 1 - eating, putting, riding"
shucking oysters,751,,shucking oyster,1,"Cluster 1 - eating, putting, riding"
shredding paper,536,3.0,shredding paper,1,"Cluster 1 - eating, putting, riding"
shoveling snow,998,1.0,shoveling snow,1,"Cluster 1 - eating, putting, riding"
shouting,682,1.0,shouting,1,"Cluster 1 - eating, putting, riding"
shot put,10,,shot put,1,"Cluster 1 - eating, putting, riding"
shopping,551,2.0,shopping,1,"Cluster 1 - eating, putting, riding"
shooting off fireworks,525,2.0,shooting firework,1,"Cluster 1 - eating, putting, riding"
shooting goal (soccer),8,1.0,shooting goal soccer,1,"Cluster 1 - eating, putting, riding"
shooting basketball,19,,shooting basketball,1,"Cluster 1 - eating, putting, riding"
shoot dance,28,5.0,shoot dance,1,"Cluster 1 - eating, putting, riding"
shining shoes,421,,shining shoe,1,"Cluster 1 - eating, putting, riding"
shining flashlight,726,3.0,shining flashlight,1,"Cluster 1 - eating, putting, riding"
shearing sheep,26,1.0,shearing sheep,1,"Cluster 1 - eating, putting, riding"
shaving legs,648,5.0,shaving leg,1,"Cluster 1 - eating, putting, riding"
shaving head,859,2.0,shaving head,1,"Cluster 1 - eating, putting, riding"
sharpening pencil,811,3.0,sharpening pencil,1,"Cluster 1 - eating, putting, riding"
sharpening knives,991,1.0,sharpening knife,1,"Cluster 1 - eating, putting, riding"
shaping bread dough,772,2.0,shaping bread dough,1,"Cluster 1 - eating, putting, riding"
shaking head,6,,shaking head,1,"Cluster 1 - eating, putting, riding"
shaking hands,9,1.0,shaking hand,1,"Cluster 1 - eating, putting, riding"
sewing,760,,sewing,1,"Cluster 1 - eating, putting, riding"
setting table,125,3.0,setting table,1,"Cluster 1 - eating, putting, riding"
separating eggs,718,2.0,separating egg,1,"Cluster 1 - eating, putting, riding"
seasoning food,406,,seasoning food,1,"Cluster 1 - eating, putting, riding"
scuba diving,906,,scuba diving,1,"Cluster 1 - eating, putting, riding"
scrubbing face,499,1.0,scrubbing face,1,"Cluster 1 - eating, putting, riding"
scrapbooking,535,2.0,scrapbooking,1,"Cluster 1 - eating, putting, riding"
scrambling eggs,880,1.0,scrambling egg,1,"Cluster 1 - eating, putting, riding"
sawing wood,661,1.0,sawing wood,2,"Cluster 2 - wood, sanding, chiseling"
sausage making,495,2.0,sausage making,0,"Cluster 0 - making, art, bubble"
sanding wood,580,,sanding wood,2,"Cluster 2 - wood, sanding, chiseling"
sanding floor,837,2.0,sanding floor,1,"Cluster 1 - eating, putting, riding"
saluting,411,3.0,saluting,1,"Cluster 1 - eating, putting, riding"
salsa dancing,3,,salsa dancing,6,"Cluster 6 - dancing, ballet, line"
sailing,998,,sailing,1,"Cluster 1 - eating, putting, riding"
running on treadmill,12,,running treadmill,1,"Cluster 1 - eating, putting, riding"
rope pushdown,7,,rope pushdown,1,"Cluster 1 - eating, putting, riding"
rolling pastry,599,4.0,rolling pastry,1,"Cluster 1 - eating, putting, riding"
rolling eyes,685,,rolling eye,1,"Cluster 1 - eating, putting, riding"
roller skating,636,1.0,roller skating,1,"Cluster 1 - eating, putting, riding"
rock scissors paper,62,1.0,rock scissors paper,1,"Cluster 1 - eating, putting, riding"
rock climbing,6,1.0,rock climbing,1,"Cluster 1 - eating, putting, riding"
robot dancing,15,,robot dancing,6,"Cluster 6 - dancing, ballet, line"
roasting pig,22,1.0,roasting pig,1,"Cluster 1 - eating, putting, riding"
roasting marshmallows,48,2.0,roasting marshmallow,1,"Cluster 1 - eating, putting, riding"
ripping paper,381,2.0,ripping paper,1,"Cluster 1 - eating, putting, riding"
riding unicycle,26,,riding unicycle,1,"Cluster 1 - eating, putting, riding"
riding snow blower,8,,riding snow blower,1,"Cluster 1 - eating, putting, riding"
riding scooter,51,1.0,riding scooter,1,"Cluster 1 - eating, putting, riding"
riding or walking with horse,18,,riding walking horse,1,"Cluster 1 - eating, putting, riding"
riding mule,15,,riding mule,1,"Cluster 1 - eating, putting, riding"
riding mechanical bull,54,1.0,riding mechanical bull,1,"Cluster 1 - eating, putting, riding"
riding elephant,73,1.0,riding elephant,1,"Cluster 1 - eating, putting, riding"
riding camel,32,,riding camel,1,"Cluster 1 - eating, putting, riding"
riding a bike,24,,riding bike,1,"Cluster 1 - eating, putting, riding"
repairing puncture,27,1.0,repairing puncture,1,"Cluster 1 - eating, putting, riding"
recording music,26,,recording music,1,"Cluster 1 - eating, putting, riding"
reading newspaper,19,3.0,reading newspaper,1,"Cluster 1 - eating, putting, riding"
reading book,16,1.0,reading book,1,"Cluster 1 - eating, putting, riding"
raising eyebrows,32,,raising eyebrow,1,"Cluster 1 - eating, putting, riding"
putting wallpaper on wall,100,2.0,putting wallpaper wall,1,"Cluster 1 - eating, putting, riding"
putting on shoes,70,,putting shoe,1,"Cluster 1 - eating, putting, riding"
putting on sari,171,9.0,putting sari,1,"Cluster 1 - eating, putting, riding"
putting on mascara,51,1.0,putting mascara,1,"Cluster 1 - eating, putting, riding"
putting on lipstick,756,1.0,putting lipstick,1,"Cluster 1 - eating, putting, riding"
putting on foundation,88,2.0,putting foundation,1,"Cluster 1 - eating, putting, riding"
putting on eyeliner,15,4.0,putting eyeliner,1,"Cluster 1 - eating, putting, riding"
putting in contact lenses,19,4.0,putting contact lens,1,"Cluster 1 - eating, putting, riding"
pushing wheelchair,21,,pushing wheelchair,8,"Cluster 8 - pushing, car, field"
pushing wheelbarrow,12,1.0,pushing wheelbarrow,8,"Cluster 8 - pushing, car, field"
pushing cart,17,1.0,pushing cart,8,"Cluster 8 - pushing, car, field"
pushing car,13,,pushing car,8,"Cluster 8 - pushing, car, field"
push up,6,,push,1,"Cluster 1 - eating, putting, riding"
punching person (boxing),12,1.0,punching person boxing,1,"Cluster 1 - eating, putting, riding"
punching bag,16,,punching bag,1,"Cluster 1 - eating, putting, riding"
pumping gas,9,3.0,pumping gas,1,"Cluster 1 - eating, putting, riding"
pumping fist,3,,pumping fist,1,"Cluster 1 - eating, putting, riding"
pulling rope (game),14,1.0,pulling rope game,1,"Cluster 1 - eating, putting, riding"
pulling espresso shot,8,1.0,pulling espresso shot,1,"Cluster 1 - eating, putting, riding"
pull ups,9,,pull ups,1,"Cluster 1 - eating, putting, riding"
pretending to be a statue,10,1.0,pretending statue,1,"Cluster 1 - eating, putting, riding"
presenting weather forecast,30,6.0,presenting weather forecast,1,"Cluster 1 - eating, putting, riding"
preparing salad,33,2.0,preparing salad,1,"Cluster 1 - eating, putting, riding"
pouring wine,9,1.0,pouring wine,1,"Cluster 1 - eating, putting, riding"
pouring milk,22,3.0,pouring milk,1,"Cluster 1 - eating, putting, riding"
pouring beer,22,1.0,pouring beer,1,"Cluster 1 - eating, putting, riding"
popping balloons,34,2.0,popping balloon,1,"Cluster 1 - eating, putting, riding"
polishing metal,8,,polishing metal,1,"Cluster 1 - eating, putting, riding"
polishing furniture,15,,polishing furniture,1,"Cluster 1 - eating, putting, riding"
pole vault,6,2.0,pole vault,1,"Cluster 1 - eating, putting, riding"
poking bellybutton,31,5.0,poking bellybutton,1,"Cluster 1 - eating, putting, riding"
poaching eggs,11,2.0,poaching egg,1,"Cluster 1 - eating, putting, riding"
playing xylophone,22,1.0,playing xylophone,7,"Cluster 7 - playing, card, filling"
playing with trains,58,3.0,playing train,7,"Cluster 7 - playing, card, filling"
playing volleyball,30,1.0,playing volleyball,7,"Cluster 7 - playing, card, filling"
playing violin,18,1.0,playing violin,7,"Cluster 7 - playing, card, filling"
playing ukulele,21,2.0,playing ukulele,7,"Cluster 7 - playing, card, filling"
playing trumpet,26,5.0,playing trumpet,7,"Cluster 7 - playing, card, filling"
playing trombone,7,,playing trombone,7,"Cluster 7 - playing, card, filling"
playing tennis,6,,playing tennis,7,"Cluster 7 - playing, card, filling"
playing squash or racquetball,21,2.0,playing squash racquetball,7,"Cluster 7 - playing, card, filling"
playing slot machine,12,,playing slot machine,1,"Cluster 1 - eating, putting, riding"
playing shuffleboard,11,1.0,playing shuffleboard,7,"Cluster 7 - playing, card, filling"
playing scrabble,19,1.0,playing scrabble,7,"Cluster 7 - playing, card, filling"
playing saxophone,24,2.0,playing saxophone,7,"Cluster 7 - playing, card, filling"
playing rubiks cube,20,8.0,playing rubiks cube,7,"Cluster 7 - playing, card, filling"
playing rounders,13,1.0,playing rounder,7,"Cluster 7 - playing, card, filling"
playing road hockey,15,2.0,playing road hockey,1,"Cluster 1 - eating, putting, riding"
playing recorder,24,,playing recorder,7,"Cluster 7 - playing, card, filling"
playing polo,11,,playing polo,7,"Cluster 7 - playing, card, filling"
playing poker,25,2.0,playing poker,7,"Cluster 7 - playing, card, filling"
playing ping pong,22,2.0,playing ping pong,1,"Cluster 1 - eating, putting, riding"
playing pinball,11,,playing pinball,7,"Cluster 7 - playing, card, filling"
playing piccolo,8,,playing piccolo,7,"Cluster 7 - playing, card, filling"
playing piano,30,1.0,playing piano,7,"Cluster 7 - playing, card, filling"
playing pan pipes,9,3.0,playing pan pipe,1,"Cluster 1 - eating, putting, riding"
playing paintball,14,1.0,playing paintball,7,"Cluster 7 - playing, card, filling"
playing organ,11,1.0,playing organ,7,"Cluster 7 - playing, card, filling"
playing ocarina,14,1.0,playing ocarina,7,"Cluster 7 - playing, card, filling"
playing oboe,15,2.0,playing oboe,7,"Cluster 7 - playing, card, filling"
playing nose flute,11,3.0,playing nose flute,1,"Cluster 1 - eating, putting, riding"
playing netball,26,2.0,playing netball,7,"Cluster 7 - playing, card, filling"
playing monopoly,33,1.0,playing monopoly,7,"Cluster 7 - playing, card, filling"
playing marbles,18,2.0,playing marble,1,"Cluster 1 - eating, putting, riding"
playing maracas,14,3.0,playing maraca,7,"Cluster 7 - playing, card, filling"
playing mahjong,8,,playing mahjong,7,"Cluster 7 - playing, card, filling"
playing lute,7,1.0,playing lute,7,"Cluster 7 - playing, card, filling"
playing laser tag,15,1.0,playing laser tag,7,"Cluster 7 - playing, card, filling"
playing kickball,14,1.0,playing kickball,7,"Cluster 7 - playing, card, filling"
playing keyboard,26,,playing keyboard,7,"Cluster 7 - playing, card, filling"
playing ice hockey,15,2.0,playing ice hockey,1,"Cluster 1 - eating, putting, riding"
playing harp,15,,playing harp,7,"Cluster 7 - playing, card, filling"
playing harmonica,12,3.0,playing harmonica,7,"Cluster 7 - playing, card, filling"
playing hand clapping games,14,1.0,playing hand clapping game,1,"Cluster 1 - eating, putting, riding"
playing guitar,14,2.0,playing guitar,1,"Cluster 1 - eating, putting, riding"
playing gong,6,3.0,playing gong,7,"Cluster 7 - playing, card, filling"
playing flute,20,1.0,playing flute,1,"Cluster 1 - eating, putting, riding"
playing field hockey,21,4.0,playing field hockey,1,"Cluster 1 - eating, putting, riding"
playing drums,18,,playing drum,7,"Cluster 7 - playing, card, filling"
playing dominoes,26,1.0,playing domino,7,"Cluster 7 - playing, card, filling"
playing didgeridoo,10,2.0,playing didgeridoo,7,"Cluster 7 - playing, card, filling"
playing darts,11,3.0,playing dart,7,"Cluster 7 - playing, card, filling"
playing cymbals,13,,playing cymbal,7,"Cluster 7 - playing, card, filling"
playing cricket,21,1.0,playing cricket,7,"Cluster 7 - playing, card, filling"
playing controller,15,,playing controller,1,"Cluster 1 - eating, putting, riding"
playing clarinet,8,,playing clarinet,7,"Cluster 7 - playing, card, filling"
playing chess,21,,playing chess,7,"Cluster 7 - playing, card, filling"
playing checkers,18,2.0,playing checker,7,"Cluster 7 - playing, card, filling"
playing cello,14,,playing cello,7,"Cluster 7 - playing, card, filling"
playing cards,12,2.0,playing card,7,"Cluster 7 - playing, card, filling"
playing blackjack,12,,playing blackjack,7,"Cluster 7 - playing, card, filling"
playing billiards,15,1.0,playing billiards,7,"Cluster 7 - playing, card, filling"
playing beer pong,5,2.0,playing beer pong,1,"Cluster 1 - eating, putting, riding"
playing bass guitar,17,1.0,playing bass guitar,1,"Cluster 1 - eating, putting, riding"
playing basketball,8,1.0,playing basketball,1,"Cluster 1 - eating, putting, riding"
playing bagpipes,5,,playing bagpipe,7,"Cluster 7 - playing, card, filling"
playing badminton,18,2.0,playing badminton,7,"Cluster 7 - playing, card, filling"
playing american football,24,3.0,playing american football,1,"Cluster 1 - eating, putting, riding"
playing accordion,13,,playing accordion,7,"Cluster 7 - playing, card, filling"
plastering,26,,plastering,1,"Cluster 1 - eating, putting, riding"
planting trees,23,2.0,planting tree,1,"Cluster 1 - eating, putting, riding"
planing wood,15,1.0,planing wood,2,"Cluster 2 - wood, sanding, chiseling"
pirouetting,11,1.0,pirouetting,1,"Cluster 1 - eating, putting, riding"
pinching,5,3.0,pinching,1,"Cluster 1 - eating, putting, riding"
pillow fight,24,,pillow fight,1,"Cluster 1 - eating, putting, riding"
picking blueberries,14,4.0,picking blueberry,1,"Cluster 1 - eating, putting, riding"
picking apples,11,1.0,picking apple,1,"Cluster 1 - eating, putting, riding"
photocopying,22,1.0,photocopying,1,"Cluster 1 - eating, putting, riding"
photobombing,19,1.0,photobombing,1,"Cluster 1 - eating, putting, riding"
petting horse,15,2.0,petting horse,1,"Cluster 1 - eating, putting, riding"
petting cat,20,3.0,petting cat,1,"Cluster 1 - eating, putting, riding"
petting animal (not cat),829,1.0,petting animal cat,1,"Cluster 1 - eating, putting, riding"
person collecting garbage,13,2.0,person collecting garbage,1,"Cluster 1 - eating, putting, riding"
peeling potatoes,12,2.0,peeling potato,1,"Cluster 1 - eating, putting, riding"
peeling banana,21,5.0,peeling banana,1,"Cluster 1 - eating, putting, riding"
peeling apples,10,2.0,peeling apple,1,"Cluster 1 - eating, putting, riding"
passing soccer ball,15,,passing soccer ball,1,"Cluster 1 - eating, putting, riding"
passing American football (not in game),304,2.0,passing american football game,1,"Cluster 1 - eating, putting, riding"
passing American football (in game),182,1.0,passing american football game,1,"Cluster 1 - eating, putting, riding"
parkour,11,2.0,parkour,1,"Cluster 1 - eating, putting, riding"
parasailing,23,2.0,parasailing,1,"Cluster 1 - eating, putting, riding"
paragliding,16,,paragliding,1,"Cluster 1 - eating, putting, riding"
packing,30,2.0,packing,1,"Cluster 1 - eating, putting, riding"
opening wine bottle,701,,opening wine bottle,1,"Cluster 1 - eating, putting, riding"
opening refrigerator,706,2.0,opening refrigerator,1,"Cluster 1 - eating, putting, riding"
opening present,999,1.0,opening present,1,"Cluster 1 - eating, putting, riding"
opening door,676,1.0,opening door,1,"Cluster 1 - eating, putting, riding"
opening coconuts,454,,opening coconut,1,"Cluster 1 - eating, putting, riding"
opening bottle (not wine),995,1.0,opening bottle wine,1,"Cluster 1 - eating, putting, riding"
news anchoring,747,2.0,news anchoring,1,"Cluster 1 - eating, putting, riding"
needle felting,685,2.0,needle felting,1,"Cluster 1 - eating, putting, riding"
mushroom foraging,579,1.0,mushroom foraging,1,"Cluster 1 - eating, putting, riding"
mowing lawn,1000,1.0,mowing lawn,1,"Cluster 1 - eating, putting, riding"
moving furniture,700,2.0,moving furniture,1,"Cluster 1 - eating, putting, riding"
moving child,689,1.0,moving child,1,"Cluster 1 - eating, putting, riding"
moving baby,624,1.0,moving baby,1,"Cluster 1 - eating, putting, riding"
mountain climber (exercise),15,2.0,mountain climber exercise,1,"Cluster 1 - eating, putting, riding"
motorcycling,1000,2.0,motorcycling,1,"Cluster 1 - eating, putting, riding"
