Name,Year,Teams,Total Posts,Total Comments,Total Scores,Avg Sentiment (TextBlob),Avg Sentiment (Vader),Viewers (Millions)
2021 World Series Game 4,2021,"Atlanta Braves, Houston Astros",53,30572,15372,-0.037689949698723,0.3357999999999999,10.511
2021 World Series Game 5,2021,"Atlanta Braves, Houston Astros",61,47860,27187,-0.0205340143130421,0.3864918032786886,13.644
2021 World Series Game 6,2021,"Atlanta Braves, Houston Astros",78,47468,53832,0.0497933639643778,0.2959320512820512,14.14
2020 World Series Game 1,2020,"Los Angeles Dodgers, Tampa Bay Rays",108,24784,96135,0.1103475212150663,0.3152962962962962,9.353
2020 World Series Game 2,2020,"Los Angeles Dodgers, Tampa Bay Rays",119,28255,27483,0.0944780367942718,0.2628731092436975,9.184
2020 World Series Game 3,2020,"Los Angeles Dodgers, Tampa Bay Rays",79,21036,16957,0.0548862999065875,0.2103215189873417,8.156
2020 World Series Game 4,2020,"Los Angeles Dodgers, Tampa Bay Rays",52,24412,18720,0.0579524478447453,0.3477365384615384,9.332
2020 World Series Game 5,2020,"Los Angeles Dodgers, Tampa Bay Rays",84,38913,31406,0.0282892843127788,0.3346940476190476,10.059
2020 World Series Game 6,2020,"Los Angeles Dodgers, Tampa Bay Rays",107,39675,32654,0.0886223374579872,0.3057654205607477,12.819
2019 World Series Game 1,2019,"Washington Nationals, Houston Astros",153,28532,64789,0.0934149078514804,0.1363908496732026,12.194
2019 World Series Game 2,2019,"Washington Nationals, Houston Astros",124,41662,24517,0.0814424334968185,0.2422556451612904,11.925
2019 World Series Game 3,2019,"Washington Nationals, Houston Astros",143,33367,24610,0.026734355971,0.1661951048951048,12.22
2019 World Series Game 4,2019,"Washington Nationals, Houston Astros",120,22488,14016,-0.0065502789062348,0.1039325,10.219
2019 World Series Game 5,2019,"Washington Nationals, Houston Astros",76,31356,6883,-0.0094105728635077,0.1795960526315789,11.39
2019 World Series Game 6,2019,"Washington Nationals, Houston Astros",91,41224,10872,-0.0361562700378031,0.099587912087912,16.425
2019 World Series Game 7,2019,"Washington Nationals, Houston Astros",104,31037,15886,-0.0227974091833339,0.1417836538461538,23.013
2018 World Series Game 1,2018,"Boston Red Sox, Los Angeles Dodgers",109,20011,19080,0.094471246367094,0.338302752293578,13.761
2018 World Series Game 2,2018,"Boston Red Sox, Los Angeles Dodgers",92,26737,12782,0.0522480346917802,0.3066347826086955,13.458
2018 World Series Game 3,2018,"Boston Red Sox, Los Angeles Dodgers",62,51134,18587,-0.030096931767494,0.2653596774193549,13.251
2018 World Series Game 4,2018,"Boston Red Sox, Los Angeles Dodgers",92,58451,21221,-0.0904700500641158,0.1545293478260869,13.563
2018 World Series Game 5,2018,"Boston Red Sox, Los Angeles Dodgers",101,71948,18198,-0.0935490271351263,0.1861267326732674,17.634
2017 World Series Game 1,2017,"Houston Astros, Los Angeles Dodgers",116,18690,48845,0.1176330767441352,0.2559603448275861,14.968
2017 World Series Game 2,2017,"Houston Astros, Los Angeles Dodgers",113,36911,18031,0.093615710439115,0.2546646017699114,15.483
2017 World Series Game 3,2017,"Houston Astros, Los Angeles Dodgers",86,35195,14153,0.0144327459667896,0.2404406976744185,15.676
2017 World Series Game 4,2017,"Houston Astros, Los Angeles Dodgers",74,21710,6919,0.0037583365967566,0.1932918918918919,15.4
2017 World Series Game 5,2017,"Houston Astros, Los Angeles Dodgers",57,57091,8395,0.0204706719189242,0.1636894736842106,18.94
2017 World Series Game 6,2017,"Houston Astros, Los Angeles Dodgers",105,55755,19256,-0.0239292633170922,0.1407114285714285,22.229
2017 World Series Game 7,2017,"Houston Astros, Los Angeles Dodgers",128,49296,21155,-0.046310124603148,0.1808671874999999,28.24
2016 World Series Game 1,2016,"Chicago Cubs, Cleveland Indians",169,28780,32645,0.0722953600931661,0.1956828402366863,19.368
2016 World Series Game 2,2016,"Chicago Cubs, Cleveland Indians",158,36486,23396,0.0552822357964882,0.1800113924050632,17.395
2016 World Series Game 3,2016,"Chicago Cubs, Cleveland Indians",107,29192,13141,0.0794857156948647,0.2754504672897196,19.384
2016 World Series Game 4,2016,"Chicago Cubs, Cleveland Indians",99,28956,8309,0.0369834343027712,0.2434282828282827,16.705
2016 World Series Game 5,2016,"Chicago Cubs, Cleveland Indians",81,42901,8021,0.0227149850353269,0.2304679012345679,23.638
2016 World Series Game 6,2016,"Chicago Cubs, Cleveland Indians",75,35360,10614,0.0323665672747108,0.2106733333333333,23.396
2016 World Series Game 7,2016,"Chicago Cubs, Cleveland Indians",113,108721,32659,0.0053702911147601,0.240179646017699,40.045
2015 World Series Game 1,2015,"Kansas City Royals, New York Mets",58,20064,7076,0.0715965127343087,0.1828086206896552,14.944
2015 World Series Game 2,2015,"Kansas City Royals, New York Mets",78,26605,7216,0.0489165384580299,0.1716987179487179,13.722
2015 World Series Game 3,2015,"Kansas City Royals, New York Mets",53,14312,3515,0.0112817068186761,0.2011792452830189,13.205
2015 World Series Game 4,2015,"Kansas City Royals, New York Mets",39,13986,3599,-0.0489315381520759,0.1028589743589743,13.587
2015 World Series Game 5,2015,"Kansas City Royals, New York Mets",34,28914,6907,-0.0413141598228558,0.0372823529411764,17.206
2014 World Series Game 1,2014,"San Francisco Giants, Kansas City Royals",48,7153,3261,0.0846357605618866,0.30330625,12.191
2014 World Series Game 2,2014,"San Francisco Giants, Kansas City Royals",64,12736,3816,0.0792875132921407,0.276646875,12.917
2014 World Series Game 3,2014,"San Francisco Giants, Kansas City Royals",50,11251,3506,0.038895940766716,0.1935179999999999,12.133
2014 World Series Game 4,2014,"San Francisco Giants, Kansas City Royals",45,10051,2824,-0.0296548652039672,0.1330066666666667,10.742
2014 World Series Game 5,2014,"San Francisco Giants, Kansas City Royals",37,12267,1798,-0.0837347861069452,0.1037891891891891,12.635
2014 World Series Game 6,2014,"San Francisco Giants, Kansas City Royals",44,9177,2386,0.0184843127856501,0.2708886363636363,13.372
2014 World Series Game 7,2014,"San Francisco Giants, Kansas City Royals",56,18451,4160,0.0116983586321693,0.3286714285714285,23.517
2013 World Series Game 1,2013,"Boston Red Sox, St. Louis Cardinals",76,5440,2691,0.1406341490917461,0.1454328947368421,14.4
2013 World Series Game 2,2013,"Boston Red Sox, St. Louis Cardinals",83,7765,2924,0.0453539174714628,0.1193903614457831,13.429
2013 World Series Game 3,2013,"Boston Red Sox, St. Louis Cardinals",48,7506,1053,-0.0565437687764789,0.0766333333333333,12.473
2013 World Series Game 4,2013,"Boston Red Sox, St. Louis Cardinals",37,8476,1049,-0.0403471649333279,0.114154054054054,15.975
2013 World Series Game 5,2013,"Boston Red Sox, St. Louis Cardinals",52,11164,1328,0.0224261932467701,0.2066096153846154,14.446
2013 World Series Game 6,2013,"Boston Red Sox, St. Louis Cardinals",79,9566,2311,0.0282163494747673,0.2612341772151899,19.178
2012 World Series Game 1,2012,"San Francisco Giants, Detroit Tigers",48,1195,1076,0.1347905317166849,0.3110291666666667,12.24
2012 World Series Game 2,2012,"San Francisco Giants, Detroit Tigers",68,2282,1908,0.1005448245854389,0.275889705882353,12.34
2012 World Series Game 3,2012,"San Francisco Giants, Detroit Tigers",43,2011,1312,0.0338593193867941,0.2628186046511628,10.471
2012 World Series Game 4,2012,"San Francisco Giants, Detroit Tigers",29,2154,942,0.0343048578032904,0.2637172413793104,15.485
