event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp,text,clean_text,cluster
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Josefine Knutsson,Marnic Mann,fighter1,0                                  0,81                                  8,3                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Grasso vs. Shevchenko 2 September 16 2023 Las Vegas, Nevada, USA Women's Strawweight Josefine Knutsson Marnic Mann fighter1 0                                  0 81                                  8 3                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night grasso vs shevchenko september las vegas nevada usa womens strawweight josefine knutsson marnic mann fighter udec,1
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Middleweight,Sean Strickland,Israel Adesanya,fighter1,1                                  0,137                                  94,0                                  0,0                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Middleweight Sean Strickland Israel Adesanya fighter1 1                                  0 137                                  94 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia middleweight sean strickland israel adesanya fighter udec,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Heavyweight,Alexander Volkov,Tai Tuivasa,fighter1,1                                  0,93                                  28,0                                  0,1                                  0,SUB              Ezekiel Choke,2,4:37,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Heavyweight Alexander Volkov Tai Tuivasa fighter1 1                                  0 93                                  28 0                                  0 1                                  0 SUB              Ezekiel Choke 4:37 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia heavyweight alexander volkov tai tuivasa fighter sub ezekiel choke,4
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Flyweight,Manel Kape,Felipe dos Santos,fighter1,1                                  0,112                                  99,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Flyweight Manel Kape Felipe dos Santos fighter1 1                                  0 112                                  99 1                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia flyweight manel kape felipe dos santos fighter udec,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Heavyweight,Justin Tafa,Austen Lane,fighter1,1                                  0,11                                  7,0                                  0,0                                  0,KO/TKO              Punch,1,1:22,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Heavyweight Justin Tafa Austen Lane fighter1 1                                  0 11                                  7 0                                  0 0                                  0 KO/TKO              Punch 1:22 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia heavyweight justin tafa austen lane fighter kotko punch,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Light Heavyweight,Tyson Pedro,Anton Turkalj,fighter1,1                                  0,16                                  8,0                                  0,0                                  0,KO/TKO              Punch,1,2:12,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Light Heavyweight Tyson Pedro Anton Turkalj fighter1 1                                  0 16                                  8 0                                  0 0                                  0 KO/TKO              Punch 2:12 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia light heavyweight tyson pedro anton turkalj fighter kotko punch,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Light Heavyweight,Carlos Ulberg,Da Woon Jung,fighter1,1                                  0,81                                  58,1                                  1,1                                  0,SUB              Rear Naked Choke,3,4:49,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Light Heavyweight Carlos Ulberg Da Woon Jung fighter1 1                                  0 81                                  58 1                                  1 1                                  0 SUB              Rear Naked Choke 4:49 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia light heavyweight carlos ulberg da woon jung fighter sub rear naked choke,4
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Featherweight,Chepe Mariscal,Jack Jenkins,fighter1,0                                  0,38                                  41,1                                  0,0                                  0,KO/TKO,2,3:19,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Featherweight Chepe Mariscal Jack Jenkins fighter1 0                                  0 38                                  41 1                                  0 0                                  0 KO/TKO 3:19 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia featherweight chepe mariscal jack jenkins fighter kotko,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Lightweight,Jamie Mullarkey,John Makdessi,fighter1,0                                  0,88                                  83,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Lightweight Jamie Mullarkey John Makdessi fighter1 0                                  0 88                                  83 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia lightweight jamie mullarkey john makdessi fighter udec,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Lightweight,Nasrat Haqparast,Landon Quinones,fighter1,0                                  0,171                                  148,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Lightweight Nasrat Haqparast Landon Quinones fighter1 0                                  0 171                                  148 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia lightweight nasrat haqparast landon quinones fighter udec,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Welterweight,Charles Radtke,Blood Diamond,fighter1,0                                  0,35                                  44,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Welterweight Charles Radtke Blood Diamond fighter1 0                                  0 35                                  44 1                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia welterweight charles radtke blood diamond fighter udec,0
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Featherweight,Gabriel Miranda,Shane Young,fighter1,0                                  0,2                                  1,1                                  0,1                                  0,SUB              Rear Naked Choke,1,0:59,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Featherweight Gabriel Miranda Shane Young fighter1 0                                  0 2                                  1 1                                  0 1                                  0 SUB              Rear Naked Choke 0:59 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia featherweight gabriel miranda shane young fighter sub rear naked choke,4
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Welterweight,Kevin Jousset,Kiefer Crosbie,fighter1,0                                  0,29                                  39,1                                  0,1                                  0,SUB              Rear Naked Choke,1,4:49,2023-09-21 02:02:55.178363,"UFC 293: Adesanya vs. Strickland September 09 2023 Sydney, New South Wales, Australia Welterweight Kevin Jousset Kiefer Crosbie fighter1 0                                  0 29                                  39 1                                  0 1                                  0 SUB              Rear Naked Choke 4:49 2023-09-21 02:02:55.178363",ufc adesanya vs strickland september sydney new south wales australia welterweight kevin jousset kiefer crosbie fighter sub rear naked choke,4
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Heavyweight,Ciryl Gane,Serghei Spivac,fighter1,0                                  0,109                                  11,0                                  0,0                                  0,KO/TKO              Punches,2,3:44,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Heavyweight Ciryl Gane Serghei Spivac fighter1 0                                  0 109                                  11 0                                  0 0                                  0 KO/TKO              Punches 3:44 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france heavyweight ciryl gane serghei spivac fighter kotko punches,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Women's Flyweight,Manon Fiorot,Rose Namajunas,fighter1,0                                  0,58                                  60,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Women's Flyweight Manon Fiorot Rose Namajunas fighter1 0                                  0 58                                  60 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france womens flyweight manon fiorot rose namajunas fighter udec,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Lightweight,Benoit Saint Denis,Thiago Moises,fighter1,0                                  0,101                                  24,5                                  1,0                                  1,KO/TKO              Punches,2,4:44,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Lightweight Benoit Saint Denis Thiago Moises fighter1 0                                  0 101                                  24 5                                  1 0                                  1 KO/TKO              Punches 4:44 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france lightweight benoit saint denis thiago moises fighter kotko punches,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Light Heavyweight,Volkan Oezdemir,Bogdan Guskov,fighter1,1                                  0,26                                  8,1                                  0,1                                  0,SUB              Rear Naked Choke,1,3:46,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Light Heavyweight Volkan Oezdemir Bogdan Guskov fighter1 1                                  0 26                                  8 1                                  0 1                                  0 SUB              Rear Naked Choke 3:46 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france light heavyweight volkan oezdemir bogdan guskov fighter sub rear naked choke,4
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Featherweight,William Gomis,Yanis Ghemmouri,fighter1,0                                  0,52                                  28,0                                  0,2                                  0,KO/TKO              Kick,3,2:20,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Featherweight William Gomis Yanis Ghemmouri fighter1 0                                  0 52                                  28 0                                  0 2                                  0 KO/TKO              Kick 2:20 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france featherweight william gomis yanis ghemmouri fighter kotko kick,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Featherweight,Morgan Charriere,Manolo Zecchini,fighter1,1                                  0,26                                  9,0                                  0,0                                  0,KO/TKO              Kicks,1,3:51,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Featherweight Morgan Charriere Manolo Zecchini fighter1 1                                  0 26                                  9 0                                  0 0                                  0 KO/TKO              Kicks 3:51 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france featherweight morgan charriere manolo zecchini fighter kotko kicks,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Bantamweight,Taylor Lapilus,Caolan Loughran,fighter1,0                                  0,84                                  48,0                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Bantamweight Taylor Lapilus Caolan Loughran fighter1 0                                  0 84                                  48 0                                  2 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france bantamweight taylor lapilus caolan loughran fighter udec,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Welterweight,Ange Loosa,Rhys McKee,fighter1,0                                  0,98                                  77,6                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Welterweight Ange Loosa Rhys McKee fighter1 0                                  0 98                                  77 6                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france welterweight ange loosa rhys mckee fighter udec,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Women's Bantamweight,Nora Cornolle,Joselyne Edwards,fighter1,0                                  0,40                                  18,0                                  5,0                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Women's Bantamweight Nora Cornolle Joselyne Edwards fighter1 0                                  0 40                                  18 0                                  5 0                                  1 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france womens bantamweight nora cornolle joselyne edwards fighter udec,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Bantamweight,Farid Basharat,Kleydson Rodrigues,fighter1,0                                  0,4                                  7,2                                  0,1                                  0,SUB              Arm Triangle,1,4:15,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Bantamweight Farid Basharat Kleydson Rodrigues fighter1 0                                  0 4                                  7 2                                  0 1                                  0 SUB              Arm Triangle 4:15 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france bantamweight farid basharat kleydson rodrigues fighter sub arm triangle,0
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Catch Weight,Jacqueline Cavalcanti,Zarah Fairn,fighter1,0                                  0,126                                  39,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Gane vs. Spivac September 02 2023 Paris, Ile-de-France, France Catch Weight Jacqueline Cavalcanti Zarah Fairn fighter1 0                                  0 126                                  39 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night gane vs spivac september paris iledefrance france catch weight jacqueline cavalcanti zarah fairn fighter udec,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,Max Holloway,Chan Sung Jung,fighter1,2                                  0,75                                  34,0                                  0,1                                  0,KO/TKO              Punch,3,0:23,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Featherweight Max Holloway Chan Sung Jung fighter1 2                                  0 75                                  34 0                                  0 1                                  0 KO/TKO              Punch 0:23 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore featherweight max holloway chan sung jung fighter kotko punch,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Light Heavyweight,Anthony Smith,Ryan Spann,fighter1,0                                  0,91                                  59,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Light Heavyweight Anthony Smith Ryan Spann fighter1 0                                  0 91                                  59 1                                  0 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore light heavyweight anthony smith ryan spann fighter sdec,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,Giga Chikadze,Alex Caceres,fighter1,0                                  0,65                                  62,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Featherweight Giga Chikadze Alex Caceres fighter1 0                                  0 65                                  62 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore featherweight giga chikadze alex caceres fighter udec,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Bantamweight,Rinya Nakamura,Fernie Garcia,fighter1,0                                  0,36                                  15,4                                  0,3                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Bantamweight Rinya Nakamura Fernie Garcia fighter1 0                                  0 36                                  15 4                                  0 3                                  1 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore bantamweight rinya nakamura fernie garcia fighter udec,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Women's Flyweight,Erin Blanchfield,Taila Santos,fighter1,0                                  0,61                                  55,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Women's Flyweight Erin Blanchfield Taila Santos fighter1 0                                  0 61                                  55 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore womens flyweight erin blanchfield taila santos fighter udec,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Heavyweight,Junior Tafa,Parker Porter,fighter1,1                                  0,8                                  2,0                                  0,0                                  0,KO/TKO              Punch,1,1:24,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Heavyweight Junior Tafa Parker Porter fighter1 1                                  0 8                                  2 0                                  0 0                                  0 KO/TKO              Punch 1:24 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore heavyweight junior tafa parker porter fighter kotko punch,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Heavyweight,Waldo Cortes-Acosta,Lukasz Brzeski,fighter1,1                                  0,15                                  14,0                                  0,0                                  0,KO/TKO              Punches,1,3:01,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Heavyweight Waldo Cortes-Acosta Lukasz Brzeski fighter1 1                                  0 15                                  14 0                                  0 0                                  0 KO/TKO              Punches 3:01 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore heavyweight waldo cortesacosta lukasz brzeski fighter kotko punches,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Bantamweight,Garrett Armfield,Toshiomi Kazama,fighter1,1                                  0,45                                  15,0                                  0,0                                  0,KO/TKO              Punches,1,4:16,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Bantamweight Garrett Armfield Toshiomi Kazama fighter1 1                                  0 45                                  15 0                                  0 0                                  0 KO/TKO              Punches 4:16 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore bantamweight garrett armfield toshiomi kazama fighter kotko punches,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Middleweight,Michal Oleksiejczuk,Chidi Njokuani,fighter1,0                                  0,44                                  29,1                                  0,0                                  0,KO/TKO              Punches,1,4:16,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Middleweight Michal Oleksiejczuk Chidi Njokuani fighter1 0                                  0 44                                  29 1                                  0 0                                  0 KO/TKO              Punches 4:16 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore middleweight michal oleksiejczuk chidi njokuani fighter kotko punches,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Welterweight,Song Kenan,Rolando Bedoya,fighter1,1                                  0,75                                  112,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Welterweight Song Kenan Rolando Bedoya fighter1 1                                  0 75                                  112 0                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore welterweight song kenan rolando bedoya fighter udec,0
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Welterweight,Billy Goff,Yusaku Kinoshita,fighter1,1                                  0,40                                  17,0                                  0,0                                  0,KO/TKO              Punch,1,3:49,2023-09-21 02:02:55.178363,"UFC Fight Night: Holloway vs. The Korean Zombie August 26 2023 Kallang, Singapore Welterweight Billy Goff Yusaku Kinoshita fighter1 1                                  0 40                                  17 0                                  0 0                                  0 KO/TKO              Punch 3:49 2023-09-21 02:02:55.178363",ufc fight night holloway vs korean zombie august kallang singapore welterweight billy goff yusaku kinoshita fighter kotko punch,0
