cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID,Cluster,NLP_Cluster
no,monthly,20,19,47,product manager,no,3089,0,0
yes,monthly,35,8,1088,sales,yes,3090,2,1
no,annual,66,16,976,product manager,no,3091,0,0
no,monthly,129,9,907,developer,no,3092,2,1
no,annual,89,1,954,product manager,no,3093,2,0
no,monthly,60,11,506,developer,yes,3094,2,1
no,annual,29,5,856,engineering manager,yes,3095,2,2
yes,monthly,58,4,737,sales,no,3096,2,1
no,monthly,110,0,248,developer,no,3097,2,1
no,monthly,123,12,709,product manager,no,3098,2,0
no,annual,7,8,170,developer,yes,3099,2,1
no,annual,8,15,962,product manager,no,3100,2,0
no,monthly,14,0,539,product manager,no,3101,2,0
yes,monthly,48,1,515,designer,no,3102,2,1
yes,annual,22,8,886,developer,no,3103,2,1
no,monthly,110,7,254,product manager,no,3104,2,0
no,annual,124,6,301,developer,no,3105,2,1
no,monthly,11,4,1075,developer,yes,3106,2,1
no,annual,36,12,708,developer,yes,3107,2,1
no,monthly,39,3,1002,developer,no,3108,2,1
yes,monthly,76,11,941,designer,yes,3109,2,1
yes,monthly,71,6,556,sales,yes,3110,2,1
no,annual,147,5,503,developer,yes,3111,2,1
no,monthly,82,9,324,developer,no,3112,2,1
no,monthly,122,11,355,developer,yes,3113,2,1
yes,monthly,74,1,134,sales,yes,3114,2,1
yes,monthly,56,8,647,designer,no,3115,2,1
no,annual,115,16,1124,engineering manager,yes,3116,0,2
no,annual,2,0,916,developer,yes,3117,2,1
no,monthly,135,16,155,engineering manager,no,3118,0,2
yes,monthly,53,4,941,designer,no,3119,2,1
no,monthly,24,6,1011,developer,no,3120,2,1
no,monthly,16,5,378,developer,no,3121,2,1
no,monthly,43,13,975,product manager,yes,3122,2,0
yes,monthly,20,6,1088,marketer,no,3123,2,1
no,monthly,79,20,603,product manager,yes,3124,0,0
no,annual,106,11,40,product manager,yes,3125,2,0
no,monthly,73,10,226,product manager,no,3126,2,0
no,annual,133,10,957,engineering manager,no,3127,2,2
yes,monthly,6,2,611,engineering manager,no,3128,2,2
no,monthly,11,13,227,product manager,yes,3129,2,0
no,annual,27,17,633,engineering manager,yes,3130,0,2
no,monthly,141,8,319,developer,yes,3131,2,1
no,monthly,92,9,730,engineering manager,no,3132,2,2
no,annual,125,15,595,developer,no,3133,0,1
no,monthly,120,11,896,product manager,yes,3134,2,0
yes,monthly,66,6,1009,product manager,no,3135,2,0
yes,monthly,26,10,925,designer,no,3136,2,1
no,monthly,19,18,98,developer,yes,3137,0,1
no,annual,48,20,427,engineering manager,no,3138,0,2
no,monthly,144,7,1137,product manager,no,3139,2,0
no,monthly,52,7,1102,product manager,no,3140,2,0
yes,monthly,90,7,217,engineering manager,yes,3141,2,2
yes,annual,18,0,940,sales,yes,3142,2,1
no,monthly,142,19,448,engineering manager,yes,3143,0,2
no,monthly,59,20,912,engineering manager,yes,3144,0,2
no,monthly,42,17,829,product manager,no,3145,0,0
yes,monthly,18,11,161,marketer,yes,3146,2,1
no,monthly,57,15,1042,developer,no,3147,2,1
no,monthly,109,3,800,developer,no,3148,2,1
no,monthly,31,15,954,engineering manager,yes,3149,2,2
no,monthly,84,4,23,product manager,no,3150,2,0
no,monthly,61,19,401,product manager,no,3151,0,0
no,monthly,96,5,564,developer,no,3152,2,1
no,monthly,132,18,698,product manager,no,3153,0,0
no,monthly,90,12,2,engineering manager,yes,3154,2,2
yes,monthly,36,6,903,developer,no,3155,2,1
no,monthly,70,14,401,engineering manager,yes,3156,2,2
yes,monthly,84,1,173,developer,no,3157,2,1
yes,annual,42,7,13,developer,yes,3158,2,1
no,monthly,23,6,882,developer,no,3159,2,1
yes,monthly,41,9,216,designer,no,3160,2,1
no,monthly,28,3,810,developer,no,3161,2,1
no,monthly,86,10,945,product manager,no,3162,2,0
no,annual,11,10,305,product manager,yes,3163,2,0
no,monthly,98,11,1094,product manager,no,3164,2,0
no,annual,21,17,421,engineering manager,no,3165,0,2
no,annual,119,12,728,developer,yes,3166,2,1
yes,monthly,30,5,570,engineering manager,yes,3167,2,2
no,monthly,84,12,1159,product manager,no,3168,2,0
no,monthly,29,11,563,developer,no,3169,2,1
yes,annual,6,5,610,developer,no,3170,2,1
no,monthly,6,8,40,product manager,no,3171,2,0
no,monthly,48,17,1141,product manager,yes,3172,0,0
yes,monthly,40,3,746,engineering manager,no,3173,2,2
no,monthly,63,3,308,developer,yes,3174,2,1
no,monthly,70,15,94,engineering manager,no,3175,0,2
yes,annual,43,11,1006,engineering manager,no,3176,2,2
no,monthly,13,8,125,engineering manager,no,3177,2,2
no,annual,53,2,1047,developer,no,3178,2,1
yes,monthly,24,6,525,developer,yes,3179,2,1
yes,monthly,60,5,746,engineering manager,no,3180,2,2
no,annual,111,5,703,engineering manager,no,3181,2,2
no,monthly,146,7,916,engineering manager,yes,3182,2,2
no,annual,139,7,637,product manager,yes,3183,2,0
no,monthly,53,6,232,engineering manager,no,3184,2,2
yes,annual,33,6,1115,designer,yes,3185,2,1
no,monthly,43,20,653,product manager,no,3186,0,0
no,annual,139,12,656,product manager,no,3187,0,0
no,monthly,10,18,494,product manager,yes,3188,0,0
no,monthly,4,20,1130,product manager,yes,3189,0,0
no,monthly,82,11,1196,product manager,no,3190,2,0
no,monthly,86,20,125,engineering manager,no,3191,0,2
no,monthly,21,10,783,developer,yes,3192,2,1
no,monthly,81,10,881,engineering manager,no,3193,2,2
yes,monthly,23,4,900,sales,no,3194,2,1
yes,annual,71,4,491,designer,yes,3195,2,1
no,monthly,103,9,28,engineering manager,no,3196,2,2
no,monthly,34,10,88,product manager,no,3197,2,0
yes,annual,91,2,745,designer,no,3198,2,1
no,annual,132,5,945,product manager,yes,3199,2,0
no,annual,55,16,173,engineering manager,yes,3200,0,2
yes,monthly,49,4,323,marketer,yes,3201,2,1
no,monthly,59,7,989,engineering manager,yes,3202,2,2
yes,monthly,53,1,800,engineering manager,no,3203,2,2
yes,annual,72,11,299,developer,no,3204,2,1
no,annual,53,3,843,developer,no,3205,2,1
no,monthly,108,5,198,product manager,no,3206,2,0
no,monthly,116,18,267,developer,no,3207,0,1
no,annual,2,11,438,engineering manager,yes,3208,2,2
no,annual,87,7,665,product manager,no,3209,2,0
no,monthly,120,10,1101,product manager,no,3210,2,0
no,monthly,79,4,93,product manager,yes,3211,2,0
no,monthly,100,5,521,engineering manager,no,3212,2,2
no,monthly,73,6,209,engineering manager,yes,3213,2,2
yes,monthly,71,3,692,engineering manager,yes,3214,2,2
yes,monthly,45,11,66,designer,no,3215,2,1
yes,monthly,35,12,1127,marketer,no,3216,2,1
no,monthly,46,8,32,developer,no,3217,2,1
yes,monthly,36,5,382,designer,no,3218,2,1
no,monthly,111,19,818,product manager,yes,3219,0,0
no,monthly,131,0,1126,product manager,yes,3220,2,0
no,monthly,8,0,414,product manager,no,3221,2,0
yes,monthly,17,12,554,product manager,no,3222,2,0
no,monthly,107,10,460,engineering manager,no,3223,2,2
no,monthly,146,12,1036,product manager,yes,3224,0,0
yes,annual,70,8,660,developer,no,3225,2,1
no,monthly,144,17,982,engineering manager,no,3226,0,2
no,monthly,101,9,666,engineering manager,no,3227,2,2
yes,annual,91,5,948,engineering manager,no,3228,2,2
no,monthly,97,12,647,engineering manager,no,3229,2,2
no,monthly,43,10,842,product manager,yes,3230,2,0
yes,annual,60,4,1019,sales,no,3231,2,1
no,monthly,148,8,429,product manager,yes,3232,2,0
no,monthly,47,2,1159,product manager,yes,3233,2,0
yes,annual,6,7,747,designer,no,3234,2,1
no,monthly,65,7,1094,product manager,no,3235,2,0
no,annual,62,1,1017,product manager,no,3236,2,0
no,annual,139,12,1088,engineering manager,no,3237,0,2
yes,annual,42,3,1089,engineering manager,yes,3238,2,2
yes,monthly,2,0,1096,designer,no,3239,2,1
yes,monthly,69,1,855,engineering manager,yes,3240,2,2
no,monthly,136,0,252,engineering manager,no,3241,2,2
no,monthly,27,14,810,engineering manager,yes,3242,2,2
no,monthly,148,9,721,developer,no,3243,2,1
no,monthly,81,16,870,product manager,no,3244,0,0
no,annual,5,13,993,developer,no,3245,2,1
no,monthly,74,16,806,engineering manager,yes,3246,0,2
no,monthly,103,9,1146,product manager,no,3247,2,0
no,annual,123,7,1189,engineering manager,yes,3248,2,2
no,monthly,135,8,420,developer,yes,3249,2,1
no,monthly,135,0,149,engineering manager,yes,3250,2,2
no,monthly,60,4,1133,product manager,no,3251,2,0
yes,monthly,57,5,999,engineering manager,no,3252,2,2
no,monthly,61,2,932,engineering manager,no,3253,2,2
no,monthly,63,12,1163,product manager,no,3254,2,0
no,monthly,46,3,917,product manager,yes,3255,2,0
no,annual,133,1,810,product manager,no,3256,2,0
no,monthly,52,16,1046,developer,yes,3257,0,1
yes,annual,86,7,885,product manager,no,3258,2,0
no,monthly,22,3,495,engineering manager,no,3259,2,2
no,annual,19,20,964,product manager,no,3260,0,0
no,annual,80,2,556,engineering manager,no,3261,2,2
yes,annual,48,7,482,marketer,yes,3262,2,1
no,monthly,111,10,97,engineering manager,yes,3263,2,2
no,monthly,67,1,632,developer,yes,3264,2,1
yes,annual,24,2,98,engineering manager,no,3265,2,2
no,monthly,55,2,961,engineering manager,no,3266,2,2
no,annual,46,3,617,engineering manager,no,3267,2,2
yes,monthly,59,11,572,sales,yes,3268,2,1
no,monthly,20,9,417,developer,yes,3269,2,1
no,monthly,78,10,1148,product manager,no,3270,2,0
no,monthly,72,4,292,product manager,no,3271,2,0
no,annual,6,17,593,product manager,yes,3272,2,0
yes,monthly,86,2,335,developer,no,3273,2,1
yes,annual,49,8,72,developer,no,3274,2,1
yes,monthly,79,9,492,designer,yes,3275,2,1
no,monthly,64,17,63,engineering manager,no,3276,0,2
yes,monthly,36,3,858,engineering manager,yes,3277,2,2
no,monthly,16,11,931,developer,no,3278,2,1
no,annual,32,3,875,developer,yes,3279,2,1
no,monthly,125,9,356,product manager,no,3280,2,0
no,monthly,76,3,993,developer,yes,3281,2,1
no,monthly,93,5,186,developer,no,3282,2,1
no,monthly,58,4,1078,engineering manager,yes,3283,2,2
yes,annual,91,6,1129,product manager,yes,3284,2,0
no,monthly,7,3,230,engineering manager,yes,3285,2,2
yes,monthly,75,1,616,product manager,yes,3286,2,0
no,monthly,84,3,403,developer,no,3287,2,1
yes,monthly,95,2,712,developer,yes,3288,2,1
no,monthly,42,7,549,engineering manager,no,3289,2,2
yes,monthly,48,9,1084,engineering manager,yes,3290,2,2
no,annual,95,14,553,developer,no,3291,0,1
no,monthly,62,19,1164,product manager,no,3292,0,0
no,monthly,35,16,154,product manager,yes,3293,0,0
yes,annual,22,3,863,product manager,yes,3294,2,0
yes,monthly,33,9,272,product manager,no,3295,2,0
no,monthly,138,7,31,engineering manager,no,3296,2,2
no,monthly,143,4,585,engineering manager,no,3297,2,2
no,annual,60,3,229,engineering manager,no,3298,2,2
no,monthly,0,5,736,product manager,no,3299,2,0
no,monthly,74,16,53,product manager,yes,3300,0,0
no,monthly,51,3,987,developer,no,3301,2,1
no,monthly,45,9,975,developer,yes,3302,2,1
no,annual,117,7,27,product manager,yes,3303,2,0
no,monthly,35,14,49,engineering manager,no,3304,2,2
no,monthly,5,1,704,engineering manager,yes,3305,2,2
no,monthly,6,17,199,developer,no,3306,2,1
no,annual,15,16,1153,engineering manager,no,3307,2,2
no,annual,22,19,70,engineering manager,no,3308,0,2
no,monthly,58,3,141,product manager,no,3309,2,0
no,annual,101,20,927,engineering manager,yes,3310,0,2
yes,monthly,9,5,470,developer,no,3311,2,1
no,annual,139,14,998,product manager,no,3312,0,0
no,monthly,5,8,425,engineering manager,no,3313,2,2
yes,monthly,69,3,156,sales,no,3314,2,1
no,annual,14,4,979,developer,no,3315,2,1
no,monthly,76,13,1050,developer,no,3316,2,1
yes,monthly,50,11,797,developer,yes,3317,2,1
no,monthly,81,4,337,engineering manager,yes,3318,2,2
yes,monthly,94,0,33,developer,no,3319,2,1
no,monthly,82,17,1079,engineering manager,yes,3320,0,2
yes,monthly,94,5,689,designer,no,3321,2,1
no,monthly,78,19,753,engineering manager,no,3322,0,2
no,monthly,11,10,1022,engineering manager,no,3323,2,2
no,monthly,43,6,505,engineering manager,no,3324,2,2
yes,annual,43,0,208,product manager,no,3325,2,0
no,monthly,104,4,335,product manager,yes,3326,2,0
no,monthly,50,16,952,developer,no,3327,0,1
no,monthly,76,5,521,product manager,no,3328,2,0
yes,annual,83,9,666,product manager,yes,3329,2,0
yes,monthly,44,11,587,product manager,no,3330,2,0
no,monthly,142,5,785,engineering manager,no,3331,2,2
no,monthly,110,10,599,engineering manager,yes,3332,2,2
yes,monthly,49,9,688,marketer,no,3333,2,1
no,monthly,30,10,568,product manager,no,3334,2,0
no,monthly,126,9,799,developer,no,3335,2,1
no,monthly,124,7,407,developer,no,3336,2,1
no,annual,51,0,129,product manager,no,3337,2,0
no,monthly,78,2,33,engineering manager,no,3338,2,2
no,monthly,11,0,635,developer,yes,3339,2,1
no,monthly,72,3,367,engineering manager,yes,3340,2,2
yes,annual,24,3,72,sales,yes,3341,2,1
no,monthly,90,15,996,engineering manager,no,3342,0,2
yes,monthly,19,12,934,marketer,no,3343,2,1
no,monthly,136,6,543,engineering manager,no,3344,2,2
no,monthly,77,11,673,developer,no,3345,2,1
no,monthly,66,3,61,engineering manager,yes,3346,2,2
no,annual,104,20,802,engineering manager,no,3347,0,2
no,annual,40,19,17,developer,yes,3348,0,1
yes,monthly,79,5,23,sales,no,3349,2,1
no,monthly,143,18,155,engineering manager,yes,3350,0,2
no,monthly,66,8,1109,product manager,no,3351,2,0
no,monthly,145,17,788,engineering manager,no,3352,0,2
no,monthly,116,1,1196,engineering manager,no,3353,2,2
no,annual,92,1,299,engineering manager,yes,3354,2,2
no,monthly,98,16,671,engineering manager,no,3355,0,2
no,annual,36,11,748,engineering manager,no,3356,2,2
yes,annual,20,5,1155,marketer,no,3357,2,1
no,monthly,68,13,861,product manager,no,3358,2,0
no,annual,1,17,928,engineering manager,no,3359,2,2
yes,monthly,79,10,875,developer,no,3360,2,1
no,monthly,0,16,163,developer,no,3361,2,1
yes,annual,30,11,805,developer,no,3362,2,1
no,monthly,2,14,759,developer,yes,3363,2,1
no,monthly,14,13,1143,developer,no,3364,2,1
yes,monthly,76,5,138,marketer,yes,3365,2,1
yes,monthly,16,7,982,designer,no,3366,2,1
no,monthly,74,13,81,engineering manager,yes,3367,2,2
no,monthly,85,8,281,product manager,yes,3368,2,0
yes,annual,16,6,798,designer,no,3369,2,1
no,monthly,36,18,538,developer,yes,3370,0,1
no,monthly,113,3,493,engineering manager,no,3371,2,2
no,annual,140,4,684,product manager,yes,3372,2,0
no,monthly,141,2,1038,product manager,no,3373,2,0
no,monthly,78,3,6,product manager,yes,3374,2,0
no,monthly,48,13,403,engineering manager,no,3375,2,2
no,annual,1,1,1061,engineering manager,yes,3376,2,2
yes,annual,69,6,1101,product manager,yes,3377,2,0
yes,monthly,75,2,1094,marketer,no,3378,2,1
no,annual,113,1,665,engineering manager,no,3379,2,2
no,monthly,21,11,1018,engineering manager,no,3380,2,2
no,monthly,41,9,534,product manager,no,3381,2,0
no,monthly,0,4,521,product manager,yes,3382,2,0
yes,monthly,45,7,797,developer,no,3383,2,1
no,monthly,108,19,762,developer,no,3384,0,1
yes,monthly,85,4,347,product manager,no,3385,2,0
no,annual,65,4,797,engineering manager,no,3386,2,2
no,monthly,93,17,1013,engineering manager,no,3387,0,2
yes,monthly,4,3,241,product manager,no,3388,2,0
yes,annual,81,7,1009,sales,no,3389,2,1
no,monthly,43,15,552,engineering manager,no,3390,2,2
yes,annual,24,1,1021,designer,yes,3391,2,1
no,annual,65,9,797,engineering manager,yes,3392,2,2
no,monthly,71,15,811,product manager,yes,3393,0,0
no,monthly,80,16,3,engineering manager,yes,3394,0,2
no,monthly,14,20,999,engineering manager,no,3395,0,2
no,annual,94,7,162,developer,yes,3396,2,1
no,monthly,149,3,878,engineering manager,no,3397,2,2
yes,monthly,53,12,461,sales,yes,3398,2,1
no,monthly,30,20,160,product manager,yes,3399,0,0
no,monthly,137,18,1183,engineering manager,no,3400,0,2
no,annual,4,18,97,developer,no,3401,0,1
no,monthly,75,7,1186,product manager,yes,3402,2,0
yes,monthly,4,4,1123,product manager,no,3403,2,0
yes,monthly,60,11,88,product manager,no,3404,2,0
yes,annual,39,10,916,sales,yes,3405,2,1
no,monthly,149,1,307,product manager,no,3406,2,0
no,monthly,34,19,588,developer,yes,3407,0,1
no,monthly,0,7,420,engineering manager,no,3408,2,2
no,monthly,29,2,75,developer,no,3409,2,1
no,monthly,139,18,711,product manager,no,3410,0,0
no,monthly,4,5,376,developer,yes,3411,2,1
yes,annual,94,9,467,designer,yes,3412,2,1
no,monthly,140,4,717,engineering manager,yes,3413,2,2
yes,monthly,48,0,194,engineering manager,no,3414,2,2
yes,monthly,24,4,662,engineering manager,no,3415,2,2
no,monthly,107,2,303,engineering manager,yes,3416,2,2
no,monthly,54,15,654,engineering manager,no,3417,2,2
no,monthly,65,14,546,product manager,yes,3418,2,0
no,annual,62,0,644,engineering manager,yes,3419,2,2
no,annual,59,4,1051,product manager,yes,3420,2,0
yes,annual,13,4,938,sales,yes,3421,2,1
no,annual,72,17,666,engineering manager,no,3422,0,2
no,monthly,22,13,14,developer,yes,3423,2,1
no,annual,81,4,1076,developer,no,3424,2,1
yes,monthly,23,4,558,developer,no,3425,2,1
no,monthly,51,16,327,product manager,no,3426,0,0
yes,monthly,88,3,986,product manager,no,3427,2,0
yes,monthly,36,3,139,product manager,no,3428,2,0
yes,monthly,44,12,215,marketer,yes,3429,2,1
no,annual,107,17,469,developer,no,3430,0,1
no,monthly,113,7,532,developer,no,3431,2,1
yes,annual,3,7,1023,product manager,no,3432,2,0
yes,monthly,50,6,599,marketer,yes,3433,2,1
no,monthly,122,17,855,developer,no,3434,0,1
yes,monthly,18,1,741,sales,no,3435,2,1
yes,monthly,30,6,258,product manager,yes,3436,2,0
no,monthly,128,4,528,engineering manager,no,3437,2,2
yes,monthly,16,7,332,sales,yes,3438,2,1
yes,annual,6,10,541,designer,yes,3439,2,1
no,monthly,113,3,466,developer,no,3440,2,1
no,monthly,57,19,1106,product manager,no,3441,0,0
no,monthly,131,9,355,product manager,no,3442,2,0
no,monthly,17,0,201,product manager,no,3443,2,0
no,monthly,36,6,99,developer,yes,3444,2,1
no,annual,3,11,9,product manager,no,3445,2,0
no,monthly,8,8,27,developer,no,3446,2,1
no,monthly,67,9,224,developer,no,3447,2,1
yes,monthly,36,7,1066,sales,no,3448,2,1
yes,monthly,42,11,422,sales,no,3449,2,1
no,monthly,117,7,737,engineering manager,no,3450,2,2
no,monthly,87,13,99,engineering manager,yes,3451,2,2
no,monthly,147,2,1061,product manager,no,3452,2,0
yes,monthly,12,6,165,product manager,no,3453,2,0
no,monthly,85,20,443,developer,yes,3454,0,1
yes,monthly,0,7,28,sales,yes,3455,2,1
no,monthly,116,19,1092,product manager,no,3456,0,0
yes,annual,14,1,396,sales,no,3457,2,1
yes,monthly,55,11,231,engineering manager,yes,3458,2,2
yes,monthly,55,9,435,designer,yes,3459,2,1
yes,monthly,90,12,679,engineering manager,no,3460,2,2
no,annual,133,7,933,engineering manager,no,3461,2,2
yes,annual,78,5,465,sales,yes,3462,2,1
yes,annual,66,10,670,sales,yes,3463,2,1
no,annual,78,7,1061,product manager,no,3464,2,0
no,monthly,2,10,29,engineering manager,no,3465,2,2
no,monthly,146,2,922,product manager,yes,3466,2,0
no,annual,44,20,718,product manager,yes,3467,0,0
yes,monthly,51,12,973,product manager,yes,3468,2,0
no,monthly,94,18,1197,developer,yes,3469,0,1
no,annual,30,8,269,developer,no,3470,2,1
no,monthly,83,19,707,engineering manager,yes,3471,0,2
no,monthly,84,8,6,engineering manager,yes,3472,2,2
no,monthly,144,8,246,product manager,yes,3473,2,0
no,monthly,78,13,102,engineering manager,yes,3474,2,2
no,annual,97,5,465,engineering manager,no,3475,2,2
no,monthly,59,3,377,engineering manager,no,3476,2,2
no,monthly,2,3,111,developer,no,3477,2,1
yes,monthly,42,8,1094,engineering manager,no,3478,2,2
no,annual,52,12,1043,developer,no,3479,2,1
yes,monthly,86,10,904,sales,yes,3480,2,1
no,annual,76,0,56,product manager,yes,3481,2,0
no,annual,37,7,981,developer,no,3482,2,1
yes,monthly,83,4,904,developer,no,3483,2,1
no,monthly,142,1,342,developer,yes,3484,2,1
no,monthly,116,17,464,product manager,yes,3485,0,0
no,monthly,103,20,701,engineering manager,no,3486,0,2
no,monthly,2,3,529,developer,no,3487,2,1
no,annual,59,1,125,engineering manager,no,3488,2,2
yes,monthly,44,7,1169,developer,no,3489,2,1
no,monthly,29,4,839,product manager,no,3490,2,0
no,monthly,13,1,336,engineering manager,no,3491,2,2
no,annual,124,5,696,developer,yes,3492,2,1
no,annual,81,10,496,developer,yes,3493,2,1
yes,monthly,36,3,1051,sales,no,3494,2,1
no,monthly,19,7,385,engineering manager,no,3495,2,2
no,annual,135,20,464,developer,no,3496,0,1
no,monthly,127,12,739,product manager,yes,3497,0,0
no,annual,67,17,744,engineering manager,yes,3498,0,2
no,annual,92,1,780,engineering manager,no,3499,2,2
no,monthly,73,10,566,product manager,yes,3500,2,0
yes,monthly,52,12,791,engineering manager,no,3501,2,2
no,annual,88,9,1058,engineering manager,yes,3502,2,2
no,monthly,49,5,352,developer,no,3503,2,1
no,annual,71,18,450,product manager,yes,3504,0,0
yes,annual,98,7,804,marketer,no,3505,2,1
yes,annual,2,1,323,sales,yes,3506,2,1
no,annual,140,17,25,engineering manager,no,3507,0,2
yes,annual,10,11,96,designer,no,3508,2,1
no,annual,54,19,2,developer,no,3509,0,1
no,annual,111,5,963,engineering manager,yes,3510,2,2
no,monthly,89,18,444,developer,yes,3511,0,1
no,annual,59,15,933,engineering manager,no,3512,2,2
yes,monthly,68,2,839,developer,no,3513,2,1
no,monthly,125,2,810,engineering manager,no,3514,2,2
yes,monthly,45,10,1130,sales,no,3515,2,1
no,monthly,31,6,1037,developer,yes,3516,2,1
no,monthly,77,1,987,product manager,yes,3517,2,0
yes,monthly,97,10,760,marketer,no,3518,2,1
yes,monthly,23,1,628,marketer,yes,3519,2,1
yes,monthly,13,7,1036,developer,yes,3520,2,1
no,annual,107,1,994,engineering manager,yes,3521,2,2
yes,monthly,45,5,654,sales,no,3522,2,1
yes,monthly,96,11,1130,engineering manager,no,3523,2,2
no,annual,71,20,676,engineering manager,no,3524,0,2
no,annual,89,18,297,product manager,no,3525,0,0
no,monthly,109,7,40,product manager,no,3526,2,0
no,monthly,22,17,790,developer,no,3527,0,1
no,monthly,48,5,562,product manager,yes,3528,2,0
no,monthly,54,12,86,product manager,yes,3529,2,0
yes,annual,37,9,146,sales,no,3530,2,1
no,annual,112,20,16,product manager,no,3531,0,0
no,monthly,82,10,1074,engineering manager,yes,3532,2,2
no,monthly,45,9,88,developer,no,3533,2,1
no,monthly,82,5,1176,product manager,yes,3534,2,0
yes,monthly,35,11,463,sales,no,3535,2,1
yes,monthly,29,2,450,sales,yes,3536,2,1
no,monthly,5,5,118,engineering manager,no,3537,2,2
yes,annual,77,10,700,marketer,no,3538,2,1
