Name EN,Name CN,combined_text,cleaned_text,Cluster,Distance_to_Centroid
All Star Tennis 99 (USA),全明星网球'99,All Star Tennis 99 (USA) 全明星网球'99,star tennis usa 全明星网球,5,0.9910416568762818
All-Star Baseball 2000 (Europe),全明星棒球2000,All-Star Baseball 2000 (Europe) 全明星棒球2000,allstar baseball europe 全明星棒球,1,0.9872472652375318
All-Star Baseball 2000 (USA),全明星棒球2000,All-Star Baseball 2000 (USA) 全明星棒球2000,allstar baseball usa 全明星棒球,5,0.9897632016155629
All-Star Baseball 2001 (USA),全明星棒球2001,All-Star Baseball 2001 (USA) 全明星棒球2001,allstar baseball usa 全明星棒球,5,0.9897632016155629
All-Star Baseball 99 (Europe),全明星棒球'99,All-Star Baseball 99 (Europe) 全明星棒球'99,allstar baseball europe 全明星棒球,1,0.9872472652375318
All-Star Baseball 99 (USA),全明星棒球'99,All-Star Baseball 99 (USA) 全明星棒球'99,allstar baseball usa 全明星棒球,5,0.9897632016155629
Armorines - Project S.W.A.R.M. (Europe),装甲兵器-S.W.A.R.M.计划,Armorines - Project S.W.A.R.M. (Europe) 装甲兵器-S.W.A.R.M.计划,armorines project swarm europe 装甲兵器swarm计划,1,0.9946567166129932
Armorines - Project S.W.A.R.M. (Germany),装甲兵器-S.W.A.R.M.计划,Armorines - Project S.W.A.R.M. (Germany) 装甲兵器-S.W.A.R.M.计划,armorines project swarm germany 装甲兵器swarm计划,5,1.0009809604259639
Armorines - Project S.W.A.R.M. (USA),装甲兵器-S.W.A.R.M.计划,Armorines - Project S.W.A.R.M. (USA) 装甲兵器-S.W.A.R.M.计划,armorines project swarm usa 装甲兵器swarm计划,5,0.9953092766373732
Army Men - Air Combat (USA),玩具兵大战-空中打击,Army Men - Air Combat (USA) 玩具兵大战-空中打击,army men air combat usa 玩具兵大战空中打击,5,0.9968562986475872
"Army Men - Sarge's Heroes (Europe) (En,Fr,De)",玩具兵大战-萨基英雄,"Army Men - Sarge's Heroes (Europe) (En,Fr,De) 玩具兵大战-萨基英雄",army men sarges heroes europe enfrde 玩具兵大战萨基英雄,1,0.980233044812464
Army Men - Sarge's Heroes (USA),玩具兵大战-萨基英雄,Army Men - Sarge's Heroes (USA) 玩具兵大战-萨基英雄,army men sarges heroes usa 玩具兵大战萨基英雄,5,0.994043003489864
Army Men - Sarge's Heroes 2 (USA),玩具兵大战-萨基英雄2,Army Men - Sarge's Heroes 2 (USA) 玩具兵大战-萨基英雄2,army men sarges heroes usa 玩具兵大战萨基英雄,5,0.994043003489864
Asteroids Hyper 64 (USA),游星大战64,Asteroids Hyper 64 (USA) 游星大战64,asteroids hyper usa 游星大战,5,0.9961283536105429
Ataxx 64 (World) (Unl),,Ataxx 64 (World) (Unl) ,ataxx world unl,4,0.951335031839098
Automobili Lamborghini (Europe),兰博基尼赛车,Automobili Lamborghini (Europe) 兰博基尼赛车,automobili lamborghini europe 兰博基尼赛车,1,0.992916447018889
Automobili Lamborghini (USA),兰博基尼赛车,Automobili Lamborghini (USA) 兰博基尼赛车,automobili lamborghini usa 兰博基尼赛车,5,0.9959002007366848
Baku Bomberman (Japan),爆-炸弹人,Baku Bomberman (Japan) 爆-炸弹人,baku bomberman japan 爆炸弹人,7,0.9773919209391564
Baku Bomberman 2 (Japan),爆-炸弹人2,Baku Bomberman 2 (Japan) 爆-炸弹人2,baku bomberman japan 爆炸弹人,7,0.9773919209391564
Bakuretsu Muteki Bangaioh (Japan),爆裂无敌,Bakuretsu Muteki Bangaioh (Japan) 爆裂无敌,bakuretsu muteki bangaioh japan 爆裂无敌,7,0.9916338335822531
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),爆笑人生64,Bakushou Jinsei 64 - Mezase! Resort Ou (Japan) 爆笑人生64,bakushou jinsei mezase resort ou japan 爆笑人生,7,0.993930960506431
Banjo to Kazooie no Daibouken (Japan),班卓熊大冒险,Banjo to Kazooie no Daibouken (Japan) 班卓熊大冒险,banjo kazooie daibouken japan 班卓熊大冒险,7,0.9852651300783598
Banjo to Kazooie no Daibouken 2 (Japan),班卓熊大冒险2,Banjo to Kazooie no Daibouken 2 (Japan) 班卓熊大冒险2,banjo kazooie daibouken japan 班卓熊大冒险,7,0.9852651300783598
"Banjo-Kazooie (Europe) (En,Fr,De)",班卓熊大冒险,"Banjo-Kazooie (Europe) (En,Fr,De) 班卓熊大冒险",banjokazooie europe enfrde 班卓熊大冒险,1,0.9675648378368368
Banjo-Kazooie (USA),班卓熊大冒险,Banjo-Kazooie (USA) 班卓熊大冒险,banjokazooie usa 班卓熊大冒险,5,0.9914971349038897
Banjo-Kazooie (USA) (Rev 1),班卓熊大冒险,Banjo-Kazooie (USA) (Rev 1) 班卓熊大冒险,banjokazooie usa rev 班卓熊大冒险,9,0.9547663724239973
Banjo-Tooie (Australia),班卓熊大冒险2,Banjo-Tooie (Australia) 班卓熊大冒险2,banjotooie australia 班卓熊大冒险,5,1.0028477564414788
"Banjo-Tooie (Europe) (En,Fr,De,Es)",班卓熊大冒险2,"Banjo-Tooie (Europe) (En,Fr,De,Es) 班卓熊大冒险2",banjotooie europe enfrdees 班卓熊大冒险,1,0.9823332342942429
Banjo-Tooie (USA),班卓熊大冒险2,Banjo-Tooie (USA) 班卓熊大冒险2,banjotooie usa 班卓熊大冒险,5,0.9911856269883355
Bass Rush - ECOGEAR PowerWorm Championship (Japan),巴斯快速钓鱼,Bass Rush - ECOGEAR PowerWorm Championship (Japan) 巴斯快速钓鱼,bass rush ecogear powerworm championship japan 巴斯快速钓鱼,7,0.9926552209672309
Bassmasters 2000 (USA),巴斯鲈钓大师2000,Bassmasters 2000 (USA) 巴斯鲈钓大师2000,bassmasters usa 巴斯鲈钓大师,5,0.9921709010907961
Bassmasters 2000 (USA) (Beta),巴斯鲈钓大师2000,Bassmasters 2000 (USA) (Beta) 巴斯鲈钓大师2000,bassmasters usa beta 巴斯鲈钓大师,5,0.9811520931326758
Batman Beyond - Return of the Joker (USA),未来蝙蝠侠-小丑的归来,Batman Beyond - Return of the Joker (USA) 未来蝙蝠侠-小丑的归来,batman beyond return joker usa 未来蝙蝠侠小丑的归来,5,0.9982136112882426
"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",未来蝙蝠侠-小丑的归来,"Batman of the Future - Return of the Joker (Europe) (En,Fr,De) 未来蝙蝠侠-小丑的归来",batman future return joker europe enfrde 未来蝙蝠侠小丑的归来,1,0.98310053399634
BattleTanx (USA),坦克大战,BattleTanx (USA) 坦克大战,battletanx usa 坦克大战,5,0.9935990782924826
"BattleTanx - Global Assault (Europe) (En,Fr,De)",坦克大战-世界公敌,"BattleTanx - Global Assault (Europe) (En,Fr,De) 坦克大战-世界公敌",battletanx global assault europe enfrde 坦克大战世界公敌,1,0.9781136979885672
BattleTanx - Global Assault (USA),坦克大战-世界公敌,BattleTanx - Global Assault (USA) 坦克大战-世界公敌,battletanx global assault usa 坦克大战世界公敌,5,0.9954845385817458
Battlezone - Rise of the Black Dogs (USA),战争地带,Battlezone - Rise of the Black Dogs (USA) 战争地带,battlezone rise black dogs usa 战争地带,5,0.9984160680501982
"Beetle Adventure Racing! (Europe) (En,Fr,De)",甲壳虫冒险赛车,"Beetle Adventure Racing! (Europe) (En,Fr,De) 甲壳虫冒险赛车",beetle adventure racing europe enfrde 甲壳虫冒险赛车,1,0.969823623590794
Beetle Adventure Racing! (Japan),甲壳虫冒险赛车,Beetle Adventure Racing! (Japan) 甲壳虫冒险赛车,beetle adventure racing japan 甲壳虫冒险赛车,7,0.9876398290540266
"Beetle Adventure Racing! (USA) (En,Fr,De)",甲壳虫冒险赛车,"Beetle Adventure Racing! (USA) (En,Fr,De) 甲壳虫冒险赛车",beetle adventure racing usa enfrde 甲壳虫冒险赛车,1,0.9930594977608118
Big Mountain 2000 (USA),高山滑雪,Big Mountain 2000 (USA) 高山滑雪,big mountain usa 高山滑雪,5,0.9962307201722577
Bike Race '98 (World) (v1.2) (Demo) (Unl),,Bike Race '98 (World) (v1.2) (Demo) (Unl) ,bike race world v demo unl,4,0.9528317508578695
Bike Race '98 (World) (v1.0) (Demo) (Presence of Mind '98) (Unl),,Bike Race '98 (World) (v1.0) (Demo) (Presence of Mind '98) (Unl) ,bike race world v demo presence mind unl,4,0.9471156489538551
Bio F.R.E.A.K.S. (Europe),幻想格斗,Bio F.R.E.A.K.S. (Europe) 幻想格斗,bio freaks europe 幻想格斗,1,0.9930242063504283
Bio F.R.E.A.K.S. (USA),幻想格斗,Bio F.R.E.A.K.S. (USA) 幻想格斗,bio freaks usa 幻想格斗,5,0.9959635121573878
Biohazard 2 (Japan),生化危机2,Biohazard 2 (Japan) 生化危机2,biohazard japan 生化危机,7,0.9844564097112469
"Blast Corps (Europe) (En,De)",爆破推土机,"Blast Corps (Europe) (En,De) 爆破推土机",blast corps europe ende 爆破推土机,1,0.9921588774241807
Blast Corps (USA),爆破推土机,Blast Corps (USA) 爆破推土机,blast corps usa 爆破推土机,5,0.9955478447057426
Blast Corps (USA) (Rev 1),爆破推土机,Blast Corps (USA) (Rev 1) 爆破推土机,blast corps usa rev 爆破推土机,9,0.9669463730422444
Blastdozer (Japan),爆破推土机,Blastdozer (Japan) 爆破推土机,blastdozer japan 爆破推土机,7,0.9844564097112469
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)",布鲁斯兄弟2000,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) 布鲁斯兄弟2000",blues brothers europe enfrdeesitnl 布鲁斯兄弟,1,0.9789726669337837
Blues Brothers 2000 (USA),布鲁斯兄弟2000,Blues Brothers 2000 (USA) 布鲁斯兄弟2000,blues brothers usa 布鲁斯兄弟,5,0.9954505601681278
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#53)",布鲁斯兄弟2000,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#53) 布鲁斯兄弟2000",blues brothers europe enfrdeesitnl beta 布鲁斯兄弟,1,0.9779368543584778
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#20)",布鲁斯兄弟2000,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#20) 布鲁斯兄弟2000",blues brothers europe enfrdeesitnl beta 布鲁斯兄弟,1,0.9779368543584778
"Body Harvest (Europe) (En,Fr,De)",肉体收割,"Body Harvest (Europe) (En,Fr,De) 肉体收割",body harvest europe enfrde 肉体收割,1,0.9756757156384377
Body Harvest (USA),肉体收割,Body Harvest (USA) 肉体收割,body harvest usa 肉体收割,5,0.9955568762464908
Bokujou Monogatari 2 (Japan),牧场物语2,Bokujou Monogatari 2 (Japan) 牧场物语2,bokujou monogatari japan 牧场物语,7,0.9858379950369127
Bokujou Monogatari 2 (Japan) (Rev 1),牧场物语2,Bokujou Monogatari 2 (Japan) (Rev 1) 牧场物语2,bokujou monogatari japan rev 牧场物语,9,0.9676204171395216
Bokujou Monogatari 2 (Japan) (Rev 2),牧场物语2,Bokujou Monogatari 2 (Japan) (Rev 2) 牧场物语2,bokujou monogatari japan rev 牧场物语,9,0.9676204171395216
Bomberman 64 (Europe),爆-炸弹人64,Bomberman 64 (Europe) 爆-炸弹人64,bomberman europe 爆炸弹人,1,0.9876539049625195
Bomberman 64 (Japan),爆-炸弹人64,Bomberman 64 (Japan) 爆-炸弹人64,bomberman japan 爆炸弹人,7,0.9730138724565687
Bomberman 64 (USA),爆-炸弹人64,Bomberman 64 (USA) 爆-炸弹人64,bomberman usa 爆炸弹人,5,0.9925234109641248
Bomberman 64 - The Second Attack! (USA),爆-炸弹人64-二次攻击,Bomberman 64 - The Second Attack! (USA) 爆-炸弹人64-二次攻击,bomberman second attack usa 爆炸弹人二次攻击,5,0.9953973013998406
Bomberman Hero (Europe),炸弹人英雄,Bomberman Hero (Europe) 炸弹人英雄,bomberman hero europe 炸弹人英雄,1,0.9917571417941117
Bomberman Hero (USA),炸弹人英雄,Bomberman Hero (USA) 炸弹人英雄,bomberman hero usa 炸弹人英雄,5,0.9949963698770774
Bomberman Hero - Mirian Oujo o Sukue! (Japan),炸弹人英雄-拯救公主米利安,Bomberman Hero - Mirian Oujo o Sukue! (Japan) 炸弹人英雄-拯救公主米利安,bomberman hero mirian oujo sukue japan 炸弹人英雄拯救公主米利安,7,0.992740199608206
Bottom of the 9th (USA),绝境棒球,Bottom of the 9th (USA) 绝境棒球,bottom th usa 绝境棒球,5,0.9963150150873785
Brunswick Circuit Pro Bowling (USA),布伦瑞克职业保龄球巡回赛,Brunswick Circuit Pro Bowling (USA) 布伦瑞克职业保龄球巡回赛,brunswick circuit pro bowling usa 布伦瑞克职业保龄球巡回赛,5,0.9972429873021924
"Buck Bumble (Europe) (En,Fr,De,Es,It)",巴克大黄蜂,"Buck Bumble (Europe) (En,Fr,De,Es,It) 巴克大黄蜂",buck bumble europe enfrdeesit 巴克大黄蜂,4,0.9734398202919159
Buck Bumble (Japan),巴克大黄蜂,Buck Bumble (Japan) 巴克大黄蜂,buck bumble japan 巴克大黄蜂,7,0.9879930216198168
Buck Bumble (USA),巴克大黄蜂,Buck Bumble (USA) 巴克大黄蜂,buck bumble usa 巴克大黄蜂,5,0.9957025860719798
"Bug's Life, A (Europe)",虫虫特工队,"Bug's Life, A (Europe) 虫虫特工队",bugs life europe 虫虫特工队,1,0.9919266074148092
"Bug's Life, A (France)",虫虫特工队,"Bug's Life, A (France) 虫虫特工队",bugs life france 虫虫特工队,5,0.999266986398592
"Bug's Life, A (Germany)",虫虫特工队,"Bug's Life, A (Germany) 虫虫特工队",bugs life germany 虫虫特工队,5,0.9982244000777002
"Bug's Life, A (Italy)",虫虫特工队,"Bug's Life, A (Italy) 虫虫特工队",bugs life italy 虫虫特工队,5,1.0016304622256726
"Bug's Life, A (USA)",虫虫特工队,"Bug's Life, A (USA) 虫虫特工队",bugs life usa 虫虫特工队,5,0.9913699972515508
Bust-A-Move '99 (USA),泡泡龙'99,Bust-A-Move '99 (USA) 泡泡龙'99,bustamove usa 泡泡龙,5,0.9929379511646828
Bust-A-Move 2 - Arcade Edition (Europe),泡泡龙2-街机版,Bust-A-Move 2 - Arcade Edition (Europe) 泡泡龙2-街机版,bustamove arcade edition europe 泡泡龙街机版,1,0.9920063177009749
Bust-A-Move 2 - Arcade Edition (USA),泡泡龙2-街机版,Bust-A-Move 2 - Arcade Edition (USA) 泡泡龙2-街机版,bustamove arcade edition usa 泡泡龙街机版,5,0.9941286372228242
Bust-A-Move 3 DX (Europe),泡泡龙3-DX,Bust-A-Move 3 DX (Europe) 泡泡龙3-DX,bustamove dx europe 泡泡龙dx,1,0.9922707421507568
Bust-A-Move 3 DX (USA) (Beta) (1998-08-28),泡泡龙3-DX,Bust-A-Move 3 DX (USA) (Beta) (1998-08-28) 泡泡龙3-DX,bustamove dx usa beta 泡泡龙dx,5,0.9856812292809015
California Speed (USA),加州赛车,California Speed (USA) 加州赛车,california speed usa 加州赛车,5,0.9959002007366848
California Speed (Europe) (Proto),加州赛车,California Speed (Europe) (Proto) 加州赛车,california speed europe proto 加州赛车,1,0.988624931445538
"Carmageddon 64 (Europe) (En,Fr,De,Es)",恶煞车手64,"Carmageddon 64 (Europe) (En,Fr,De,Es) 恶煞车手64",carmageddon europe enfrdees 恶煞车手,1,0.980989071212599
"Carmageddon 64 (Europe) (En,Fr,Es,It)",恶煞车手64,"Carmageddon 64 (Europe) (En,Fr,Es,It) 恶煞车手64",carmageddon europe enfresit 恶煞车手,1,0.9879895548426529
Carmageddon 64 (USA),恶煞车手64,Carmageddon 64 (USA) 恶煞车手64,carmageddon usa 恶煞车手,5,0.9936879700692769
Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21),,Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21) ,carnivale cenzos adventure usa proto,5,0.9878994459818967
"Castlevania (Europe) (En,Fr,De)",恶魔城默示录,"Castlevania (Europe) (En,Fr,De) 恶魔城默示录",castlevania europe enfrde 恶魔城默示录,1,0.9674609945818505
Castlevania (USA),恶魔城默示录,Castlevania (USA) 恶魔城默示录,castlevania usa 恶魔城默示录,5,0.9926289974249188
Castlevania (USA) (Rev 2),恶魔城默示录,Castlevania (USA) (Rev 2) 恶魔城默示录,castlevania usa rev 恶魔城默示录,9,0.9410820611001167
Castlevania (USA) (Rev 1),恶魔城默示录,Castlevania (USA) (Rev 1) 恶魔城默示录,castlevania usa rev 恶魔城默示录,9,0.9410820611001167
"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)",恶魔城默示录外传,"Castlevania - Legacy of Darkness (Europe) (En,Fr,De) 恶魔城默示录外传",castlevania legacy darkness europe enfrde 恶魔城默示录外传,1,0.9788023586984694
Castlevania - Legacy of Darkness (USA),恶魔城默示录外传,Castlevania - Legacy of Darkness (USA) 恶魔城默示录外传,castlevania legacy darkness usa 恶魔城默示录外传,5,0.9967208125886428
Centre Court Tennis (Europe),中心球场网球赛,Centre Court Tennis (Europe) 中心球场网球赛,centre court tennis europe 中心球场网球赛,1,0.9932542212538987
Chameleon Twist (Europe),变色龙,Chameleon Twist (Europe) 变色龙,chameleon twist europe 变色龙,1,0.98692595718046
Chameleon Twist (Japan),变色龙,Chameleon Twist (Japan) 变色龙,chameleon twist japan 变色龙,7,0.9810912236562611
Chameleon Twist (USA),变色龙,Chameleon Twist (USA) 变色龙,chameleon twist usa 变色龙,5,0.9923737370943878
Chameleon Twist (USA) (Rev 1),变色龙,Chameleon Twist (USA) (Rev 1) 变色龙,chameleon twist usa rev 变色龙,9,0.963130086411098
Chameleon Twist 2 (Europe),变色龙2,Chameleon Twist 2 (Europe) 变色龙2,chameleon twist europe 变色龙,1,0.98692595718046
Chameleon Twist 2 (Japan),变色龙2,Chameleon Twist 2 (Japan) 变色龙2,chameleon twist japan 变色龙,7,0.9810912236562611
Chameleon Twist 2 (USA),变色龙2,Chameleon Twist 2 (USA) 变色龙2,chameleon twist usa 变色龙,5,0.9923737370943878
Charlie Blast's Territory (Europe),爆破工查理,Charlie Blast's Territory (Europe) 爆破工查理,charlie blasts territory europe 爆破工查理,1,0.9951586153829851
Charlie Blast's Territory (USA),爆破工查理,Charlie Blast's Territory (USA) 爆破工查理,charlie blasts territory usa 爆破工查理,5,0.9972163567170862
Chopper Attack (Europe),狂野直升机,Chopper Attack (Europe) 狂野直升机,chopper attack europe 狂野直升机,1,0.9912109497027661
Chopper Attack (USA),狂野直升机,Chopper Attack (USA) 狂野直升机,chopper attack usa 狂野直升机,5,0.994282111890261
Choro Q 64 (Japan),可爱Q赛车,Choro Q 64 (Japan) 可爱Q赛车,choro q japan 可爱q赛车,7,0.9817540742163593
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan),可爱Q赛车2,Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan) 可爱Q赛车2,choro q hacha mecha grand prix race japan 可爱q赛车,7,0.9904187482254727
Chou Kuukan Nighter Pro Yakyuu King (Japan),超空间棒球大赛,Chou Kuukan Nighter Pro Yakyuu King (Japan) 超空间棒球大赛,chou kuukan nighter pro yakyuu king japan 超空间棒球大赛,7,0.9862409216348618
