original_code,original_name,translated_name,HCAT3_name,HCAT3_code,cluster
585,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013 beihilfefähige Fläche Maßnahmen aus der",Non-agricultural area eligible for aid under Article 32(2b (i)) of Regulation (EC) No 1307/2013,not_known_and_other,3399000000,1
586,Heckenpflanzung Erosionsschutz,Hedge planting erosion control,not_known_and_other,3399000000,1
587,Heckenpflanzung Vogelschutz,Hedge planting bird protection,not_known_and_other,3399000000,1
590,Brache mit Einsaat von einjährigen Blühmischungen,Fallow with annual sowing of flower mix/Fallow (Flowering Mix),fallow_land_not_crop,3301110000,0
591,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013,Arable land withdrawn from production (self-greening)/AL taken from generation,unmaintained,3308000000,2
592,Dauergrünland aus der Erzeugung genommen iSd. Art. 4 Abs. Buchst. c) ii) VO 1307/2013,Permanent grassland withdrawn from production within the meaning of Art. 4 para. 1 letter c) ii) Regulation 1307/2013/Permanent grass land suspendet from production,pasture_meadow_grassland_grass,3302000000,0
593,Dauerkulturen aus der Erzeugung genommen iSd. Art. 4 Abs. Buchst. c) ii) VO 1307/2013,DK removed from production,unmaintained,3308000000,2
594,Honigpflanzen genutzte brachliegende Flächen (pollen- und nektarreiche Arten) -einjährig,Honey plants used fallow land (species rich in pollen and nectar) -annual,fallow_land_not_crop,3301110000,0
595,Honigpflanzen genutzte brachliegende Flächen (pollen- und nektarreiche Arten) -mehrjährig,Honey plants used fallow land (species rich in pollen and nectar) - perennial,fallow_land_not_crop,3301110000,0
599,Brachefläche Vertragsnaturs.,Fallow land of contract nature conservation,fallow_land_not_crop,3301110000,0
601,Stärkekartoffeln,Starch potatoes and other potatoes,potatoes,3301030000,0
602,Kartoffeln (Speise),Potatoes (food)/potatoes,potatoes,3301030000,0
603,Zuckerrüben,Sugar beet,sugar_beet,3301290700,0
604,Topinambur,Topinambur,topinambur_jerusalem_artichoke,3301180000,0
605,Süßkartoffel,sweet potato,sweet_potatoes,3301040000,0
606,Pflanzkartoffeln,Seed potatoes,potatoes,3301030000,0
610,Gemüse,vegetables,fresh_vegetables,3301070000,0
611,Gemüse-Kreuzblütler,Vegetable cruciferous vegetables,brassicaceae_cruciferae,3301210000,0
613,"Gemüsekohl (Kopfkohl, Wirsing, Rot-/Weißkohl, Spitzkohl, Grünkohl, Kohlrabi, Markstammkohl, Blumenkohl, Romanesco, Brokkoli, Rosenkohl, Zierkohl)",Vegetable cabbage (head cabbage/Vegetable cabbage (also ornamental cabbage),brassica_oleracea_cabbage,3301210200,0
614,Brauner Senf/Sareptasenf,Brown mustard / Sareptasenf/Brown mustard (Sareptasenf),mustard,3301210100,0
615,Echte Brunnenkresse,True watercress,cress,3301210300,0
616,"Garten-Senfrauke, Rucola",Arugla/Arugula,rocket_arugula,3301310600,0
617,Gartenkresse,Garden cress,cress,3301210300,0
618,"Gartenrettiche (Weiße/rote Rettiche, schwarzer Winterrettich, Ölrettich, Radieschen",Garden radishes (white / red radishes/Garden radishes,radish,3301290600,0
619,"Weißer Senf, Gelber Senf",White mustard,mustard,3301210100,0
620,"Steckrübe, Kohlrübe (Gemüseanbau)",rutabaga (vegetable cultivation),swede_rutabaga,3301210500,0
621,Gemüse-Nachtschattengewächse,Vegetable nightshade family,fresh_vegetables,3301070000,0
622,Tomaten,tomatoes,tomato,3301280000,0
623,Auberginen,Eggplant,aubergine_eggplant,3301260000,0
624,"Paprika, Chilli, Peperoni",Spanish pepper (paprika/Paprika chilli hot peppers,capsicum,3301300000,0
625,Schwarze Tollkirsche,Black belladonna,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
626,Gemüse-Kürbisgewächse,Vegetable cucurbits,cucurbits,3301140000,0
627,"Gurke (Salatgurke, Einlegegurke)",Cucumber (cucumber/Cucumber (also pickled cucumber),cucumber_pickle,3301140100,0
628,Zuckermelone,Sugar melon (cucumis melo),melon,3301140300,0
629,"Riesenkürbis (Riesenkürbis, Hokkaidokürbis)",Giant Pumpkin (Giant Pumpkin/Giant pumpkin (also Hokkaido),pumpkin_squash_gourd,3301140400,0
630,"Gartenkürbis (Gartenkürbis, Steirischer Kürbis, Zucchini, Spaghettikürbis, Zierkürbis)",Garden pumpkin (garden pumpkin/Pumpkin (Zucchini,pumpkin_squash_gourd,3301140400,0
631,Melone (Wassermelone),Melon (watermelon),watermelon,3301140500,0
632,Andere Gemüsearten,Other vegetables,fresh_vegetables,3301070000,0
633,"Lauch (Speise-Zwiebel, Schalotte, Lauch, Knoblauch, Schnittlauch, Winterheckenzwiebel, Bärlauch)",Allium / leek (onion/Onions / leeks,alliums,3301220000,0
634,"Möhre (Möhre/Karotte, Futtermöhre)",Carrot (carrot / carrot/Carrot (also feeding carrot),carrots_daucus,3301290300,0
635,"Gartenbohne (Gartenbohne/Buschbohne/Stangenbohne, Feuerbohne/Prunkbohne",Garden bean (French bean / French bean / runner bean/Kidney bean,beans,3301020100,0
636,Feldsalat/Ackersalat/ Rapunzel,Lamb's lettuce / field lettuce / Rapunzel/Lamb's lettuce (also Rapunzel),lambs_lettuce_rapunzel,3301310500,0
637,"Lattich (Garten-Salat/Lattich, Lollo Rosso, Romana-Salat/Römischer Salat",Lattich (garden lettuce / lettuce/Lettuce (garden,salads_lettuce_leaf_vegetables,3301310000,0
638,Spinat,spinach,spinach,3301310800,0
639,"Mangold, Rote Beete/Rote Rübe","Swiss chard, beetroot",beetroot_beets,3301290200,0
640,Melde (Garten-Melde),Garden orache,other_salads_lettuce_leaf_vegetables,3301319900,0
641,"Sellerie (Knollen-Sellerie, Bleich-Sellerie, Stangen-Sellerie)",Celery (celery root/Celery (tuber / pale / stick),celery,3301250000,0
642,Ampfer (Wiesen-Sauerampfer),Dock (meadow sorrel),sorrel,3301310700,0
643,Pastinaken,Parsnips,parsnips,3301290500,0
644,"Zichorien/Wegwarten (Chicoree, Radiccio, krausblättrige Endivie, ganzblättrige Endive, Zichorie)",Chicory / Wegwarten (chicory/Chicories,chicory_chicories,3301310200,0
645,Kichererbsen,Chickpeas,chickpeas,3301020200,0
646,Meerettich,horseradish,horseradish,3301210400,0
647,Schwarzwurzeln,Salsify,salsify,3301084000,0
648,"Fenchel (Gemüsefenchel, Körnerfenchel)",Fennel (vegetable fennel/Fennel (vegetables / grains),fennel,3301170000,0
649,"Gemüserübsen (Stoppelrübe, Weiße Rübe, Bayerische Rübe, Mairübe, Chinakohl, Pak-Choi, Teltower Rübchen, Stielmus, Herbstrübe)",Vegetable turnip (stubble turnip/Vegetable turnips,brassicaceae_cruciferae,3301210000,0
650,Küchenkräuter/Heil-und Gewürzpflanzen,Kitchen herbs / medicinal and aromatic plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0
651,"Dill, Gurkenkraut",Dill/Anethum (dill,anethum_dill,3301061203,0
652,"Kerbel (Kerbel/echter Kerbel, Wiesenkerbel)",Chervil (real chervil)/Chervil (also meadow chervil),chervil,3301061214,0
653,Anis,anise/Bibernels (aniseed),anise_aniseed,3301061205,0
654,Kümmel,Caraway seed/Caraway (real caraway),caraway,3301061211,0
655,Kreuzkümmel,cumin,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
656,"Schwarzkümmel (Echter Schwarzkümmel, Jungfer im Grünen)",Black cumin (real black cumin/Black cumin,black_cumin,3301061208,0
657,Koriander,coriander,coriander,3301061215,0
658,Liebstöckel/Maggikraut,Lovage / Maggi herb,lovage_maggiplant,3301061221,0
659,Petersilie,parsley/Petroselinum (parsley),parsley,3301061227,0
660,Basilikum,basil,basil,3301061207,0
661,Rosmarin,rosemary,rosemary,3301061230,0
662,"Salbei (Küchen-/Heilsalbei, Buntschopf-Salbei)",Sage,sage_chia,3301190000,0
663,Borretsch,Borage,borage,3301061209,0
664,"Oregano (Echter Majoran, Oregano/Dost/Wilder Majoran)",Oregano (real marjoram/Oregano (marjoram dost),oregano,3301061226,0
665,Bohnenkraut,Savory/Savory herbs,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
666,Ysop/Eisenkraut,Hyssop / Verbena,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
667,Verbenen (Echtes Eisenkraut),Verbena,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
668,"Lavendel (Echter Lavendel, Speik-Lavendel, Hybrid-Lavendel)",Lavender (real lavender/lavender,lavender_lavandula,3301061219,0
669,Thymian,thyme/Thyme (also garden thyme),thyme,3301061237,0
670,Melisse (Zitronenmelisse),Balm (lemon balm)/Melissa (lemon balm),lemon_balm_melissa,3301061220,0
671,Enzian,gentian/Gentians,gentians,3301082000,0
672,"Minzen (Pfefferminze, Grüne Minze)",Mints (peppermint/Mints (pepperm. Green m.),mints_peppermint,3301061222,0
673,"Wermut, Estragon, Beifuß",Artemisia (Wer. Estr. Beif.),artemisia,3301061206,0
674,Ringelblumen (Garten-Ringelblume),Marigolds (garden marigold)/Marigolds (garden r.),calendula_marigold,3301061210,0
675,"Sonnenhut (Schmalblättriger Sonnenhut, Purpur-Sonnenhut)",Sun hat (narrow purple),echinacea_sun_hat,3301081500,0
676,Wegerich (Spitzwegerich),Plantain (ribwort),other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
677,Kamillen (Echte Kamille),Chamomiles (real chamomile),chamomile,3301061213,0
678,Schafgarben (Gelbe Schafgarbe),Yarrow (yellow yarrow),yarrow,3301061239,0
679,Baldrian (Echter Baldrian),Valerian (real valerian),valerian,3301061238,0
680,Echtes Johanniskraut/Hyperikum,Real St. Johns wort / hypericum/St. John's Herbs (Genuine J.),st_johns_wort,3301061234,0
681,Frauenmantel,Lady's mantle,alchemilla_ladys_mantle,3301061202,0
682,Mariendisteln,Milk thistles/Marian thistles,marian_thistles,3301061300,0
683,Geißraute,goat's rue,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
684,Löwenzahn,dandelion,dandelions,3301081400,0
685,"Engelwurzen (Arznei-Engelwurz, Echter Engelwurz)",Angelica,angelica,3301061204,0
686,Malven (Wilde Malve),Mallow (Wild Mallow),other_flowers_ornamental_plants,3301089900,0
687,echte Arnika (Arnica montana),real arnica (Arnica montana),other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0
701,Hanf,Industrial hemp/hemp,hemp_cannabis,3301061000,0
702,"Rollrasen, Vegetationsmappen für Dachbegrünung",rolled turf/Turf,sod_turf,3301090207,0
703,Färber-Waid,Dyer's woad,isatis_tinctoria_woad,3301082400,0
704,Kanariensaat/Echtes Glanzgras,Glossy grass,canary_seed_canaryseed,3301011400,0
705,Virginischer Tabak,Virginian tobacco,tobacco,3301060100,0
706,"Mohn (Schlafmohn, Backmohn)",Poppy seeds,poppy,3301060600,0
707,Erdbeeren,Strawberries,strawberries,3301130000,0
708,Färberdisteln,Safflower,safflower,3301083900,0
709,Brennnesseln (Große Brennnessel),Nettles (great nettle)/Nettles (large nettles),nettles,3301061225,0
710,Färberkrapp (Rubia tinctorum),Common madder (Rubia tinctorum),rubia_tinctorum_common_madder,3301061231,0
720,Zierpflanzen,Ornamental plants (including flowers to pick yourself),flowers_ornamental_plants,3301080000,0
721,Goldlack,wallflower,other_flowers_ornamental_plants,3301089900,0
722,Einjähriges Silberblatt,Annual silver leaf,lunaria_honesty_silver,3301082700,0
723,Garten-/Sommerlevkoje,hoary stock,other_flowers_ornamental_plants,3301089900,0
724,Kugelamarant (Echter Kugelamarant),globe amaranth,other_flowers_ornamental_plants,3301089900,0
725,Taglilien (Essbare Taglilie),daylily,other_flowers_ornamental_plants,3301089900,0
726,Lilien (Türkenbund),Lilies (king lily/Lilies (turkish union),lilies,3301082500,0
727,Narzissen / Osterglocken,Daffodils / daffodils,narcissus_daffodil,3301083300,0
728,Bischofskraut,Cartilage carrots (bishop's herb),carrots_daucus,3301290300,0
729,Hasenohren (rundblättriges Hasenohr),thorow-wax,other_flowers_ornamental_plants,3301089900,0
730,Seidenpflanzen (Indianer-Seidenpflanze),Silk plants (Indian-S.),other_flowers_ornamental_plants,3301089900,0
731,Hyazinthe (Garten-Hyazinthe),hyacinth,other_flowers_ornamental_plants,3301089900,0
732,Milchstern,Milky Star (Cape Milky Star),milk_star,3301082900,0
733,Astern (Sommeraster),Asters,asters,3301080300,0
