Kilometres,Zone,Bonus,Make,Insured,Claims,Payment,Cluster
1,3,3,1,357.43,18,37835,0
1,3,3,2,62.87,3,5014,0
1,3,3,3,18.0,0,0,0
1,3,3,4,849.23,25,61591,0
1,3,3,5,119.21,6,47495,0
1,3,3,6,463.6,20,53173,0
1,3,3,7,104.36,6,11936,0
1,3,3,8,14.21,1,31442,0
1,3,3,9,6540.44,304,1284025,0
1,3,4,1,338.37,19,136281,0
1,3,4,2,52.49,2,9253,0
1,3,4,3,27.97,0,0,0
1,3,4,4,571.94,23,142536,0
1,3,4,5,113.36,6,21433,0
1,3,4,6,406.33,21,131027,0
1,3,4,7,85.15,3,4079,0
1,3,4,8,16.16,1,1012,0
1,3,4,9,5123.78,217,994540,0
1,3,5,1,459.4,16,61958,0
1,3,5,2,73.51,2,5056,0
1,3,5,3,41.51,4,44278,0
1,3,5,4,517.24,8,18455,0
1,3,5,5,136.08,8,28248,0
1,3,5,6,417.71,11,15568,0
1,3,5,7,103.07,1,8347,0
1,3,5,8,26.11,1,1144,0
1,3,5,9,5849.14,242,1184032,0
1,3,6,1,1060.28,43,245621,0
1,3,6,2,124.82,7,12648,0
1,3,6,3,119.17,2,5855,0
1,3,6,4,639.97,12,64278,0
1,3,6,5,307.56,14,90310,0
1,3,6,6,740.33,24,117763,0
1,3,6,7,233.83,7,20303,0
1,3,6,8,53.41,3,6221,0
1,3,6,9,10263.04,393,2026554,0
1,3,7,1,7155.96,197,980780,0
1,3,7,2,999.32,32,168854,0
1,3,7,3,1049.99,19,41459,0
1,3,7,4,3712.23,67,229231,0
1,3,7,5,1862.44,74,388511,0
1,3,7,6,4964.0,121,622350,0
1,3,7,7,1785.23,58,253660,0
1,3,7,8,331.45,8,94395,0
1,3,7,9,65617.47,1865,9884008,1
1,4,1,1,868.6,115,627513,0
1,4,1,2,122.54,10,113492,0
1,4,1,3,55.08,3,33925,0
1,4,1,4,2751.7,98,578698,0
1,4,1,5,328.36,36,149698,0
1,4,1,6,1730.51,105,604161,0
1,4,1,7,231.91,13,55103,0
1,4,1,8,48.77,4,34267,0
1,4,1,9,20153.28,1446,6605073,1
1,4,2,1,622.23,41,300510,0
1,4,2,2,94.03,5,11936,0
1,4,2,3,36.73,2,6387,0
1,4,2,4,2037.95,48,152944,0
1,4,2,5,189.27,17,40047,0
1,4,2,6,1217.01,65,344450,0
1,4,2,7,155.5,16,113524,0
1,4,2,8,27.27,0,0,0
1,4,2,9,14648.2,645,3150912,0
1,4,3,1,613.17,32,168882,0
1,4,3,2,108.4,5,43676,0
1,4,3,3,37.2,0,0,0
1,4,3,4,1447.58,25,66208,0
1,4,3,5,168.81,8,30465,0
1,4,3,6,933.44,40,374818,0
1,4,3,7,153.11,5,38157,0
1,4,3,8,32.44,2,8234,0
1,4,3,9,11314.54,427,2035982,0
1,4,4,1,573.86,29,214513,0
1,4,4,2,103.82,4,12077,0
1,4,4,3,49.14,2,12947,0
1,4,4,4,970.81,20,77705,0
1,4,4,5,135.49,6,16781,0
1,4,4,6,740.62,25,87155,0
1,4,4,7,123.63,3,11469,0
1,4,4,8,36.98,1,2572,0
1,4,4,9,8785.71,291,1189357,0
1,4,5,1,783.1,28,97770,0
1,4,5,2,127.17,7,21026,0
1,4,5,3,86.26,4,15583,0
1,4,5,4,886.11,16,71474,0
1,4,5,5,200.68,14,74804,0
1,4,5,6,825.58,16,76879,0
1,4,5,7,185.36,3,6085,0
1,4,5,8,53.05,1,6827,0
1,4,5,9,9849.89,324,1672294,0
1,4,6,1,1839.13,72,505590,0
1,4,6,2,298.73,5,16182,0
1,4,6,3,234.01,8,42369,0
1,4,6,4,1047.27,22,147524,0
1,4,6,5,481.63,16,70430,0
1,4,6,6,1317.07,34,162323,0
1,4,6,7,360.55,9,127814,0
1,4,6,8,90.61,7,80134,0
1,4,6,9,17332.9,535,2833885,0
1,4,7,1,15297.44,389,2505764,0
1,4,7,2,2085.44,65,296375,0
1,4,7,3,2140.94,38,253490,0
1,4,7,4,6923.74,100,435674,0
1,4,7,5,3721.62,115,641018,0
1,4,7,6,10409.88,194,1070372,0
1,4,7,7,3252.99,86,317119,0
1,4,7,8,768.54,23,160411,0
1,4,7,9,127687.27,2894,15540162,1
1,5,1,1,161.19,22,112479,0
1,5,1,2,15.53,2,1668,0
1,5,1,3,6.07,0,0,0
1,5,1,4,454.21,15,61507,0
1,5,1,5,69.38,13,83497,0
1,5,1,6,301.14,21,87734,0
1,5,1,7,47.82,6,51950,0
1,5,1,8,10.84,0,0,0
1,5,1,9,3645.26,407,1855941,0
1,5,2,1,132.69,7,27325,0
1,5,2,2,17.31,1,1554,0
1,5,2,3,4.2,0,0,0
1,5,2,4,324.26,10,22854,0
1,5,2,5,51.8,4,40692,0
1,5,2,6,218.84,12,88266,0
1,5,2,7,39.68,3,38808,0
1,5,2,8,12.15,1,1029,0
1,5,2,9,2694.25,174,616744,0
1,5,3,1,122.86,8,51943,0
1,5,3,2,21.15,0,0,0
1,5,3,3,5.15,0,0,0
1,5,3,4,240.23,6,13492,0
1,5,3,5,38.15,6,16170,0
1,5,3,6,173.78,4,17523,0
1,5,3,7,30.43,2,6421,0
1,5,3,8,4.82,1,31442,0
1,5,3,9,1993.33,117,481752,0
1,5,4,1,116.24,3,7229,0
1,5,4,2,16.48,1,1000,0
1,5,4,3,9.31,1,9867,0
1,5,4,4,160.66,8,22404,0
1,5,4,5,27.77,4,8119,0
1,5,4,6,145.54,8,33299,0
1,5,4,7,30.23,0,0,0
1,5,4,8,7.77,1,2700,0
1,5,4,9,1592.59,74,364037,0
1,5,5,1,185.95,11,53110,0
1,5,5,2,23.75,2,4900,0
1,5,5,3,15.57,0,0,0
1,5,5,4,140.66,2,4876,0
1,5,5,5,41.71,1,7056,0
1,5,5,6,141.81,2,3200,0
1,5,5,7,44.08,3,64516,0
1,5,5,8,9.68,0,0,0
1,5,5,9,1752.09,86,299385,0
1,5,6,1,394.91,9,25994,0
1,5,6,2,55.35,3,7232,0
1,5,6,3,40.03,1,1373,0
1,5,6,4,177.67,4,6211,0
1,5,6,5,92.95,7,21706,0
1,5,6,6,244.32,8,41753,0
1,5,6,7,92.99,5,6674,0
1,5,6,8,22.62,2,1522,0
1,5,6,9,3251.89,165,774028,0
1,5,7,1,2257.49,80,452280,0
1,5,7,2,284.44,7,45614,0
1,5,7,3,300.78,9,55124,0
1,5,7,4,946.25,19,68243,0
1,5,7,5,583.99,18,113925,0
1,5,7,6,1332.39,38,138432,0
1,5,7,7,541.88,13,93691,0
1,5,7,8,125.14,5,46879,0
1,5,7,9,17722.19,589,2700050,0
1,6,1,1,340.1,31,75947,0
1,6,1,2,38.25,3,5658,0
1,6,1,3,16.23,0,0,0
1,6,1,4,767.66,30,187167,0
1,6,1,5,134.82,31,164961,0
1,6,1,6,585.23,44,309679,0
1,6,1,7,80.16,7,8237,0
1,6,1,8,29.87,4,35088,0
1,6,1,9,6744.61,542,2708623,0
1,6,2,1,233.67,20,159609,0
1,6,2,2,33.6,2,5403,0
1,6,2,3,14.01,0,0,0
1,6,2,4,563.21,7,12459,0
1,6,2,5,84.85,10,55348,0
1,6,2,6,436.38,14,72563,0
1,6,2,7,63.25,3,63976,0
1,6,2,8,13.61,0,0,0
1,6,2,9,4721.76,227,970016,0
1,6,3,1,230.77,10,97153,0
1,6,3,2,37.88,1,789,0
1,6,3,3,14.41,0,0,0
1,6,3,4,386.7,10,57758,0
1,6,3,5,76.88,5,14166,0
1,6,3,6,294.37,15,106215,0
1,6,3,7,57.46,3,41564,0
1,6,3,8,12.76,0,0,0
1,6,3,9,3558.48,131,785697,0
1,6,4,1,186.52,12,81889,0
1,6,4,2,31.99,3,2985,0
1,6,4,3,15.77,0,0,0
1,6,4,4,283.49,6,73962,0
1,6,4,5,57.53,5,20515,0
1,6,4,6,219.19,5,14794,0
1,6,4,7,45.35,4,38560,0
1,6,4,8,24.46,2,3138,0
1,6,4,9,2708.07,99,517218,0
1,6,5,1,253.84,20,105565,0
1,6,5,2,47.01,2,5207,0
1,6,5,3,28.29,0,0,0
1,6,5,4,259.21,1,31442,0
1,6,5,5,72.82,1,1742,0
1,6,5,6,252.17,8,74154,0
1,6,5,7,64.53,3,8546,0
1,6,5,8,22.19,1,2198,0
1,6,5,9,2936.87,87,641508,0
1,6,6,1,560.62,17,107765,0
1,6,6,2,88.23,0,0,0
1,6,6,3,55.88,3,4731,0
1,6,6,4,274.15,3,10929,0
1,6,6,5,186.0,9,16980,0
1,6,6,6,424.38,12,62560,0
1,6,6,7,141.38,4,39806,0
1,6,6,8,60.89,3,4512,0
1,6,6,9,5248.1,187,1066083,0
1,6,7,1,4492.77,136,727249,0
1,6,7,2,606.55,16,114290,0
1,6,7,3,561.04,21,128950,0
1,6,7,4,1799.95,29,191942,0
1,6,7,5,1203.92,48,118462,0
1,6,7,6,2874.45,70,422565,0
1,6,7,7,914.58,27,208821,0
1,6,7,8,347.4,15,131927,0
1,6,7,9,34969.21,886,5181284,1
1,7,1,1,23.96,4,9848,0
1,7,1,2,4.05,0,0,0
1,7,1,4,92.39,5,4642,0
1,7,1,5,7.36,0,0,0
1,7,1,6,29.72,0,0,0
1,7,1,7,4.29,1,1504,0
1,7,1,8,1.04,0,0,0
1,7,1,9,560.17,38,108198,0
1,7,2,1,20.83,1,2772,0
1,7,2,2,3.41,0,0,0
1,7,2,3,0.23,0,0,0
1,7,2,4,48.63,1,1980,0
1,7,2,5,2.1,0,0,0
1,7,2,6,20.84,5,12647,0
1,7,2,7,2.22,0,0,0
1,7,2,8,0.47,0,0,0
1,7,2,9,413.54,19,45789,0
1,7,3,1,17.42,0,0,0
1,7,3,2,2.38,0,0,0
1,7,3,3,0.5,0,0,0
1,7,3,4,46.18,1,756,0
1,7,3,5,3.31,0,0,0
1,7,3,6,13.92,1,2199,0
1,7,3,7,3.7,0,0,0
1,7,3,8,0.3,0,0,0
1,7,3,9,285.04,7,15229,0
1,7,4,1,13.24,0,0,0
1,7,4,2,2.31,1,5000,0
1,7,4,3,0.8,0,0,0
1,7,4,4,27.66,0,0,0
1,7,4,5,4.74,0,0,0
1,7,4,6,11.37,0,0,0
1,7,4,7,2.64,0,0,0
1,7,4,9,225.35,5,9681,0
1,7,5,1,19.87,0,0,0
1,7,5,2,5.74,1,3900,0
1,7,5,3,1.69,0,0,0
1,7,5,4,29.05,1,2913,0
1,7,5,5,3.59,0,0,0
1,7,5,6,14.42,1,3174,0
1,7,5,7,2.42,0,0,0
1,7,5,8,0.9,0,0,0
1,7,5,9,278.75,13,31522,0
1,7,6,1,41.17,1,3325,0
1,7,6,2,7.55,2,7963,0
1,7,6,3,1.56,0,0,0
1,7,6,4,36.23,1,1327,0
1,7,6,5,9.82,0,0,0
1,7,6,6,21.9,0,0,0
1,7,6,7,6.58,0,0,0
1,7,6,8,0.1,0,0,0
1,7,6,9,456.61,15,103527,0
1,7,7,1,294.57,3,8171,0
1,7,7,2,50.12,1,1510,0
1,7,7,3,26.06,0,0,0
1,7,7,4,216.41,4,65435,0
1,7,7,5,60.68,0,0,0
1,7,7,6,208.35,5,74182,0
1,7,7,7,46.47,0,0,0
1,7,7,8,9.5,0,0,0
1,7,7,9,3315.16,77,340189,0
2,1,1,1,638.51,148,578831,0
2,1,1,2,94.77,29,137355,0
2,1,1,3,126.87,29,137680,0
2,1,1,4,398.58,55,162678,0
2,1,1,5,167.88,41,73435,0
2,1,1,6,354.26,48,166416,0
2,1,1,7,95.57,11,21295,0
2,1,1,8,25.93,5,2059,0
2,1,1,9,6792.88,1410,6556534,1
2,1,2,1,605.01,86,484085,0
2,1,2,2,96.42,12,93305,0
2,1,2,3,94.57,12,62554,0
2,1,2,4,319.2,20,43734,0
2,1,2,5,152.42,24,109785,0
2,1,2,6,349.2,27,92572,0
2,1,2,7,94.39,8,76099,0
2,1,2,8,16.52,3,39939,0
2,1,2,9,5941.02,722,3249461,0
2,1,3,1,599.51,78,450864,0
2,1,3,2,121.49,17,142141,0
2,1,3,3,91.96,13,93038,0
2,1,3,4,234.48,13,65170,0
2,1,3,5,134.82,19,111059,0
2,1,3,6,318.69,21,162284,0
2,1,3,7,88.04,11,30153,0
2,1,3,8,22.47,5,47551,0
2,1,3,9,5162.92,484,2522341,0
2,1,4,1,597.21,55,213704,0
2,1,4,2,129.44,7,47589,0
2,1,4,3,94.8,9,47251,0
2,1,4,4,182.93,12,59369,0
2,1,4,5,111.64,11,20942,0
2,1,4,6,263.94,9,44772,0
2,1,4,7,107.37,9,61695,0
2,1,4,8,23.1,3,40634,0
2,1,4,9,4712.87,407,1631427,0
2,1,5,1,779.53,55,232521,0
2,1,5,2,157.99,13,31952,0
2,1,5,3,137.19,6,50067,0
2,1,5,4,156.34,11,18221,0
2,1,5,5,149.71,15,32164,0
2,1,5,6,295.12,13,59509,0
2,1,5,7,132.79,8,55603,0
2,1,5,8,29.02,2,2802,0
2,1,5,9,5373.06,363,1597528,0
2,1,6,1,1557.98,107,435444,0
2,1,6,2,329.74,29,133272,0
2,1,6,3,320.71,13,150031,0
2,1,6,4,210.91,4,15193,0
2,1,6,5,336.02,30,194477,0
2,1,6,6,576.63,24,137963,0
2,1,6,7,269.81,9,87411,0
2,1,6,8,56.96,9,144950,0
2,1,6,9,9805.53,618,2918359,0
2,1,7,1,8009.92,390,1992027,0
2,1,7,2,1407.85,67,332194,0
2,1,7,3,1538.74,49,397236,0
2,1,7,4,806.0,31,209824,0
2,1,7,5,1380.85,83,398103,0
2,1,7,6,2848.53,111,493340,0
2,1,7,7,1496.62,74,282000,0
2,1,7,8,267.8,14,95457,0
2,1,7,9,44511.41,2127,10315455,1
2,2,1,1,679.46,113,582788,0
2,2,1,2,98.43,22,91135,0
2,2,1,3,60.48,11,90425,0
2,2,1,4,434.05,45,153794,0
2,2,1,5,211.77,34,255298,0
2,2,1,6,516.01,51,253258,0
2,2,1,7,118.76,16,69025,0
2,2,1,8,25.01,5,7797,0
2,2,1,9,7185.14,1157,5121951,1
2,2,2,1,638.08,83,350944,0
2,2,2,2,117.12,19,141774,0
2,2,2,3,52.69,11,58588,0
2,2,2,4,408.69,22,136288,0
2,2,2,5,168.09,33,150740,0
2,2,2,6,523.36,22,100822,0
2,2,2,7,141.28,15,57916,0
2,2,2,8,25.84,5,42167,0
2,2,2,9,6506.72,559,2457197,0
2,2,3,1,687.29,60,382872,0
2,2,3,2,111.63,11,55353,0
2,2,3,3,68.91,5,7480,0
2,2,3,4,294.06,14,88500,0
2,2,3,5,154.39,20,42607,0
2,2,3,6,446.83,25,116227,0
2,2,3,7,139.62,9,18627,0
2,2,3,8,28.91,2,4521,0
2,2,3,9,5783.55,453,1907609,0
2,2,4,1,661.35,50,257851,0
2,2,4,2,139.58,15,29492,0
2,2,4,3,67.99,3,4835,0
2,2,4,4,198.46,6,11144,0
2,2,4,5,151.85,10,18943,0
2,2,4,6,390.18,15,37755,0
2,2,4,7,120.11,9,55231,0
2,2,4,8,33.1,1,1878,0
2,2,4,9,5316.84,344,1682243,0
2,2,5,1,848.62,70,265184,0
2,2,5,2,204.12,19,116076,0
2,2,5,3,129.16,6,20054,0
2,2,5,4,149.52,7,40010,0
2,2,5,5,214.27,14,21497,0
2,2,5,6,431.35,18,89520,0
2,2,5,7,176.7,10,25944,0
2,2,5,8,50.75,3,10388,0
2,2,5,9,6273.26,344,1437097,0
2,2,6,1,1741.3,99,502889,0
2,2,6,2,358.55,22,108381,0
2,2,6,3,286.92,14,49960,0
2,2,6,4,192.9,7,11847,0
2,2,6,5,398.56,21,135284,0
2,2,6,6,710.28,32,75776,0
2,2,6,7,356.8,12,25779,0
2,2,6,8,103.3,9,27406,0
2,2,6,9,11001.9,622,3029300,0
2,2,7,1,9358.84,359,2466406,0
2,2,7,2,2021.95,107,520377,0
2,2,7,3,1795.27,53,328548,0
2,2,7,4,859.65,23,95241,0
2,2,7,5,1856.01,77,323882,0
2,2,7,6,3817.88,96,503384,0
2,2,7,7,2125.92,91,463818,0
2,2,7,8,407.26,10,89166,0
2,2,7,9,54421.4,2087,9950131,1
2,3,1,1,703.88,120,547349,0
2,3,1,2,88.45,10,20304,0
2,3,1,3,39.68,3,5422,0
2,3,1,4,461.44,33,121470,0
2,3,1,5,209.99,53,234736,0
2,3,1,6,633.85,52,241224,0
2,3,1,7,142.0,14,68256,0
2,3,1,8,23.45,2,8396,0
2,3,1,9,7304.73,1003,4387841,0
2,3,2,1,700.59,74,286946,0
2,3,2,2,96.84,7,20675,0
2,3,2,3,44.37,1,31442,0
2,3,2,4,422.88,17,14982,0
2,3,2,5,177.47,27,154791,0
2,3,2,6,669.34,42,114629,0
2,3,2,7,151.12,17,36169,0
2,3,2,8,27.39,1,31442,0
2,3,2,9,6988.9,556,2634269,0
2,3,3,1,724.49,49,189534,0
2,3,3,2,121.33,9,32584,0
2,3,3,3,55.59,0,0,0
2,3,3,4,275.9,7,40454,0
2,3,3,5,162.92,17,33909,0
2,3,3,6,576.1,21,55806,0
2,3,3,7,140.05,13,76834,0
2,3,3,8,36.78,0,0,0
2,3,3,9,6034.63,404,2107152,0
2,3,4,1,679.01,38,197187,0
2,3,4,2,119.96,13,62674,0
2,3,4,3,69.04,2,2597,0
2,3,4,4,173.48,11,46956,0
2,3,4,5,155.48,8,45486,0
2,3,4,6,468.53,19,75634,0
2,3,4,7,147.89,9,84248,0
2,3,4,8,41.4,4,35685,0
2,3,4,9,5496.81,323,1473149,0
2,3,5,1,946.01,50,199324,0
2,3,5,2,172.42,12,27067,0
2,3,5,3,104.52,4,34911,0
2,3,5,4,188.53,4,33175,0
2,3,5,5,209.61,9,81779,0
2,3,5,6,515.69,17,77953,0
2,3,5,7,189.16,10,21942,0
2,3,5,8,55.8,6,23456,0
2,3,5,9,6442.14,324,1506141,0
2,3,6,1,1702.76,86,491502,0
2,3,6,2,332.17,10,21654,0
2,3,6,3,306.21,11,72861,0
2,3,6,4,193.65,6,11444,0
2,3,6,5,452.37,30,201310,0
2,3,6,6,834.26,38,182641,0
2,3,6,7,367.0,17,76297,0
2,3,6,8,126.83,8,27834,0
2,3,6,9,10730.07,492,2038707,0
2,3,7,1,10469.92,325,1401833,0
2,3,7,2,2071.24,68,353788,0
2,3,7,3,2180.19,59,324185,0
2,3,7,4,917.17,19,73569,0
2,3,7,5,2435.19,86,468488,0
2,3,7,6,4857.97,121,605098,0
2,3,7,7,2416.4,83,349608,0
2,3,7,8,704.42,22,134382,0
2,3,7,9,60140.2,2044,10518198,1
2,4,1,1,1493.99,226,1107859,0
2,4,1,2,131.48,14,103393,0
2,4,1,3,88.79,8,112948,0
2,4,1,4,774.1,39,121494,0
2,4,1,5,372.41,66,369471,0
2,4,1,6,1295.44,109,492597,0
2,4,1,7,240.77,23,51380,0
2,4,1,8,44.59,8,20312,0
2,4,1,9,13502.14,1442,7243260,1
2,4,2,1,1402.82,119,614064,0
2,4,2,2,157.16,13,37643,0
2,4,2,3,87.93,4,16203,0
2,4,2,4,727.28,35,212362,0
2,4,2,5,317.39,38,204612,0
2,4,2,6,1299.16,65,566535,0
2,4,2,7,250.94,18,128549,0
2,4,2,8,52.96,5,35588,0
2,4,2,9,12692.5,849,4327298,0
2,4,3,1,1388.66,99,691234,0
2,4,3,2,177.33,5,45982,0
2,4,3,3,107.04,4,14953,0
2,4,3,4,497.4,15,38416,0
2,4,3,5,280.1,23,235331,0
2,4,3,6,1084.19,46,166621,0
2,4,3,7,246.24,10,35221,0
2,4,3,8,61.36,6,83511,0
2,4,3,9,10957.97,580,3353774,0
2,4,4,1,1335.57,82,358249,0
2,4,4,2,229.51,8,18246,0
2,4,4,3,126.18,2,1916,0
2,4,4,4,364.11,11,34707,0
2,4,4,5,318.83,12,40334,0
2,4,4,6,873.94,33,170727,0
2,4,4,7,241.3,12,86801,0
2,4,4,8,76.9,4,19358,0
2,4,4,9,9689.88,445,2107274,0
2,4,5,1,1685.23,82,547932,0
2,4,5,2,323.48,15,38665,0
2,4,5,3,223.59,5,16820,0
2,4,5,4,349.22,3,6779,0
2,4,5,5,390.21,15,161309,0
2,4,5,6,986.77,31,230920,0
2,4,5,7,329.99,8,51133,0
2,4,5,8,115.65,5,25988,0
2,4,5,9,10932.73,441,2172831,0
2,4,6,1,3057.73,116,579356,0
2,4,6,2,665.09,29,142262,0
2,4,6,3,570.12,18,110476,0
2,4,6,4,347.66,10,62709,0
2,4,6,5,722.62,37,134350,0
2,4,6,6,1508.43,41,206813,0
2,4,6,7,656.37,17,45923,0
2,4,6,8,259.31,13,74790,0
2,4,6,9,19012.21,728,3816718,0
2,4,7,1,21848.06,605,3502535,0
2,4,7,2,4430.43,153,836130,0
2,4,7,3,4695.14,91,528367,0
2,4,7,4,1818.17,33,101358,0
2,4,7,5,4808.39,127,850044,0
2,4,7,6,10510.83,242,1174270,0
2,4,7,7,4635.35,135,697806,0
2,4,7,8,1853.07,49,319803,0
2,4,7,9,121293.07,3338,18245026,1
2,5,1,1,217.27,47,161646,0
2,5,1,2,24.81,1,4656,0
2,5,1,3,14.58,1,2810,0
2,5,1,4,96.11,4,43315,0
2,5,1,5,58.14,13,32595,0
2,5,1,6,182.69,15,61055,0
2,5,1,7,40.3,5,35437,0
2,5,1,8,5.82,2,6656,0
2,5,1,9,1933.36,250,1001018,0
2,5,2,1,211.17,20,113635,0
2,5,2,2,27.01,5,39053,0
2,5,2,3,11.46,0,0,0
2,5,2,4,89.19,4,23893,0
2,5,2,5,58.24,10,24691,0
2,5,2,6,208.24,12,29123,0
2,5,2,7,56.58,2,1758,0
2,5,2,8,8.09,1,4834,0
2,5,2,9,1976.19,176,1044585,0
2,5,3,1,231.22,23,64911,0
2,5,3,2,32.05,1,2536,0
2,5,3,3,14.51,2,1453,0
2,5,3,4,56.66,3,5473,0
2,5,3,5,48.09,7,8258,0
2,5,3,6,175.31,7,16559,0
2,5,3,7,46.96,4,7541,0
2,5,3,8,12.26,0,0,0
2,5,3,9,1710.73,101,352227,0
2,5,4,1,229.87,16,70312,0
2,5,4,2,30.72,1,963,0
2,5,4,3,17.05,1,2320,0
2,5,4,4,35.98,1,2762,0
2,5,4,5,51.82,4,37247,0
