Month,pounds per cow,Year,Cluster,Text,NLP_Cluster
2,667,1967,0,year 1967 month 2 milk production 667,2
3,762,1967,0,year 1967 month 3 milk production 762,2
4,784,1967,0,year 1967 month 4 milk production 784,2
5,837,1967,1,year 1967 month 5 milk production 837,2
6,817,1967,1,year 1967 month 6 milk production 817,2
7,767,1967,0,year 1967 month 7 milk production 767,2
8,722,1967,2,year 1967 month 8 milk production 722,2
9,681,1967,2,year 1967 month 9 milk production 681,2
10,687,1967,2,year 1967 month 10 milk production 687,2
11,660,1967,2,year 1967 month 11 milk production 660,2
12,698,1967,2,year 1967 month 12 milk production 698,2
1,717,1968,0,year 1968 month 1 milk production 717,2
2,696,1968,0,year 1968 month 2 milk production 696,2
3,775,1968,0,year 1968 month 3 milk production 775,2
4,796,1968,0,year 1968 month 4 milk production 796,2
5,858,1968,1,year 1968 month 5 milk production 858,2
6,826,1968,1,year 1968 month 6 milk production 826,2
7,783,1968,1,year 1968 month 7 milk production 783,2
8,740,1968,2,year 1968 month 8 milk production 740,2
9,701,1968,2,year 1968 month 9 milk production 701,2
10,706,1968,2,year 1968 month 10 milk production 706,2
11,677,1968,2,year 1968 month 11 milk production 677,2
12,711,1968,2,year 1968 month 12 milk production 711,2
1,734,1969,0,year 1969 month 1 milk production 734,2
2,690,1969,0,year 1969 month 2 milk production 690,2
3,785,1969,0,year 1969 month 3 milk production 785,2
4,805,1969,1,year 1969 month 4 milk production 805,2
5,871,1969,1,year 1969 month 5 milk production 871,2
6,845,1969,1,year 1969 month 6 milk production 845,2
7,801,1969,1,year 1969 month 7 milk production 801,2
8,764,1969,1,year 1969 month 8 milk production 764,2
9,725,1969,2,year 1969 month 9 milk production 725,2
10,723,1969,2,year 1969 month 10 milk production 723,2
11,690,1969,2,year 1969 month 11 milk production 690,2
12,734,1969,2,year 1969 month 12 milk production 734,2
1,750,1970,0,year 1970 month 1 milk production 750,0
2,707,1970,0,year 1970 month 2 milk production 707,0
3,807,1970,1,year 1970 month 3 milk production 807,0
4,824,1970,1,year 1970 month 4 milk production 824,0
5,886,1970,1,year 1970 month 5 milk production 886,0
6,859,1970,1,year 1970 month 6 milk production 859,0
7,819,1970,1,year 1970 month 7 milk production 819,0
8,783,1970,1,year 1970 month 8 milk production 783,0
9,740,1970,1,year 1970 month 9 milk production 740,0
10,747,1970,2,year 1970 month 10 milk production 747,0
11,711,1970,2,year 1970 month 11 milk production 711,0
12,751,1970,2,year 1970 month 12 milk production 751,0
1,804,1971,1,year 1971 month 1 milk production 804,2
2,756,1971,0,year 1971 month 2 milk production 756,2
3,860,1971,1,year 1971 month 3 milk production 860,2
4,878,1971,1,year 1971 month 4 milk production 878,2
5,942,1971,1,year 1971 month 5 milk production 942,2
6,913,1971,1,year 1971 month 6 milk production 913,2
7,869,1971,1,year 1971 month 7 milk production 869,2
8,834,1971,1,year 1971 month 8 milk production 834,2
9,790,1971,1,year 1971 month 9 milk production 790,2
10,800,1971,1,year 1971 month 10 milk production 800,2
11,763,1971,1,year 1971 month 11 milk production 763,2
12,800,1971,1,year 1971 month 12 milk production 800,2
1,826,1972,1,year 1972 month 1 milk production 826,2
2,799,1972,1,year 1972 month 2 milk production 799,2
3,890,1972,1,year 1972 month 3 milk production 890,2
4,900,1972,1,year 1972 month 4 milk production 900,2
5,961,1972,1,year 1972 month 5 milk production 961,2
6,935,1972,1,year 1972 month 6 milk production 935,2
7,894,1972,1,year 1972 month 7 milk production 894,2
8,855,1972,1,year 1972 month 8 milk production 855,2
9,809,1972,1,year 1972 month 9 milk production 809,2
10,810,1972,1,year 1972 month 10 milk production 810,2
11,766,1972,1,year 1972 month 11 milk production 766,2
12,805,1972,1,year 1972 month 12 milk production 805,2
1,821,1973,1,year 1973 month 1 milk production 821,2
2,773,1973,1,year 1973 month 2 milk production 773,2
3,883,1973,1,year 1973 month 3 milk production 883,2
4,898,1973,1,year 1973 month 4 milk production 898,2
5,957,1973,1,year 1973 month 5 milk production 957,2
6,924,1973,1,year 1973 month 6 milk production 924,2
7,881,1973,1,year 1973 month 7 milk production 881,2
8,837,1973,1,year 1973 month 8 milk production 837,2
9,784,1973,1,year 1973 month 9 milk production 784,2
10,791,1973,1,year 1973 month 10 milk production 791,2
11,760,1973,1,year 1973 month 11 milk production 760,2
12,802,1973,1,year 1973 month 12 milk production 802,2
1,828,1974,1,year 1974 month 1 milk production 828,2
2,778,1974,1,year 1974 month 2 milk production 778,2
3,889,1974,1,year 1974 month 3 milk production 889,2
4,902,1974,1,year 1974 month 4 milk production 902,2
5,969,1974,1,year 1974 month 5 milk production 969,2
6,947,1974,1,year 1974 month 6 milk production 947,2
7,908,1974,1,year 1974 month 7 milk production 908,2
8,867,1974,1,year 1974 month 8 milk production 867,2
9,815,1974,1,year 1974 month 9 milk production 815,2
10,812,1974,1,year 1974 month 10 milk production 812,2
11,773,1974,1,year 1974 month 11 milk production 773,2
12,813,1974,1,year 1974 month 12 milk production 813,2
1,834,1975,1,year 1975 month 1 milk production 834,2
2,782,1975,1,year 1975 month 2 milk production 782,2
3,892,1975,1,year 1975 month 3 milk production 892,2
4,903,1975,1,year 1975 month 4 milk production 903,2
5,966,1975,1,year 1975 month 5 milk production 966,2
6,937,1975,1,year 1975 month 6 milk production 937,2
7,896,1975,1,year 1975 month 7 milk production 896,2
8,858,1975,1,year 1975 month 8 milk production 858,2
9,817,1975,1,year 1975 month 9 milk production 817,2
10,827,1975,1,year 1975 month 10 milk production 827,2
11,797,1975,1,year 1975 month 11 milk production 797,2
12,843,1975,1,year 1975 month 12 milk production 843,2
