Name EN,Name CN,text,Cluster
Hu PGA Tour - PowerGolf 2 - Golfer (Japan),胡PGA巡回赛 - 强力高尔夫 2,Hu PGA Tour - PowerGolf 2 - Golfer (Japan) 胡PGA巡回赛 - 强力高尔夫 2,2
Bakushou Yoshimoto Shinkigeki (Japan) (FABT),爆笑吉本新喜剧,Bakushou Yoshimoto Shinkigeki (Japan) (FABT) 爆笑吉本新喜剧,2
SimEarth - The Living Planet (Japan),模拟地球,SimEarth - The Living Planet (Japan) 模拟地球,2
Dragon Slayer - The Legend of Heroes II (Japan),英雄传说 2,Dragon Slayer - The Legend of Heroes II (Japan) 英雄传说 2,2
Dragon Slayer - The Legend of Heroes (Japan),英雄传说,Dragon Slayer - The Legend of Heroes (Japan) 英雄传说,2
"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者,"Atlas, The - Renaissance Voyager (Japan) 佛罗伦斯航海者",2
Bishoujo Senshi Sailor Moon Collection (Japan),美少女战士合集,Bishoujo Senshi Sailor Moon Collection (Japan) 美少女战士合集,0
Mateki Densetsu Astralius (Japan),魔笛伝说,Mateki Densetsu Astralius (Japan) 魔笛伝说,2
No-Ri-Ko (Japan),小川范子,No-Ri-Ko (Japan) 小川范子,2
Quiz Marugoto the World 2 - Time Machine ni Onegai! (Japan),Marugoto世界问答 2,Quiz Marugoto the World 2 - Time Machine ni Onegai! (Japan) Marugoto世界问答 2,2
Tokimeki Memorial (Japan),心跳回忆,Tokimeki Memorial (Japan) 心跳回忆,4
Mahjong Vanilla Syndrome (Japan) (Alt),美少女麻将,Mahjong Vanilla Syndrome (Japan) (Alt) 美少女麻将,2
Prince of Persia (Japan),波斯王子,Prince of Persia (Japan) 波斯王子,2
Forgotten Worlds (Japan),失落的世界,Forgotten Worlds (Japan) 失落的世界,2
Lords of Thunder (USA),雷霆之王,Lords of Thunder (USA) 雷霆之王,2
Golden Axe (Japan),战斧,Golden Axe (Japan) 战斧,2
A.III. - A Ressha de Ikou III (Japan),A列车 3,A.III. - A Ressha de Ikou III (Japan) A列车 3,2
Road Spirits (Japan),道路精灵,Road Spirits (Japan) 道路精灵,2
Dungeon Master - Theron's Quest (USA),地牢大师 - 塞隆之旅,Dungeon Master - Theron's Quest (USA) 地牢大师 - 塞隆之旅,2
Bishoujo Senshi Sailor Moon (Japan),美少女战士,Bishoujo Senshi Sailor Moon (Japan) 美少女战士,0
1552 Tenka Tairan (Japan),1552天下大乱,1552 Tenka Tairan (Japan) 1552天下大乱,2
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT),阿尔拉姆的獠牙 - 獣族十二神徒伝说,Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT) 阿尔拉姆的獠牙 - 獣族十二神徒伝说,3
CAL II (Japan) (Alt),CAL 2,CAL II (Japan) (Alt) CAL 2,2
Cosmic Fantasy - Bouken Shounen Yuu (Japan),宇宙幻想 - 冒险少年尤,Cosmic Fantasy - Bouken Shounen Yuu (Japan) 宇宙幻想 - 冒险少年尤,2
"Davis Cup Tennis, The (Japan)",戴维斯杯网球赛,"Davis Cup Tennis, The (Japan) 戴维斯杯网球赛",2
Avenger (Japan),复仇者,Avenger (Japan) 复仇者,2
R-Type Complete CD (Japan),异形战机 完整版,R-Type Complete CD (Japan) 异形战机 完整版,2
Psychic Storm (Japan),心灵风暴,Psychic Storm (Japan) 心灵风暴,2
Rayxanber II (Japan),重装雷克斯 2,Rayxanber II (Japan) 重装雷克斯 2,2
Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan),自我中心派麻将 - 激斗36雀士,Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) 自我中心派麻将 - 激斗36雀士,2
Pachio-kun - Maboroshi no Densetsu (Japan) (Rev 7),柏青哥君 - 幻的传说,Pachio-kun - Maboroshi no Densetsu (Japan) (Rev 7) 柏青哥君 - 幻的传说,4
Pachio-kun - Warau Uchuu (Japan),柏青哥君 - 笑着的宇宙,Pachio-kun - Warau Uchuu (Japan) 柏青哥君 - 笑着的宇宙,2
Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 6),天外魔境 - 自来也,Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 6) 天外魔境 - 自来也,4
Battle Shanghai - Dragon's Eye (Japan),上海 3 - 龙之眼,Battle Shanghai - Dragon's Eye (Japan) 上海 3 - 龙之眼,2
Human Sports Festival (Japan),运动大集合,Human Sports Festival (Japan) 运动大集合,2
Psychic Detective Series Vol. 3 - Aya (Japan),通灵侦探系列第三卷 - 阿雅,Psychic Detective Series Vol. 3 - Aya (Japan) 通灵侦探系列第三卷 - 阿雅,2
Super CD-ROM^2 Taiken Soft Shuu (Japan),,Super CD-ROM^2 Taiken Soft Shuu (Japan) ,1
YaWaRa! A Fashionable Judo Girl! (Japan),以柔克刚 时尚柔道女孩,YaWaRa! A Fashionable Judo Girl! (Japan) 以柔克刚 时尚柔道女孩,2
Ys IV - The Dawn of Ys (Japan) (Rev 3),伊苏 4 - 伊苏国的黎明,Ys IV - The Dawn of Ys (Japan) (Rev 3) 伊苏 4 - 伊苏国的黎明,4
Super Mahjong Taikai (Japan),超级麻将大会,Super Mahjong Taikai (Japan) 超级麻将大会,2
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan),天外魔境 - 风云歌舞伎传,Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan) 天外魔境 - 风云歌舞伎传,2
"Pro Yakyuu Super, The (Japan) (FABT)",超级职业棒球,"Pro Yakyuu Super, The (Japan) (FABT) 超级职业棒球",2
Ys I & II (Japan),伊苏 1 + 2,Ys I & II (Japan) 伊苏 1 + 2,2
Space Adventure Cobra - Kokuryuuou no Densetsu (Japan),哥普拉 - 黑龙王的传说,Space Adventure Cobra - Kokuryuuou no Densetsu (Japan) 哥普拉 - 黑龙王的传说,2
Tenshi no Uta (Japan),天使之诗,Tenshi no Uta (Japan) 天使之诗,2
Tenshi no Uta II - Datenshi no Sentaku (Japan),天使之诗 2 - 坠天使的选择,Tenshi no Uta II - Datenshi no Sentaku (Japan) 天使之诗 2 - 坠天使的选择,2
Faerie Dust Story - Meikyuu no Elfeene (Japan),迷宫的精灵,Faerie Dust Story - Meikyuu no Elfeene (Japan) 迷宫的精灵,2
Quiz Marugoto the World (Japan) (Rev 7),Marugoto世界问答,Quiz Marugoto the World (Japan) (Rev 7) Marugoto世界问答,4
IQ Panic (Japan),智商恐慌,IQ Panic (Japan) 智商恐慌,2
Super Daisenryaku (Japan),超级大战略,Super Daisenryaku (Japan) 超级大战略,2
Magicoal (Japan),魔力酷,Magicoal (Japan) 魔力酷,2
"Manhole, The (Japan)",井盖,"Manhole, The (Japan) 井盖",2
Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan),雀侦物语 2 - 宇宙侦探帝凡 出动编,Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan) 雀侦物语 2 - 宇宙侦探帝凡 出动编,2
Valis II (Japan),梦幻战士 2,Valis II (Japan) 梦幻战士 2,2
"Sugoroku, The '92 - Nari Tore - Nariagari Trendy (Japan)",快速锻炼 92,"Sugoroku, The '92 - Nari Tore - Nariagari Trendy (Japan) 快速锻炼 92",2
Exile - Toki no Hasama e (Japan),流放 - 时之狭间,Exile - Toki no Hasama e (Japan) 流放 - 时之狭间,2
Fighting Street (Japan) (Rev 5),快打旋风,Fighting Street (Japan) (Rev 5) 快打旋风,4
Black Hole Assault (Japan),黑洞救援,Black Hole Assault (Japan) 黑洞救援,2
J.League Tremendous Soccer '94 (Japan),J联盟足球 '94,J.League Tremendous Soccer '94 (Japan) J联盟足球 '94,2
Akumajou Dracula X - Chi no Rondo (Japan),恶魔城 X - 血之轮回,Akumajou Dracula X - Chi no Rondo (Japan) 恶魔城 X - 血之轮回,2
Sotsugyou Shashin - Miki (Japan),卒业写真,Sotsugyou Shashin - Miki (Japan) 卒业写真,2
Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan),光荣归于你 - 高中棒球全国大会,Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan) 光荣归于你 - 高中棒球全国大会,2
Ginga Ojousama Densetsu Yuna (Japan) (FAFT),银河大小姐传说,Ginga Ojousama Densetsu Yuna (Japan) (FAFT) 银河大小姐传说,3
Ginga Ojousama Densetsu Yuna HuVIDEO CD (Japan),银河大小姐传说 HuVIDEO CD,Ginga Ojousama Densetsu Yuna HuVIDEO CD (Japan) 银河大小姐传说 HuVIDEO CD,3
Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) (Alt),自我中心派麻将 - 激斗36雀士,Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) (Alt) 自我中心派麻将 - 激斗36雀士,2
Ys III (Japan),伊苏 3,Ys III (Japan) 伊苏 3,2
Monster Maker - Yami no Ryuukishi (Japan),怪兽制造厂 - 闇之龙骑士,Monster Maker - Yami no Ryuukishi (Japan) 怪兽制造厂 - 闇之龙骑士,2
Shadow of the Beast - Mashou no Okite (Japan),暗影野兽 - 魔性的绽放,Shadow of the Beast - Mashou no Okite (Japan) 暗影野兽 - 魔性的绽放,2
Hyper Wars (Japan) (SAAS),世纪战争,Hyper Wars (Japan) (SAAS) 世纪战争,2
Dragon Slayer - The Legend of Heroes (USA),英雄传说,Dragon Slayer - The Legend of Heroes (USA) 英雄传说,2
"Ryuuko no Ken (Japan) (En,Ja,Es) (FABT)",龙虎之拳,"Ryuuko no Ken (Japan) (En,Ja,Es) (FABT) 龙虎之拳",3
Space Adventure Cobra II - Densetsu no Otoko (Japan),哥普拉 - 传说之男,Space Adventure Cobra II - Densetsu no Otoko (Japan) 哥普拉 - 传说之男,2
"Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FACT, FAET, FAFT)",饿狼传说 2 - 新的挑战者,"Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FACT, FAET, FAFT) 饿狼传说 2 - 新的挑战者",3
Ranma 1-2 (Japan),乱马1/2,Ranma 1-2 (Japan) 乱马1/2,2
Ranma 1-2 - Toraware no Hanayome (Japan),乱马1/2 - 被囚禁的新娘,Ranma 1-2 - Toraware no Hanayome (Japan) 乱马1/2 - 被囚禁的新娘,2
Aurora Quest - Otaku no Seiza in Another World (Japan),极光任务 - 遥远的星座,Aurora Quest - Otaku no Seiza in Another World (Japan) 极光任务 - 遥远的星座,2
"Ginga Ojousama Densetsu Yuna (Japan) (FAAT, FABT, FACT)",银河大小姐传说,"Ginga Ojousama Densetsu Yuna (Japan) (FAAT, FABT, FACT) 银河大小姐传说",3
Dungeon Explorer II (USA),地牢探索 2,Dungeon Explorer II (USA) 地牢探索 2,2
Ys III - Wanderers from Ys (USA),伊苏 3 - 来自伊苏的漂泊者,Ys III - Wanderers from Ys (USA) 伊苏 3 - 来自伊苏的漂泊者,2
Dungeon Explorer II (Japan),地牢探索 2,Dungeon Explorer II (Japan) 地牢探索 2,2
World Heroes 2 (Japan),世界英雄 2,World Heroes 2 (Japan) 世界英雄 2,2
Double Dragon II - The Revenge (Japan),双截龙 2 - 复仇,Double Dragon II - The Revenge (Japan) 双截龙 2 - 复仇,2
Pomping World (Japan),魔鬼气泡,Pomping World (Japan) 魔鬼气泡,2
Buster Bros. (USA),泡泡兄弟,Buster Bros. (USA) 泡泡兄弟,2
Fantastic Night Dreams - Cotton (USA),棉花小魔女,Fantastic Night Dreams - Cotton (USA) 棉花小魔女,2
Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA),雷霆之门 + PC原人大冒险 + PC原人 2,Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA) 雷霆之门 + PC原人大冒险 + PC原人 2,2
Ys Book I & II (USA),伊苏 1 + 2,Ys Book I & II (USA) 伊苏 1 + 2,2
High Grenadier (Japan),高抛弹兵,High Grenadier (Japan) 高抛弹兵,2
Super Albatross (Japan),超级信天翁,Super Albatross (Japan) 超级信天翁,2
Doukyuusei (Japan) (Rev 3),同级生,Doukyuusei (Japan) (Rev 3) 同级生,4
Vasteel (Japan),瓦钢,Vasteel (Japan) 瓦钢,2
Emerald Dragon (Japan) (Rev 1),翡翠龙,Emerald Dragon (Japan) (Rev 1) 翡翠龙,4
Emerald Dragon (Japan),翡翠龙,Emerald Dragon (Japan) 翡翠龙,2
"Ai Chou Aniki (Japan) (SADS, SAES)",爱·超兄贵,"Ai Chou Aniki (Japan) (SADS, SAES) 爱·超兄贵",2
Last Armageddon (Japan) (Rev 6),女超人蕾拉,Last Armageddon (Japan) (Rev 6) 女超人蕾拉,4
Ane-san (Japan),姐,Ane-san (Japan) 姐,2
Bomberman - Panic Bomber (Japan) (FAAT),炸弹人方块,Bomberman - Panic Bomber (Japan) (FAAT) 炸弹人方块,3
Bomberman - Panic Bomber (Japan) (FABT),炸弹人方块,Bomberman - Panic Bomber (Japan) (FABT) 炸弹人方块,2
Browning (Japan),布朗宁,Browning (Japan) 布朗宁,2
Daisenryaku II - Campaign Version (Japan),大战略 2,Daisenryaku II - Campaign Version (Japan) 大战略 2,2
Winds of Thunder (Japan),神风战机,Winds of Thunder (Japan) 神风战机,2
Zero 4 Champ II (Japan),房车大赛 2,Zero 4 Champ II (Japan) 房车大赛 2,2
Cardangels (Japan),卡牌天使,Cardangels (Japan) 卡牌天使,2
Seirei Senshi Spriggan (Japan),精灵战士,Seirei Senshi Spriggan (Japan) 精灵战士,2
Super Darius (Japan),超级大流士,Super Darius (Japan) 超级大流士,2
Super Darius (Japan) (Alt),超级大流士,Super Darius (Japan) (Alt) 超级大流士,2
Mitsubachi Gakuen (Japan),三叶学园,Mitsubachi Gakuen (Japan) 三叶学园,2
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FABT),银河大小姐传说 2 - 永恒的守护公主,Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FABT) 银河大小姐传说 2 - 永恒的守护公主,3
Efera & Jiliora - The Emblem from Darkness (Japan),暗黑战记,Efera & Jiliora - The Emblem from Darkness (Japan) 暗黑战记,2
NEXZR (Japan),雷泽战机,NEXZR (Japan) 雷泽战机,2
ImageFight II - Operation Deepstriker (Japan),梦幻战机 2,ImageFight II - Operation Deepstriker (Japan) 梦幻战机 2,2
Hatsukoi Monogatari (Japan) (Rev 2),初恋物语,Hatsukoi Monogatari (Japan) (Rev 2) 初恋物语,4
Sangokushi III (Japan),三国志 3,Sangokushi III (Japan) 三国志 3,2
Sol Bianca (Japan),太阳之船,Sol Bianca (Japan) 太阳之船,2
Kagami no Kuni no Legend (Japan),镜之国的传说,Kagami no Kuni no Legend (Japan) 镜之国的传说,2
Shanghai II (Japan),上海 2,Shanghai II (Japan) 上海 2,2
Jack Nicklaus' World Tour Golf - 162 Holes (Japan),杰克尼可拉斯高尔夫世界巡回赛,Jack Nicklaus' World Tour Golf - 162 Holes (Japan) 杰克尼可拉斯高尔夫世界巡回赛,2
Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan),井上麻美 - 这颗星球上唯一的你,Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan) 井上麻美 - 这颗星球上唯一的你,2
Burai - Yatsudama no Yuushi Densetsu (Japan),Burai - 八玉勇士伝说,Burai - Yatsudama no Yuushi Densetsu (Japan) Burai - 八玉勇士伝说,2
Burai II - Yami Koutei no Gyakushuu (Japan),Burai2 - 闇皇帝的逆袭,Burai II - Yami Koutei no Gyakushuu (Japan) Burai2 - 闇皇帝的逆袭,2
Rising Sun (Japan),太阳升起,Rising Sun (Japan) 太阳升起,2
Dungeon Master - Theron's Quest (Japan),地牢大师 - 塞隆之旅,Dungeon Master - Theron's Quest (Japan) 地牢大师 - 塞隆之旅,2
Quiz Tonosama no Yabou (Japan),信长之野望问答,Quiz Tonosama no Yabou (Japan) 信长之野望问答,2
Quiz Caravan Cult Q (Japan),商业文化问答,Quiz Caravan Cult Q (Japan) 商业文化问答,2
Ultra Box 6-gou (Japan),究极盒子6号,Ultra Box 6-gou (Japan) 究极盒子6号,2
Record of Lodoss War (Japan),罗德岛战记,Record of Lodoss War (Japan) 罗德岛战记,2
Far East of Eden - Tengai Makyou II - Manji Maru (Japan),天外魔境 2 - 万字丸,Far East of Eden - Tengai Makyou II - Manji Maru (Japan) 天外魔境 2 - 万字丸,2
Garou Densetsu Special (Japan) (FABT),饿狼传说 特别版,Garou Densetsu Special (Japan) (FABT) 饿狼传说 特别版,3
Shin Nihon Pro Wrestling - '94 Battlefield in Tokyo Dome (Japan),新日本摔跤 - 94战斗场东京巨蛋,Shin Nihon Pro Wrestling - '94 Battlefield in Tokyo Dome (Japan) 新日本摔跤 - 94战斗场东京巨蛋,2
Taiheiki (Japan),太平记,Taiheiki (Japan) 太平记,2
Lord of Wars (Japan),军火之王,Lord of Wars (Japan) 军火之王,2
Vasteel 2 (Japan),瓦钢 2,Vasteel 2 (Japan) 瓦钢 2,2
Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan),改造超人 3 - 异界的公主,Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan) 改造超人 3 - 异界的公主,2
"Kick Boxing, The (Japan)",拳击,"Kick Boxing, The (Japan) 拳击",2
Mashou Denki - La Valeur (Japan),魔晶伝记,Mashou Denki - La Valeur (Japan) 魔晶伝记,2
Genocide (Japan),大屠杀,Genocide (Japan) 大屠杀,2
Neo Nectaris (Japan),太空模拟战,Neo Nectaris (Japan) 太空模拟战,2
Splash Lake - Ostrich Daibouken (Japan),飞溅湖 - 奥地利大冒险,Splash Lake - Ostrich Daibouken (Japan) 飞溅湖 - 奥地利大冒险,2
Bonanza Bros. (Japan),神偷拍档,Bonanza Bros. (Japan) 神偷拍档,2
Record of Lodoss War II (Japan),罗德岛战记 2,Record of Lodoss War II (Japan) 罗德岛战记 2,2
Record of Lodoss War II (Japan) (Demo),罗德岛战记 2,Record of Lodoss War II (Japan) (Demo) 罗德岛战记 2,2
Faceball (Japan),脸球,Faceball (Japan) 脸球,2
Faceball (Japan) (Demo),脸球,Faceball (Japan) (Demo) 脸球,2
Motteke Tamago (Japan),蛋蛋乐,Motteke Tamago (Japan) 蛋蛋乐,2
CD Denjin - Rockabilly Tengoku (Japan),CD电人 - 乡村摇滚乐天国,CD Denjin - Rockabilly Tengoku (Japan) CD电人 - 乡村摇滚乐天国,2
"Ranma 1-2 - Datou, Ganso Musabetsu Kakutou-ryuu! (Japan)",乱马1/2 - 打倒、元祖无差别格斗流,"Ranma 1-2 - Datou, Ganso Musabetsu Kakutou-ryuu! (Japan) 乱马1/2 - 打倒、元祖无差别格斗流",2
Mahjong Vanilla Syndrome (Japan),美少女麻将,Mahjong Vanilla Syndrome (Japan) 美少女麻将,2
Juuouki (Japan) (Rev 4),兽王记,Juuouki (Japan) (Rev 4) 兽王记,4
Juuouki (Japan) (Rev 5),兽王记,Juuouki (Japan) (Rev 5) 兽王记,4
Doukyuusei (Japan) (Rev 3) (Alt 2),同级生,Doukyuusei (Japan) (Rev 3) (Alt 2) 同级生,4
Dennou Tenshi - Digital Ange (Japan),电脑天使,Dennou Tenshi - Digital Ange (Japan) 电脑天使,2
F1 Team Simulation - Project F (Japan),F1车队模拟,F1 Team Simulation - Project F (Japan) F1车队模拟,2
Snatcher CD-ROMantic - Pilot Disk (Japan),掠夺者 - Pilot Disk,Snatcher CD-ROMantic - Pilot Disk (Japan) 掠夺者 - Pilot Disk,2
Snatcher CD-ROMantic (Japan),掠夺者,Snatcher CD-ROMantic (Japan) 掠夺者,2
"Gate of Thunder (Japan) (FACT, FADT)",雷霆之门,"Gate of Thunder (Japan) (FACT, FADT) 雷霆之门",2
Golden Axe (Japan) (Alt),战斧,Golden Axe (Japan) (Alt) 战斧,2
Moonlight Lady (Japan),无颜之月,Moonlight Lady (Japan) 无颜之月,2
Populous - The Promised Lands (Japan),人口众多 - 应许之地,Populous - The Promised Lands (Japan) 人口众多 - 应许之地,2
Bikkuriman Daijikai (Japan),神奇大事界,Bikkuriman Daijikai (Japan) 神奇大事界,2
Xak III - The Eternal Recurrence (Japan),XAK3 - 永恒的重现,Xak III - The Eternal Recurrence (Japan) XAK3 - 永恒的重现,2
Sorcerian (Japan),七星魔法使,Sorcerian (Japan) 七星魔法使,2
Chou Jikuu Yousai Macross 2036 (Japan),超时空要塞 2036,Chou Jikuu Yousai Macross 2036 (Japan) 超时空要塞 2036,2
Chou Jikuu Yousai Macross - Eien no Love Song (Japan),超时空要塞 - 永恒的爱,Chou Jikuu Yousai Macross - Eien no Love Song (Japan) 超时空要塞 - 永恒的爱,2
"Wizardry I, II (Japan)",巫术 1 + 2,"Wizardry I, II (Japan) 巫术 1 + 2",2
Legend of Xanadu - Kaze no Densetsu Xanadu (Japan),风的传说,Legend of Xanadu - Kaze no Densetsu Xanadu (Japan) 风的传说,2
Legend of Xanadu - Kaze no Densetsu Xanadu II (Japan),风的传说 2,Legend of Xanadu - Kaze no Densetsu Xanadu II (Japan) 风的传说 2,2
"Wizardry III, IV (Japan)",巫术 3 + 4,"Wizardry III, IV (Japan) 巫术 3 + 4",2
Valis III (Japan),梦幻战士 3,Valis III (Japan) 梦幻战士 3,2
Valis III (Japan) (Alt),梦幻战士 3,Valis III (Japan) (Alt) 梦幻战士 3,2
CD Battle - Hikari no Yuusha-tachi (Japan),CD战斗 - 光之勇者们,CD Battle - Hikari no Yuusha-tachi (Japan) CD战斗 - 光之勇者们,2
Gradius II - Gofer no Yabou (Japan),宇宙巡航机 2,Gradius II - Gofer no Yabou (Japan) 宇宙巡航机 2,2
Star Parodier (Japan),星际帕罗战士,Star Parodier (Japan) 星际帕罗战士,2
