number,title,rating,nbr_votes,description,season,clean_text,cluster
1,Smith and Jones,8.0,4869,"When the hospital she works at is transported to the moon, medical student Martha Jones joins forces with The Doctor to hunt down an alien fugitive before the oxygen runs out.",3,hospital work transported moon medical student martha jones join force doctor hunt alien fugitive oxygen run,3
2,The Shakespeare Code,7.8,4925,"The Doctor takes Martha to London in 1599, where William Shakespeare's new play is being used by three witches in an evil plan.",3,doctor take martha london william shakespeare new play used three witch evil plan,1
3,Gridlock,8.1,5037,"The Doctor takes Martha to New Earth, where she is kidnapped by two carjackers and taken to an underground Motorway, where the remainder of humanity on the planet live in perpetual gridlock.",3,doctor take martha new earth kidnapped two carjackers taken underground motorway remainder humanity planet live perpetual gridlock,1
4,Daleks in Manhattan,7.0,4589,"The Doctor and Martha travel to New York in 1930, where people have been mysteriously vanishing from the streets, and an old enemy resurfaces.",3,doctor martha travel new york people mysteriously vanishing street old enemy resurfaces,1
5,Evolution of the Daleks,7.0,4611,"Concluding part to Daleks in Manhattan. In 1930s New York, the Daleks' plan is in full force. Faced with the cyborgs' most evil and dangerous scheme yet, will the Doctor and Martha be able to defeat their greatest opponents?",3,concluding part daleks manhattan new york daleks plan full force faced cyborg evil dangerous scheme yet doctor martha able defeat greatest opponent,1
6,The Lazarus Experiment,6.7,4652,The famous Dr Lazarus has appeared to discover the secret of eternal youth - but do his experiments hide a sinister secret?,3,famous dr lazarus appeared discover secret eternal youth experiment hide sinister secret,3
7,42,7.5,4458,"On a spaceship headed straight for the centre of the sun, the Doctor only has 42 minutes to save Martha and the ship's crew from an inevitable doom.",3,spaceship headed straight centre sun doctor minute save martha ship crew inevitable doom,0
8,Human Nature,9.0,5818,"In 1913, Martha watches in jealousy from afar as The Doctor learns what it is to be human and to fall in love with the local school nurse, Joan Redfern.",3,martha watch jealousy afar doctor learns human fall love local school nurse joan redfern,1
9,The Family of Blood,9.2,6456,"The Doctor must deal with the repercussions of his decision to become human, as The Family Of Blood unveil themselves...",3,doctor must deal repercussion decision become human family blood unveil,3
10,Blink,9.8,16398,Sally Sparrow receives a cryptic message from the Doctor about a mysterious new enemy species that is after the TARDIS.,3,sally sparrow receives cryptic message doctor mysterious new enemy specie tardis,4
11,Utopia,8.8,5221,"Soon after bumping into old friend Jack Harkness, Martha and The Doctor head off to Malcassairo, a distant planet where an old professor will do anything he can to keep his people alive...",3,soon bumping old friend jack harkness martha doctor head malcassairo distant planet old professor anything keep people alive,1
12,The Sound of Drums,8.7,5275,"The Doctor, Martha and Jack return to the 21st Century eighteen months after the Doctor and Martha left. They find they've missed the election, and the new Prime Minister, Harold Saxon, is someone they've met before by another name.",3,doctor martha jack return st century eighteen month doctor martha left find missed election new prime minister harold saxon someone met another name,2
13,Last of the Time Lords,8.4,5541,"It's been a year since The Master unleashed the mysterious Toclafane onto Earth. With the human race and The Doctor enslaved under The Master's control, Martha Jones is the only person that can help stop the evil Time Lord.",3,year since master unleashed mysterious toclafane onto earth human race doctor enslaved master control martha jones person help stop evil time lord,0
0,Voyage of the Damned,7.7,5146,"A spacecraft set on an apocalyptic collision course with Earth, a host of killer robot angels and an evil severed headed mastermind - it's just another Christmas for the Doctor... 2007 Christmas special guest starring Kylie Minogue.",4,spacecraft set apocalyptic collision course earth host killer robot angel evil severed headed mastermind another christmas doctor christmas special guest starring kylie minogue,1
1,Partners in Crime,7.8,4802,"With a new weight-loss pill tested in London by Adipose Industries, The Doctor goes to investigate the sinister truth behind the product, only to find out that his old friend Donna Noble is investigating as well.",4,new weight loss pill tested london adipose industry doctor go investigate sinister truth behind product find old friend donna noble investigating well,1
2,The Fires of Pompeii,8.1,4942,"Instead in Rome, The Doctor and Donna Noble end up visiting Pompeii in AD 79, on the eve of the catastrophic eruption of Mount Vesuvius, before anyone even knew it was actually a volcano.The entire city is doomed for destruction.",4,instead rome doctor donna noble end visiting pompeii ad eve catastrophic eruption mount vesuvius anyone even knew actually volcano entire city doomed destruction,1
3,Planet of the Ood,8.1,4737,"Finding themselves on the Ood-Sphere planet in the 42nd century, The Doctor and Donna discover the truth over the Ood's willingness to serve humankind.",4,finding ood sphere planet nd century doctor donna discover truth ood willingness serve humankind,3
4,The Sontaran Stratagem,7.5,4232,UNIT's newest recruit Martha Jones enlists The Doctor's help to investigate kid genius Luke Rattigan and his ATMOS system that is used in every car on Earth.,4,unit newest recruit martha jones enlists doctor help investigate kid genius luke rattigan atmos system used every car earth,0
5,The Poison Sky,7.6,4206,"With planet Earth choking under the poison sky, the Doctor must stop the Sontarans' threat to the planet.",4,planet earth choking poison sky doctor must stop sontarans threat planet,1
6,The Doctor's Daughter,7.7,4777,"Caught in the middle of a war between the Humans and the Hath in the planet Messaline, the Doctor finds himself once again a father.",4,caught middle war human hath planet messaline doctor find father,2
7,The Unicorn and the Wasp,7.8,4667,"With a 1926 dinner party turning into a murder mystery, The Doctor and Donna Noble get the chance to meet Agatha Christie on the eve of her well-known 9-days disappearance.",4,dinner party turning murder mystery doctor donna noble get chance meet agatha christie eve well known day disappearance,0
8,Silence in the Library,9.4,6979,The Doctor and Donna join a group of archaeologists at a 51st century library. What caused the library to become abandoned? What are the Nodes? And what links the library to one little girl? All they have is one warning - count the shadows.,4,doctor donna join group archaeologist st century library caused library become abandoned node link library one little girl one warning count shadow,3
9,Forest of the Dead,9.5,7282,"With the library darkening, the Doctor takes on the Vashta Nerada while figuring out what links River Song to his future. Meanwhile, Donna finds out the mystery of Dr. Moon and the Girl.",4,library darkening doctor take vashta nerada figuring link river song future meanwhile donna find mystery dr moon girl,1
10,Midnight,9.0,6405,"As part of a well-deserved holiday, the Doctor takes a tour on a planet called Midnight. Little does he know that something is knocking on the walls, although the planet shouldn't be inhabited. Soon the passengers begin to panic when one of them is possessed.",4,part well deserved holiday doctor take tour planet called midnight little know something knocking wall although planet inhabited soon passenger begin panic one possessed,1
11,Turn Left,8.9,5414,"What would happen if Donna never met the Doctor? How would Earth handle the Racnoss, the falling Titanic or the Sontarans? Aided by a familiar blonde time traveler, Donna corrects the alternate time line from happening.",4,would happen donna never met doctor would earth handle racnoss falling titanic sontarans aided familiar blonde time traveler donna corrects alternate time line happening,1
12,The Stolen Earth,9.1,5385,"The return of an old enemy leaves Earth along with 26 other planets stolen from their places. As the Doctor and Donna look for the whereabouts of Earth, former companions of the Doctor assemble a resistance against the new Dalek Empire.",4,return old enemy leaf earth along planet stolen place doctor donna look whereabouts earth former companion doctor assemble resistance new dalek empire,1
13,Journey's End,9.1,6242,"In the wake of Davros' threat to destroy the existence of the Universe itself, the Doctor's companions unite to stop the Dalek empire. Which one will die by the prophecies and what will the fate be for the Doctor?",4,wake davros threat destroy existence universe doctor companion unite stop dalek empire one die prophecy fate doctor,1
1,The Eleventh Hour,8.8,6254,"With his TARDIS in ruins, the newly-regenerated Doctor with the help of Amy Pond must save the world in less than twenty minutes from galactic policemen known as the Atraxi.",5,tardis ruin newly regenerated doctor help amy pond must save world less twenty minute galactic policeman known atraxi,0
2,The Beast Below,7.6,4837,"The Doctor takes Amy to the future inside Starship UK, which contains in addition to British explorers, an intimidating race known as the Smilers.",5,doctor take amy future inside starship uk contains addition british explorer intimidating race known smiler,0
3,Victory of the Daleks,6.8,4722,"The TARDIS takes The Doctor and Amy to war-torn Britain in the middle of World War Two. Not only do they meet Winston Churchill himself, but the Doctor comes face to face once again with his greatest enemy of all.",5,tardis take doctor amy war torn britain middle world war two meet winston churchill doctor come face face greatest enemy,1
4,The Time of Angels,8.7,5288,"The Doctor and Amy emerge from the TARDIS to find the wreck of the Byzantium spaceship. Down below the Weeping Angels are stirring, but the Doctor has someone else to contend with; none other than the mysterious Professor River Song.",5,doctor amy emerge tardis find wreck byzantium spaceship weeping angel stirring doctor someone else contend none mysterious professor river song,2
5,Flesh and Stone,8.6,4795,"The Doctor, Amy, Dr. Song and the remaining soldiers manage to escape from the crashed ship and into the forest. The Angels attempt to create a rift in time and space much as the Doctor had found in Amy's room when they first met. Amy meanwhile is counting down from 10 minutes and the Doctor has determined that an Angel has taken over her mind.",5,doctor amy dr song remaining soldier manage escape crashed ship forest angel attempt create rift time space much doctor found amy room first met amy meanwhile counting minute doctor determined angel taken mind,0
6,The Vampires of Venice,7.1,4491,The Doctor and Amy cross swords in more ways than one with a horde of blood-sucking vampires in 16th century Venice.,5,doctor amy cross sword way one horde blood sucking vampire th century venice,0
7,Amy's Choice,8.2,4788,"Five years after finally leaving the TARDIS Amy and Rory now married, live in the quiet little village of Leadworth. But everything is not what it would seem.",5,five year finally leaving tardis amy rory married live quiet little village leadworth everything would seem,0
8,The Hungry Earth,7.3,4208,"The Doctor tries to get everyone to Rio, but nothing quite goes as planned. They arrive in a small Welsh village where the Doctor immediately senses that the ground isn't quite right. There is a drilling rig nearby that has reached a depth of 21 kilometers when odd things begin to happen. A local village man has disappeared and soon after Amy is swallowed into the ground. The Doctor realizes that the drilling has disturbed an ancient reptilian race that has lived deep underground for thousands upon thousands of years and who are determined to protect themselves ...",5,doctor try get everyone rio nothing quite go planned arrive small welsh village doctor immediately sens ground quite right drilling rig nearby reached depth kilometer odd thing begin happen local village man disappeared soon amy swallowed ground doctor realizes drilling disturbed ancient reptilian race lived deep underground thousand upon thousand year determined protect,0
9,Cold Blood,7.5,4206,"The Doctor and Nasreen Chaudry go deep underground and find an ancient society that has been disturbed by the drilling. They are gassed and taken prisoner just as Amy manages to free herself. The military commander of the underground reptilians, Restac, is convinced that the ""apes' - their term for humans - are an invading force. Calmer heads prevail and the Doctor manages to negotiate a truce pending the transfer of prisoners which he, and some of the more pacifist members of the reptilians, hopes will lead to a lasting peace. The only problem is that Alaya, the ...",5,doctor nasreen chaudry go deep underground find ancient society disturbed drilling gassed taken prisoner amy manages free military commander underground reptilian restac convinced ape term human invading force calmer head prevail doctor manages negotiate truce pending transfer prisoner pacifist member reptilian hope lead lasting peace problem alaya,0
10,Vincent and the Doctor,9.3,8393,The Doctor and Amy travel back in time to meet Vincent Van Gogh and face an invisible monster that only the painter can see.,5,doctor amy travel back time meet vincent van gogh face invisible monster painter see,1
11,The Lodger,8.3,4737,"No sooner does the TARDIS land on Earth that it leaves again - but without the Doctor who had just stepped outside. The Doctor soon finds himself at the home of Craig Owens, who has been advertising for a lodger. There's clearly something odd in the house with people being lured to the upstairs room, but never reappearing. The Doctor is having a good time of it and is having a bit of fun; he proves to be a rather good football player. Craig the landlord is very much in love with Sophie but can't quite bring himself to tell her. The Doctor tries to help them out. But ...",5,sooner tardis land earth leaf without doctor stepped outside doctor soon find home craig owen advertising lodger clearly something odd house people lured upstairs room never reappearing doctor good time bit fun prof rather good football player craig landlord much love sophie quite bring tell doctor try help,3
12,The Pandorica Opens,9.1,5408,"River Song returns to deliver The Doctor a serious warning from his allies: the mythical Pandorica, said to contain the most feared creature in the entire Universe, is opening.",5,river song return deliver doctor serious warning ally mythical pandorica said contain feared creature entire universe opening,1
13,The Big Bang,9.2,5616,"The Pandorica opened, silence fell, and now planet Earth is left alone in the universe. Jumping through time, the doctor must figure out a way to bring back those who never were and save his friends from the collapse of reality.",5,pandorica opened silence fell planet earth left alone universe jumping time doctor must figure way bring back never save friend collapse reality,0
0,A Christmas Carol,8.6,5707,"A space liner, with a large number of passengers aboard, is in difficulties while flying through the atmosphere of an unknown planet. Amy and Rory have been spending some time on board in the honeymoon suite and they quickly appear on deck. Amy calls the doctor for help and the TARDIS soon appears ahead of the ship. However the Doctor cannot save them and the only other option is to land on the planet below. There the Doctor meets a Scrooge like figure by the name of Kazran Sardick, the only person that can save Amy, Rory and all the other lives on the Spacecraft. The...",6,space liner large number passenger aboard difficulty flying atmosphere unknown planet amy rory spending time board honeymoon suite quickly appear deck amy call doctor help tardis soon appears ahead ship however doctor cannot save option land planet doctor meet scrooge like figure name kazran sardick person save amy rory life spacecraft,0
1,The Impossible Astronaut,8.9,5536,"The Doctor, Amy, Rory and River Song are reunited in the Utah desert.",6,doctor amy rory river song reunited utah desert,0
2,Day of the Moon,8.9,5083,The Doctor and his allies mount a rebellion against invaders who have been controlling humanity from the very beginning.,6,doctor ally mount rebellion invader controlling humanity beginning,1
3,The Curse of the Black Spot,6.8,4478,"The Doctor, Amy and Rory find themselves aboard a marooned pirate ship whose crew is being picked off one by one by a beautiful - and deadly - Siren.",6,doctor amy rory find aboard marooned pirate ship whose crew picked one one beautiful deadly siren,0
4,The Doctor's Wife,9.0,5989,The Doctor is lured to a sentient asteroid outside of the Universe by a Time Lord distress signal and soon realises his TARDIS is in grave danger.,6,doctor lured sentient asteroid outside universe time lord distress signal soon realises tardis grave danger,0
5,The Rebel Flesh,7.3,3925,"A solar tsunami sends the TARDIS crew to an acid mining factory in the 22nd century, where a small team of workers come under attack from their doppelgangers.",6,solar tsunami sends tardis crew acid mining factory nd century small team worker come attack doppelganger,0
6,The Almost People,7.5,3876,The gangers and humans battle for their lives as the factory crumbles and the Doctor tries to keep the peace - can everyone make it off the island alive?,6,ganger human battle life factory crumbles doctor try keep peace everyone make island alive,1
7,A Good Man Goes to War,9.1,5716,A member of The Doctor's team has been abducted and he will call in every favor and maybe even go to war to get them back.,6,member doctor team abducted call every favor maybe even go war get back,1
8,Let's Kill Hitler,8.1,4519,"The search for Melody Pond brings the Doctor and his friends to Berlin in 1938, face-to-face with Adolf Hitler, River Song and a justice-serving, shapeshifting robot.",6,search melody pond brings doctor friend berlin face face adolf hitler river song justice serving shapeshifting robot,1
9,Night Terrors,7.1,3836,"Receiving a powerful distress call from a terrified little boy, the Doctor and his friends soon find that the monsters in his cupboard are real - and deadly.",6,receiving powerful distress call terrified little boy doctor friend soon find monster cupboard real deadly,2
10,The Girl Who Waited,8.5,4521,"Amy is trapped in a quarantine facility where time moves faster than in reality, while the Doctor is confined to the TARDIS. Can Rory save his wife in time?",6,amy trapped quarantine facility time move faster reality doctor confined tardis rory save wife time,0
11,The God Complex,8.1,4188,"The Doctor, Amy and Rory become trapped in a hotel of horrors unable to escape and unable to find the TARDIS. The Doctor must save as many people as he can taking many twists and seeing his own worst fear.",6,doctor amy rory become trapped hotel horror unable escape unable find tardis doctor must save many people taking many twist seeing worst fear,0
12,Closing Time,7.7,3924,"The Doctor makes one last stop before his death to see an old friend. But people are disappearing, there are reports of a silver rat and metal men are lurking in the shadows.",6,doctor make one last stop death see old friend people disappearing report silver rat metal men lurking shadow,1
13,The Wedding of River Song,8.6,4890,"April 22nd, 2011; 5:02pm. Having finally accepted his fate the Doctor travels to Lake Silencio for his final day. But one woman refuses to let time take its course.",6,april nd pm finally accepted fate doctor travel lake silencio final day one woman refuse let time take course,1
0,"The Doctor, the Widow and the Wardrobe",7.3,4240,"It's Christmas Eve, 1938, when Madge Arwell comes to the aid of an injured Spaceman Angel as she cycles home. He promises to repay her kindness - all she has to do is make a wish. Three years later, a devastated Madge escapes war-torn London with her two children for a dilapidated house in Dorset. She is crippled with grief at the news her husband has been lost over the channel, but determined to give Lily and Cyril the best Christmas ever. The Arwells are surprised to be greeted by a madcap caretaker whose mysterious Christmas gift leads them into a magical wintry ...",7,christmas eve madge arwell come aid injured spaceman angel cycle home promise repay kindness make wish three year later devastated madge escape war torn london two child dilapidated house dorset crippled grief news husband lost channel determined give lily cyril best christmas ever arwells surprised greeted madcap caretaker whose mysterious christmas gift lead magical wintry,4
1,Asylum of the Daleks,8.7,5729,"The Doctor, along with Amy and Rory who are headed for divorce, are kidnapped by the Daleks. They find themselves before the Dalek Parliament and the Doctor is quite surprised when he learns why: they want him to save them. A ship has crashed on the one place they will not go - the Asylum, where mad Daleks are sent to spend the rest of their days. Once there, they are assisted by the only survivor of the crash, Oswin, who has been there for a year awaiting rescue and making soufflés to pass the time. Which leads the Doctor to ask the most important question of all: ...",7,doctor along amy rory headed divorce kidnapped daleks find dalek parliament doctor quite surprised learns want save ship crashed one place go asylum mad daleks sent spend rest day assisted survivor crash oswin year awaiting rescue making souffl pas time lead doctor ask important question,2
2,Dinosaurs on a Spaceship,7.5,4676,"After a lengthy absence, the Doctor returns to Earth and scoops up up Amy and Rory for yet another adventure. He also manages somehow to include Rory's dad, Brian Williams. Those aren't the only travelers however as Queen Nefertiti and big-game hunter John Riddell are also on board. The TARDIS next reappears on board a large ship and the Doctor is delighted to find a cargo of prehistoric dinosaurs on board. Using the ship's computers, Amy determines that the ship's crew is nowhere to be found. There is someone on board however who has no intention of giving up his ...",7,lengthy absence doctor return earth scoop amy rory yet another adventure also manages somehow include rory dad brian williams traveler however queen nefertiti big game hunter john riddell also board tardis next reappears board large ship doctor delighted find cargo prehistoric dinosaur board using ship computer amy determines ship crew nowhere found someone board however intention giving,0
3,A Town Called Mercy,7.5,4452,"The Doctor gets a Stetson and a gun, and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg who goes by the name of The Gunslinger. But who is he and what does he want?",7,doctor get stetson gun find reluctant sheriff western town siege relentless cyborg go name gunslinger want,2
4,The Power of Three,7.6,4279,"Earth is suddenly visited by millions of small black cubes of unknown origin. The Doctor joins Amy, Rory and Rory's father, Brian, to help discover what these cubes bring for humanity.",7,earth suddenly visited million small black cube unknown origin doctor join amy rory rory father brian help discover cube bring humanity,0
5,The Angels Take Manhattan,9.0,6253,"The Doctor takes Amy and Rory to New York, where the Weeping Angels are waiting for them. River Song returns.",7,doctor take amy rory new york weeping angel waiting river song return,1
6,The Snowmen,8.5,5154,"London, 1892. Snow is trying to evolve, feeding off of the nightmares of a little girl. But the Doctor has given up on saving the world. It is up to a young governess named Clara to convince him, with just one word, to save the day.",7,london snow trying evolve feeding nightmare little girl doctor given saving world young governess named clara convince one word save day,3
7,The Bells of Saint John,8.0,4377,"A chance phone call reunites the Doctor with Clara in the present day. A mysterious organization, lead by the evil Miss Kizlet, sends robots known as ""Spoonheads"" to steal the minds of people who use the company's WiFi. The Doctor and Clara must work together to find the location of the organization and destroy it before the whole world is trapped by the WiFi.",7,chance phone call reunites doctor clara present day mysterious organization lead evil miss kizlet sends robot known spoonheads steal mind people use company wifi doctor clara must work together find location organization destroy whole world trapped wifi,0
8,The Rings of Akhaten,7.4,4763,"Still not quite able to explain just who she is, the Doctor and Clara set off on their first adventure. He takes her to see the Rings of Akhaten and its famous pyramid. The residents of the 7 planets rotating around the same sun all believe the pyramid is the source of all life in the universe. There are quite a few visitors there for the Festival of Offering and Clara and helps a young girl, Merry, to have the confidence to perform an important ceremony to sooth and keep the Old God asleep. When Merry is drawn into the pyramid the Doctor and Clara go after her. When ...",7,still quite able explain doctor clara set first adventure take see ring akhaten famous pyramid resident planet rotating around sun believe pyramid source life universe quite visitor festival offering clara help young girl merry confidence perform important ceremony sooth keep old god asleep merry drawn pyramid doctor clara go,1
9,Cold War,7.3,4000,"The Doctor and Clara find themselves dealing with Cold War tensions when the TARDIS lands aboard a disabled Soviet ballistic submarine. The Doctor isn't the only alien being on board however - while engaged in undersea drilling, Professor Grisenko thought he'd found a mammoth and brought the creature on the boat encased in ice. It isn't a mammoth but an Ice Warrior, who has been lying dormant for 5000 years. He identifies himself as Grand Marshal Skaldak but when he cannot contact others of his kind, he assumes he is the last of his race. He now has every intention of...",7,doctor clara find dealing cold war tension tardis land aboard disabled soviet ballistic submarine doctor alien board however engaged undersea drilling professor grisenko thought found mammoth brought creature boat encased ice mammoth ice warrior lying dormant year identifies grand marshal skaldak cannot contact others kind assumes last race every intention,0
10,Hide,7.8,3970,"The Doctor and Clara arrive at an old manor house in 1974 where Alec Palmer and Emma Grayling are investigating the existence of a ghost. Alec is a former army Major, now a psychologist, whilst Emma is an empathic psychic who can not only sense the presence of paranormal beings, but can sense their feelings as well. Palmer explains the house has been haunted for hundreds of years, and the ghost - a woman - is likely much older. Emma senses the ghost is very lonely, but the Doctor realises she's not a ghost at all, but a creature trapped in a zone where time moves much...",7,doctor clara arrive old manor house alec palmer emma grayling investigating existence ghost alec former army major psychologist whilst emma empathic psychic sense presence paranormal being sense feeling well palmer explains house haunted hundred year ghost woman likely much older emma sens ghost lonely doctor realises ghost creature trapped zone time move much,1
11,Journey to the Centre of the TARDIS,7.5,3981,"The Doctor and Clara find themselves aboard a space freighter that has taken the TARDIS on-board as salvage. While the Doctor is ejected, Clara finds herself wandering through the vehicle exploring it's many - seemingly infinite - rooms. The Doctor re-enters the TARDIS accompanied by three workers from the salvage ship and they have but 30 minutes to find her. There are creatures in the depths of the TARDIS and the time travel machine will do whatever it takes to protect itself. There is a rupture in time however and the TARDIS is leaking recent history....which the ...",7,doctor clara find aboard space freighter taken tardis board salvage doctor ejected clara find wandering vehicle exploring many seemingly infinite room doctor enters tardis accompanied three worker salvage ship minute find creature depth tardis time travel machine whatever take protect rupture time however tardis leaking recent history,0
