ID,Age,Vol,combined_text,Cluster
1.3.6,51.91,747.0,1.3.6,0
1.3.6,61.91,1002.0,1.3.6,0
1.3.6,71.91,1278.0,1.3.6,0
1.3.6,81.91,1553.0,1.3.6,0
1.3.6,91.91,1836.0,1.3.6,0
1.3.10,10.0,10.0,1.3.10,3
1.3.10,20.0,56.0,1.3.10,3
1.3.10,30.0,152.0,1.3.10,3
1.3.10,40.0,303.0,1.3.10,3
1.3.10,50.0,510.0,1.3.10,3
1.3.10,60.0,758.0,1.3.10,3
1.3.10,70.0,1016.0,1.3.10,3
1.3.10,80.0,1252.0,1.3.10,3
1.3.10,90.0,1507.0,1.3.10,3
1.3.10,100.0,1745.0,1.3.10,3
1.3.10,110.0,1973.0,1.3.10,3
1.3.11,2.44,2.2,1.3.11,1
1.3.11,12.44,20.0,1.3.11,1
1.3.11,22.44,93.0,1.3.11,1
1.3.11,32.44,262.0,1.3.11,1
1.3.11,42.44,476.0,1.3.11,1
1.3.11,52.44,705.0,1.3.11,1
1.3.11,62.44,967.0,1.3.11,1
1.3.11,72.44,1203.0,1.3.11,1
1.3.11,82.44,1409.0,1.3.11,1
1.3.11,92.44,1659.0,1.3.11,1
1.3.11,102.44,1898.0,1.3.11,1
1.3.11,112.44,2106.0,1.3.11,1
1.3.12,2.06,0.8,1.3.12,0
1.3.12,12.06,9.0,1.3.12,0
1.3.12,22.06,84.0,1.3.12,0
1.3.12,32.06,305.0,1.3.12,0
1.3.12,42.06,633.0,1.3.12,0
1.3.12,52.06,1034.0,1.3.12,0
1.3.12,62.06,1408.0,1.3.12,0
1.3.12,72.06,1746.0,1.3.12,0
1.3.12,82.06,2085.0,1.3.12,0
1.3.12,92.06,2411.0,1.3.12,0
1.3.12,102.06,2790.0,1.3.12,0
1.3.12,112.06,3111.0,1.3.12,0
1.4.1,1.78,0.9,1.4.1,0
1.4.1,11.78,17.0,1.4.1,0
1.4.1,21.78,77.0,1.4.1,0
1.4.1,31.78,194.0,1.4.1,0
1.4.1,41.78,339.0,1.4.1,0
1.4.1,51.78,503.0,1.4.1,0
1.4.1,61.78,665.0,1.4.1,0
1.4.2,2.05,0.1,1.4.2,0
1.4.2,12.05,6.0,1.4.2,0
1.4.2,22.05,46.0,1.4.2,0
1.4.2,32.05,146.0,1.4.2,0
1.4.2,42.05,316.0,1.4.2,0
1.4.2,52.05,525.0,1.4.2,0
1.4.2,62.05,765.0,1.4.2,0
1.4.6,9.44,17.0,1.4.6,0
1.4.6,19.44,72.0,1.4.6,0
1.4.6,29.44,188.0,1.4.6,0
1.4.6,39.44,335.0,1.4.6,0
1.4.6,49.44,483.0,1.4.6,0
1.4.6,59.44,644.0,1.4.6,0
1.4.6,69.44,999.0,1.4.6,0
1.4.6,79.44,1280.0,1.4.6,0
1.4.6,89.44,1576.0,1.4.6,0
1.4.6,99.44,1850.0,1.4.6,0
1.5.4,9.77,16.0,1.5.4,0
1.5.4,19.77,92.0,1.5.4,0
1.5.4,29.77,287.0,1.5.4,0
1.5.4,39.77,488.0,1.5.4,0
1.5.4,49.77,679.0,1.5.4,0
1.5.4,59.77,874.0,1.5.4,0
1.5.4,69.77,1080.0,1.5.4,0
1.5.4,79.77,1265.0,1.5.4,0
1.5.13,9.55,4.0,1.5.13,2
1.5.13,19.55,28.0,1.5.13,2
1.5.13,29.55,109.0,1.5.13,2
1.5.13,39.55,285.0,1.5.13,2
1.5.13,49.55,470.0,1.5.13,2
1.5.13,59.55,699.0,1.5.13,2
1.5.13,69.55,932.0,1.5.13,2
1.5.13,79.55,1161.0,1.5.13,2
1.5.25,0.43,0.4,1.5.25,0
1.5.25,10.43,16.0,1.5.25,0
1.5.25,20.43,84.0,1.5.25,0
1.5.25,30.43,206.0,1.5.25,0
1.5.25,40.43,260.0,1.5.25,0
1.5.25,50.43,563.0,1.5.25,0
1.5.25,60.43,793.0,1.5.25,0
1.5.25,70.43,1072.0,1.5.25,0
1.5.25,80.43,1305.0,1.5.25,0
1.5.25,90.43,1560.0,1.5.25,0
1.5.25,100.43,1808.0,1.5.25,0
1.5.25,110.43,2099.0,1.5.25,0
1.5.25,120.43,2418.0,1.5.25,0
1.5.25,130.43,2771.0,1.5.25,0
1.5.25,140.43,3124.0,1.5.25,0
2.1.8,10.0,5.0,2.1.8,0
2.1.8,20.0,23.0,2.1.8,0
2.1.8,30.0,65.0,2.1.8,0
2.1.8,40.0,126.0,2.1.8,0
2.1.8,50.0,206.0,2.1.8,0
2.1.8,60.0,304.0,2.1.8,0
2.1.8,70.0,400.0,2.1.8,0
2.1.8,80.0,512.0,2.1.8,0
2.1.8,90.0,607.0,2.1.8,0
2.1.8,100.0,697.0,2.1.8,0
2.1.8,110.0,759.0,2.1.8,0
2.1.8,120.0,815.0,2.1.8,0
2.1.8,130.0,880.0,2.1.8,0
2.1.8,140.0,943.0,2.1.8,0
2.1.9,7.5,1.0,2.1.9,0
2.1.9,17.5,7.0,2.1.9,0
2.1.9,27.5,27.0,2.1.9,0
2.1.9,37.5,75.0,2.1.9,0
2.1.9,47.5,170.0,2.1.9,0
2.1.9,57.5,283.0,2.1.9,0
2.1.9,67.5,425.0,2.1.9,0
2.1.9,77.5,591.0,2.1.9,0
2.1.9,87.5,764.0,2.1.9,0
2.1.9,97.5,950.0,2.1.9,0
2.1.9,107.5,1128.0,2.1.9,0
2.1.9,117.5,1361.0,2.1.9,0
2.1.9,127.5,1626.0,2.1.9,0
2.1.9,137.5,1890.0,2.1.9,0
2.1.10,10.0,7.0,2.1.10,3
2.1.10,20.0,51.0,2.1.10,3
2.1.10,30.0,153.0,2.1.10,3
2.1.10,40.0,289.0,2.1.10,3
2.1.10,50.0,453.0,2.1.10,3
2.1.10,60.0,604.0,2.1.10,3
2.1.10,70.0,812.0,2.1.10,3
2.1.10,80.0,997.0,2.1.10,3
2.1.10,90.0,1184.0,2.1.10,3
2.1.10,100.0,1368.0,2.1.10,3
2.1.10,110.0,1539.0,2.1.10,3
2.1.10,120.0,1754.0,2.1.10,3
2.1.10,130.0,1995.0,2.1.10,3
2.1.10,140.0,2257.0,2.1.10,3
2.1.11,10.0,9.0,2.1.11,1
2.1.11,20.0,30.0,2.1.11,1
2.1.11,30.0,68.0,2.1.11,1
2.1.11,40.0,120.0,2.1.11,1
2.1.11,50.0,252.0,2.1.11,1
2.1.11,60.0,428.0,2.1.11,1
2.1.11,70.0,651.0,2.1.11,1
2.1.11,80.0,876.0,2.1.11,1
2.1.11,90.0,1118.0,2.1.11,1
2.1.11,100.0,1342.0,2.1.11,1
2.1.11,110.0,1600.0,2.1.11,1
2.1.11,120.0,1883.0,2.1.11,1
2.1.11,130.0,2137.0,2.1.11,1
2.1.11,140.0,2385.0,2.1.11,1
2.3.3,10.0,4.0,2.3.3,0
2.3.3,20.0,24.0,2.3.3,0
2.3.3,30.0,77.0,2.3.3,0
2.3.3,40.0,188.0,2.3.3,0
2.3.3,50.0,358.0,2.3.3,0
2.3.3,60.0,558.0,2.3.3,0
2.3.3,70.0,762.0,2.3.3,0
2.3.4,0.63,0.4,2.3.4,0
2.3.4,10.63,9.0,2.3.4,0
2.3.4,20.62,52.0,2.3.4,0
2.3.4,30.62,150.0,2.3.4,0
2.3.4,40.63,302.0,2.3.4,0
2.3.4,50.63,510.0,2.3.4,0
2.3.4,60.63,711.0,2.3.4,0
2.3.4,70.62,866.0,2.3.4,0
2.3.7,9.57,4.0,2.3.7,0
2.3.7,19.57,32.0,2.3.7,0
2.3.7,29.57,116.0,2.3.7,0
2.3.7,39.57,271.0,2.3.7,0
2.3.7,49.57,456.0,2.3.7,0
2.3.7,59.57,658.0,2.3.7,0
2.3.7,69.57,857.0,2.3.7,0
2.3.7,79.57,1064.0,2.3.7,0
2.3.7,89.57,1278.0,2.3.7,0
2.3.7,99.57,1514.0,2.3.7,0
2.3.8,6.92,1.0,2.3.8,0
2.3.8,16.92,18.0,2.3.8,0
2.3.8,26.92,84.0,2.3.8,0
2.3.8,36.92,213.0,2.3.8,0
2.3.8,46.92,364.0,2.3.8,0
2.3.8,56.92,525.0,2.3.8,0
2.3.8,66.92,674.0,2.3.8,0
2.3.8,76.92,858.0,2.3.8,0
2.3.8,86.92,1064.0,2.3.8,0
2.3.8,96.92,1305.0,2.3.8,0
2.4.5,8.62,4.0,2.4.5,0
2.4.5,18.62,27.0,2.4.5,0
2.4.5,28.62,83.0,2.4.5,0
2.4.5,38.62,181.0,2.4.5,0
2.4.5,48.62,333.0,2.4.5,0
2.4.5,58.62,494.0,2.4.5,0
2.4.5,68.62,678.0,2.4.5,0
2.4.5,78.62,852.0,2.4.5,0
2.4.5,88.62,1009.0,2.4.5,0
2.4.7,8.71,6.0,2.4.7,0
2.4.7,18.71,45.0,2.4.7,0
2.4.7,28.71,139.0,2.4.7,0
2.4.7,38.71,266.0,2.4.7,0
2.4.7,48.71,405.0,2.4.7,0
2.4.7,58.71,573.0,2.4.7,0
2.4.7,68.71,765.0,2.4.7,0
2.4.7,78.71,970.0,2.4.7,0
2.4.7,88.71,1186.0,2.4.7,0
2.4.7,98.71,1414.0,2.4.7,0
2.4.7,108.71,1659.0,2.4.7,0
2.4.7,118.71,1950.0,2.4.7,0
2.4.7,128.71,2270.0,2.4.7,0
2.5.2,10.0,7.0,2.5.2,0
2.5.2,20.0,44.0,2.5.2,0
2.5.2,30.0,145.0,2.5.2,0
2.5.2,40.0,250.0,2.5.2,0
2.5.2,50.0,370.0,2.5.2,0
2.5.2,60.0,500.0,2.5.2,0
2.5.2,70.0,637.0,2.5.2,0
2.5.3,1.32,0.5,2.5.3,0
2.5.3,11.32,9.0,2.5.3,0
2.5.3,21.32,54.0,2.5.3,0
2.5.3,31.32,154.0,2.5.3,0
2.5.3,41.32,259.0,2.5.3,0
2.5.3,51.32,372.0,2.5.3,0
2.5.3,61.32,512.0,2.5.3,0
2.5.3,71.32,662.0,2.5.3,0
2.5.6,10.0,7.0,2.5.6,0
2.5.6,20.0,31.0,2.5.6,0
2.5.6,30.0,77.0,2.5.6,0
2.5.6,40.0,144.0,2.5.6,0
2.5.6,50.0,218.0,2.5.6,0
2.5.6,60.0,312.0,2.5.6,0
2.5.6,70.0,420.0,2.5.6,0
2.5.6,80.0,530.0,2.5.6,0
2.5.7,8.75,6.0,2.5.7,0
2.5.7,18.75,36.0,2.5.7,0
2.5.7,28.75,92.0,2.5.7,0
2.5.7,38.75,185.0,2.5.7,0
2.5.7,48.75,280.0,2.5.7,0
2.5.7,58.75,398.0,2.5.7,0
2.5.7,68.75,506.0,2.5.7,0
2.5.7,78.75,609.0,2.5.7,0
2.5.8,9.51,20.0,2.5.8,0
2.5.8,19.51,101.0,2.5.8,0
2.5.8,29.51,250.0,2.5.8,0
2.5.8,39.51,494.0,2.5.8,0
2.5.8,49.51,677.0,2.5.8,0
2.5.8,59.51,870.0,2.5.8,0
2.5.8,69.51,1023.0,2.5.8,0
2.5.8,79.51,1149.0,2.5.8,0
2.5.9,9.26,4.0,2.5.9,0
2.5.9,19.26,22.0,2.5.9,0
2.5.9,29.26,68.0,2.5.9,0
2.5.9,39.26,140.0,2.5.9,0
2.5.9,49.26,236.0,2.5.9,0
2.5.9,59.26,353.0,2.5.9,0
2.5.9,69.26,478.0,2.5.9,0
2.5.9,79.26,601.0,2.5.9,0
2.5.10,0.59,0.5,2.5.10,3
2.5.10,10.59,10.0,2.5.10,3
2.5.10,20.59,43.0,2.5.10,3
2.5.10,30.59,116.0,2.5.10,3
2.5.10,40.59,206.0,2.5.10,3
2.5.10,50.59,298.0,2.5.10,3
2.5.10,60.59,397.0,2.5.10,3
2.5.10,70.59,522.0,2.5.10,3
2.5.10,80.59,630.0,2.5.10,3
2.5.11,1.02,1.4,2.5.11,1
2.5.11,11.02,17.0,2.5.11,1
2.5.11,21.02,66.0,2.5.11,1
2.5.11,31.022,144.0,2.5.11,1
2.5.11,41.02,243.0,2.5.11,1
2.5.11,51.02,370.0,2.5.11,1
2.5.11,61.02,497.0,2.5.11,1
2.5.11,71.02,612.0,2.5.11,1
2.5.11,81.02,754.0,2.5.11,1
2.5.12,0.74,1.1,2.5.12,0
2.5.12,10.74,30.0,2.5.12,0
2.5.12,20.74,103.0,2.5.12,0
2.5.12,30.74,203.0,2.5.12,0
2.5.12,40.74,304.0,2.5.12,0
2.5.12,50.74,388.0,2.5.12,0
2.5.12,60.74,476.0,2.5.12,0
2.5.12,70.74,565.0,2.5.12,0
2.5.12,80.74,643.0,2.5.12,0
2.5.14,6.87,3.0,2.5.14,0
2.5.14,16.87,29.0,2.5.14,0
2.5.14,26.87,130.0,2.5.14,0
2.5.14,36.88,303.0,2.5.14,0
2.5.14,46.88,509.0,2.5.14,0
2.5.14,56.88,723.0,2.5.14,0
2.5.14,66.87,945.0,2.5.14,0
2.5.14,76.87,1172.0,2.5.14,0
2.5.14,86.87,1366.0,2.5.14,0
2.5.14,96.87,1561.0,2.5.14,0
2.5.15,9.74,9.0,2.5.15,0
2.5.15,19.74,58.0,2.5.15,0
2.5.15,29.74,182.0,2.5.15,0
2.5.15,39.74,307.0,2.5.15,0
2.5.15,49.74,429.0,2.5.15,0
2.5.15,59.74,519.0,2.5.15,0
2.5.15,69.74,622.0,2.5.15,0
2.5.15,79.74,755.0,2.5.15,0
2.5.15,89.74,881.0,2.5.15,0
2.5.15,99.74,986.0,2.5.15,0
2.5.17,1.89,0.2,2.5.17,0
2.5.17,11.89,27.0,2.5.17,0
2.5.17,21.89,78.0,2.5.17,0
2.5.17,31.89,149.0,2.5.17,0
2.5.17,41.89,203.0,2.5.17,0
2.5.17,51.89,297.0,2.5.17,0
2.5.17,61.89,397.0,2.5.17,0
2.5.17,71.89,524.0,2.5.17,0
2.5.17,81.89,645.0,2.5.17,0
2.5.17,91.89,759.0,2.5.17,0
2.5.17,101.89,868.0,2.5.17,0
2.5.18,0.8,0.3,2.5.18,0
2.5.18,10.8,9.0,2.5.18,0
2.5.18,20.8,78.0,2.5.18,0
2.5.18,30.8,189.0,2.5.18,0
2.5.18,40.8,329.0,2.5.18,0
2.5.18,50.8,499.0,2.5.18,0
2.5.18,60.8,657.0,2.5.18,0
2.5.18,70.8,791.0,2.5.18,0
2.5.18,80.8,913.0,2.5.18,0
2.5.18,90.8,1005.0,2.5.18,0
2.5.19,1.3,1.5,2.5.19,0
2.5.19,11.3,38.0,2.5.19,0
2.5.19,21.3,126.0,2.5.19,0
2.5.19,31.3,284.0,2.5.19,0
2.5.19,41.3,453.0,2.5.19,0
2.5.19,51.3,611.0,2.5.19,0
2.5.19,61.3,748.0,2.5.19,0
2.5.19,71.3,882.0,2.5.19,0
2.5.19,81.3,1032.0,2.5.19,0
2.5.19,91.3,1202.0,2.5.19,0
2.5.19,101.3,1377.0,2.5.19,0
2.5.21,9.38,6.0,2.5.21,0
2.5.21,19.37,41.0,2.5.21,0
2.5.21,29.37,127.0,2.5.21,0
2.5.21,39.38,252.0,2.5.21,0
2.5.21,49.38,415.0,2.5.21,0
2.5.21,59.38,557.0,2.5.21,0
2.5.21,69.37,710.0,2.5.21,0
2.5.21,79.37,853.0,2.5.21,0
2.5.21,89.37,1006.0,2.5.21,0
2.5.21,99.37,1148.0,2.5.21,0
2.5.21,109.37,1296.0,2.5.21,0
2.5.21,119.37,1495.0,2.5.21,0
2.5.22,9.17,6.0,2.5.22,0
2.5.22,19.17,28.0,2.5.22,0
2.5.22,29.17,101.0,2.5.22,0
2.5.22,39.17,246.0,2.5.22,0
2.5.22,49.17,465.0,2.5.22,0
2.5.22,59.17,747.0,2.5.22,0
2.5.22,69.17,1039.0,2.5.22,0
2.5.22,79.17,1332.0,2.5.22,0
2.5.22,89.17,1566.0,2.5.22,0
2.5.22,99.17,1830.0,2.5.22,0
2.5.22,109.17,2048.0,2.5.22,0
2.5.22,119.17,2264.0,2.5.22,0
2.5.23,10.0,13.0,2.5.23,0
2.5.23,20.0,48.0,2.5.23,0
2.5.23,30.0,111.0,2.5.23,0
2.5.23,40.0,196.0,2.5.23,0
2.5.23,50.0,287.0,2.5.23,0
2.5.23,60.0,369.0,2.5.23,0
2.5.23,70.0,454.0,2.5.23,0
2.5.23,80.0,538.0,2.5.23,0
2.5.23,90.0,606.0,2.5.23,0
2.5.23,100.0,672.0,2.5.23,0
2.5.23,110.0,728.0,2.5.23,0
2.5.23,120.0,780.0,2.5.23,0
2.5.23,130.0,847.0,2.5.23,0
2.5.23,140.0,931.0,2.5.23,0
2.5.24,10.0,11.0,2.5.24,0
2.5.24,20.0,50.0,2.5.24,0
2.5.24,30.0,149.0,2.5.24,0
2.5.24,40.0,297.0,2.5.24,0
2.5.24,50.0,472.0,2.5.24,0
2.5.24,60.0,604.0,2.5.24,0
2.5.24,70.0,782.0,2.5.24,0
2.5.24,80.0,907.0,2.5.24,0
2.5.24,90.0,1043.0,2.5.24,0
2.5.24,100.0,1200.0,2.5.24,0
2.5.24,110.0,1363.0,2.5.24,0
2.5.24,120.0,1566.0,2.5.24,0
2.5.24,130.0,1780.0,2.5.24,0
2.5.24,140.0,1982.0,2.5.24,0
2.5.26,1.75,0.2,2.5.26,0
2.5.26,11.75,11.0,2.5.26,0
2.5.26,21.75,52.0,2.5.26,0
2.5.26,31.75,120.0,2.5.26,0
2.5.26,41.75,238.0,2.5.26,0
2.5.26,51.75,401.0,2.5.26,0
2.5.26,61.75,564.0,2.5.26,0
2.5.26,71.75,736.0,2.5.26,0
2.5.26,81.75,894.0,2.5.26,0
2.5.26,91.75,1064.0,2.5.26,0
2.5.26,101.75,1184.0,2.5.26,0
2.5.26,111.75,1306.0,2.5.26,0
2.5.26,121.75,1417.0,2.5.26,0
2.5.26,131.75,1540.0,2.5.26,0
2.5.26,141.75,1681.0,2.5.26,0
2.6.2,0.49,0.4,2.6.2,0
2.6.2,10.49,11.0,2.6.2,0
2.6.2,20.49,41.0,2.6.2,0
2.6.2,30.49,109.0,2.6.2,0
2.6.2,40.49,191.0,2.6.2,0
2.6.2,50.49,293.0,2.6.2,0
2.6.2,60.49,390.0,2.6.2,0
2.6.2,70.49,485.0,2.6.2,0
2.6.3,1.25,0.6,2.6.3,0
2.6.3,11.25,13.0,2.6.3,0
2.6.3,21.25,51.0,2.6.3,0
2.6.3,31.25,125.0,2.6.3,0
2.6.3,41.25,208.0,2.6.3,0
2.6.3,51.25,320.0,2.6.3,0
2.6.3,61.25,419.0,2.6.3,0
2.6.3,71.25,512.0,2.6.3,0
2.6.4,2.33,0.1,2.6.4,0
2.6.4,12.33,19.0,2.6.4,0
2.6.4,22.33,74.0,2.6.4,0
2.6.4,32.33,173.0,2.6.4,0
2.6.4,42.33,285.0,2.6.4,0
2.6.4,52.33,448.0,2.6.4,0
2.6.4,62.33,646.0,2.6.4,0
2.6.4,72.33,834.0,2.6.4,0
2.6.5,5.38,1.0,2.6.5,0
2.6.5,15.38,11.0,2.6.5,0
2.6.5,25.38,60.0,2.6.5,0
2.6.5,35.38,186.0,2.6.5,0
2.6.5,45.38,438.0,2.6.5,0
2.6.5,55.38,756.0,2.6.5,0
2.6.6,10.0,12.0,2.6.6,0
2.6.6,20.0,68.0,2.6.6,0
2.6.6,30.0,162.0,2.6.6,0
2.6.6,40.0,286.0,2.6.6,0
2.6.6,50.0,419.0,2.6.6,0
2.6.6,60.0,546.0,2.6.6,0
2.6.6,70.0,663.0,2.6.6,0
2.6.7,1.3,0.5,2.6.7,0
2.6.7,11.3,23.0,2.6.7,0
2.6.7,21.3,118.0,2.6.7,0
2.6.7,31.3,237.0,2.6.7,0
2.6.7,41.3,350.0,2.6.7,0
2.6.7,51.3,481.0,2.6.7,0
2.6.7,61.3,612.0,2.6.7,0
2.6.7,71.3,746.0,2.6.7,0
2.6.7,81.3,884.0,2.6.7,0
2.6.7,91.3,1005.0,2.6.7,0
2.6.8,9.68,6.0,2.6.8,0
2.6.8,19.68,45.0,2.6.8,0
2.6.8,29.68,126.0,2.6.8,0
2.6.8,39.68,244.0,2.6.8,0
2.6.8,49.68,380.0,2.6.8,0
2.6.8,59.68,500.0,2.6.8,0
2.6.8,69.68,648.0,2.6.8,0
2.6.8,79.68,811.0,2.6.8,0
2.6.8,89.68,975.0,2.6.8,0
2.7.6,5.71,1.0,2.7.6,0
2.7.6,15.71,24.0,2.7.6,0
2.7.6,25.71,111.0,2.7.6,0
2.7.6,35.71,251.0,2.7.6,0
2.7.6,45.71,414.0,2.7.6,0
2.7.6,55.71,571.0,2.7.6,0
2.7.6,65.71,721.0,2.7.6,0
2.7.6,75.71,886.0,2.7.6,0
2.7.6,85.71,1038.0,2.7.6,0
2.7.6,95.71,1193.0,2.7.6,0
2.7.6,105.71,1353.0,2.7.6,0
2.7.6,115.71,1499.0,2.7.6,0
2.7.6,125.71,1725.0,2.7.6,0
2.7.6,135.71,2012.0,2.7.6,0
3.1.12,8.33,2.0,3.1.12,0
3.1.12,18.33,21.0,3.1.12,0
3.1.12,28.33,81.0,3.1.12,0
3.1.12,38.33,156.0,3.1.12,0
3.1.12,48.33,251.0,3.1.12,0
3.1.12,58.33,358.0,3.1.12,0
3.1.12,68.33,495.0,3.1.12,0
3.1.12,78.33,662.0,3.1.12,0
3.1.12,88.33,808.0,3.1.12,0
3.1.12,98.33,964.0,3.1.12,0
3.1.12,108.33,1124.0,3.1.12,0
3.1.12,118.33,1291.0,3.1.12,0
3.1.12,128.33,1422.0,3.1.12,0
3.1.12,138.33,1576.0,3.1.12,0
3.1.13,10.0,6.0,3.1.13,2
3.1.13,20.0,30.0,3.1.13,2
3.1.13,30.0,89.0,3.1.13,2
3.1.13,40.0,181.0,3.1.13,2
3.1.13,50.0,309.0,3.1.13,2
